,Date,INTU
103,2019-07-02 00:00:00-04:00,258.0274658203125
104,2019-07-03 00:00:00-04:00,261.7478942871094
105,2019-07-05 00:00:00-04:00,262.1062316894531
106,2019-07-08 00:00:00-04:00,262.6778869628906
107,2019-07-09 00:00:00-04:00,262.697265625
108,2019-07-10 00:00:00-04:00,266.7054138183594
109,2019-07-11 00:00:00-04:00,270.0148620605469
110,2019-07-12 00:00:00-04:00,273.34375
111,2019-07-15 00:00:00-04:00,274.21722412109375
112,2019-07-16 00:00:00-04:00,272.5964660644531
113,2019-07-17 00:00:00-04:00,272.3537902832031
114,2019-07-18 00:00:00-04:00,274.5374755859375
115,2019-07-19 00:00:00-04:00,271.0824279785156
116,2019-07-22 00:00:00-04:00,272.8584899902344
117,2019-07-23 00:00:00-04:00,273.5863952636719
118,2019-07-24 00:00:00-04:00,273.0622253417969
119,2019-07-25 00:00:00-04:00,273.2951965332031
120,2019-07-26 00:00:00-04:00,275.4011535644531
121,2019-07-29 00:00:00-04:00,273.0526123046875
122,2019-07-30 00:00:00-04:00,271.3735656738281
123,2019-07-31 00:00:00-04:00,269.1317138671875
124,2019-08-01 00:00:00-04:00,269.7626037597656
125,2019-08-02 00:00:00-04:00,266.54046630859375
126,2019-08-05 00:00:00-04:00,255.75807189941406
127,2019-08-06 00:00:00-04:00,262.12469482421875
128,2019-08-07 00:00:00-04:00,260.6493835449219
129,2019-08-08 00:00:00-04:00,268.5396423339844
130,2019-08-09 00:00:00-04:00,268.4135437011719
131,2019-08-12 00:00:00-04:00,264.60906982421875
132,2019-08-13 00:00:00-04:00,270.9175109863281
133,2019-08-14 00:00:00-04:00,259.989501953125
134,2019-08-15 00:00:00-04:00,260.5233459472656
135,2019-08-16 00:00:00-04:00,262.9690246582031
136,2019-08-19 00:00:00-04:00,266.142578125
137,2019-08-20 00:00:00-04:00,264.79351806640625
138,2019-08-21 00:00:00-04:00,268.0932922363281
139,2019-08-22 00:00:00-04:00,267.57891845703125
140,2019-08-23 00:00:00-04:00,270.5195617675781
141,2019-08-26 00:00:00-04:00,274.4306945800781
142,2019-08-27 00:00:00-04:00,274.8576965332031
143,2019-08-28 00:00:00-04:00,273.6251220703125
144,2019-08-29 00:00:00-04:00,278.477783203125
145,2019-08-30 00:00:00-04:00,279.8558349609375
146,2019-09-03 00:00:00-04:00,275.81854248046875
147,2019-09-04 00:00:00-04:00,277.8663635253906
148,2019-09-05 00:00:00-04:00,283.68939208984375
149,2019-09-06 00:00:00-04:00,279.31231689453125
150,2019-09-09 00:00:00-04:00,267.7633056640625
151,2019-09-10 00:00:00-04:00,259.6692810058594
152,2019-09-11 00:00:00-04:00,258.281494140625
153,2019-09-12 00:00:00-04:00,260.3388977050781
154,2019-09-13 00:00:00-04:00,257.3982238769531
155,2019-09-16 00:00:00-04:00,257.9806213378906
156,2019-09-17 00:00:00-04:00,260.6203918457031
157,2019-09-18 00:00:00-04:00,260.35833740234375
158,2019-09-19 00:00:00-04:00,262.05670166015625
159,2019-09-20 00:00:00-04:00,261.2414855957031
160,2019-09-23 00:00:00-04:00,261.0667724609375
161,2019-09-24 00:00:00-04:00,257.03912353515625
162,2019-09-25 00:00:00-04:00,258.57257080078125
163,2019-09-26 00:00:00-04:00,261.76556396484375
164,2019-09-27 00:00:00-04:00,255.42808532714844
165,2019-09-30 00:00:00-04:00,258.0970458984375
166,2019-10-01 00:00:00-04:00,256.5053405761719
167,2019-10-02 00:00:00-04:00,252.76898193359375
168,2019-10-03 00:00:00-04:00,255.24380493164062
169,2019-10-04 00:00:00-04:00,259.2131652832031
170,2019-10-07 00:00:00-04:00,258.892822265625
171,2019-10-08 00:00:00-04:00,253.29299926757812
172,2019-10-09 00:00:00-04:00,256.735595703125
173,2019-10-10 00:00:00-04:00,260.1684875488281
174,2019-10-11 00:00:00-04:00,262.6385803222656
175,2019-10-14 00:00:00-04:00,261.6563720703125
176,2019-10-15 00:00:00-04:00,265.9741516113281
177,2019-10-16 00:00:00-04:00,261.74383544921875
178,2019-10-17 00:00:00-04:00,259.196044921875
179,2019-10-18 00:00:00-04:00,255.24769592285156
180,2019-10-21 00:00:00-04:00,254.9850616455078
181,2019-10-22 00:00:00-04:00,246.35922241210938
182,2019-10-23 00:00:00-04:00,248.92657470703125
183,2019-10-24 00:00:00-04:00,251.7759246826172
184,2019-10-25 00:00:00-04:00,250.579833984375
185,2019-10-28 00:00:00-04:00,251.49391174316406
186,2019-10-29 00:00:00-04:00,251.37722778320312
187,2019-10-30 00:00:00-04:00,253.12770080566406
188,2019-10-31 00:00:00-04:00,250.4144744873047
189,2019-11-01 00:00:00-04:00,249.4225616455078
190,2019-11-04 00:00:00-05:00,247.06912231445312
191,2019-11-05 00:00:00-05:00,246.1938934326172
192,2019-11-06 00:00:00-05:00,246.44671630859375
193,2019-11-07 00:00:00-05:00,252.21356201171875
194,2019-11-08 00:00:00-05:00,249.7823486328125
195,2019-11-11 00:00:00-05:00,250.92991638183594
196,2019-11-12 00:00:00-05:00,252.8262176513672
197,2019-11-13 00:00:00-05:00,254.5475311279297
198,2019-11-14 00:00:00-05:00,257.4941101074219
199,2019-11-15 00:00:00-05:00,258.72918701171875
200,2019-11-18 00:00:00-05:00,261.01446533203125
201,2019-11-19 00:00:00-05:00,264.7683410644531
202,2019-11-20 00:00:00-05:00,265.9547424316406
203,2019-11-21 00:00:00-05:00,263.6888122558594
204,2019-11-22 00:00:00-05:00,252.66090393066406
205,2019-11-25 00:00:00-05:00,249.99627685546875
206,2019-11-26 00:00:00-05:00,258.56390380859375
207,2019-11-27 00:00:00-05:00,254.93646240234375
208,2019-11-29 00:00:00-05:00,251.7662353515625
209,2019-12-02 00:00:00-05:00,249.49057006835938
210,2019-12-03 00:00:00-05:00,246.69956970214844
211,2019-12-04 00:00:00-05:00,247.25387573242188
212,2019-12-05 00:00:00-05:00,246.7967987060547
213,2019-12-06 00:00:00-05:00,249.13076782226562
214,2019-12-09 00:00:00-05:00,248.73208618164062
215,2019-12-10 00:00:00-05:00,245.37701416015625
216,2019-12-11 00:00:00-05:00,244.9685516357422
217,2019-12-12 00:00:00-05:00,245.795166015625
218,2019-12-13 00:00:00-05:00,252.4955596923828
219,2019-12-16 00:00:00-05:00,256.2493591308594
220,2019-12-17 00:00:00-05:00,253.234619140625
221,2019-12-18 00:00:00-05:00,255.95761108398438
222,2019-12-19 00:00:00-05:00,256.7842712402344
223,2019-12-20 00:00:00-05:00,259.75030517578125
224,2019-12-23 00:00:00-05:00,258.9528503417969
225,2019-12-24 00:00:00-05:00,257.0565490722656
226,2019-12-26 00:00:00-05:00,259.5266418457031
227,2019-12-27 00:00:00-05:00,259.71148681640625
228,2019-12-30 00:00:00-05:00,255.60751342773438
229,2019-12-31 00:00:00-05:00,254.7225799560547
230,2020-01-02 00:00:00-05:00,258.8362121582031
231,2020-01-03 00:00:00-05:00,257.1051025390625
232,2020-01-06 00:00:00-05:00,259.07928466796875
