,Unnamed: 0,Date,KEYS
0,0,2019-02-05,75.63999938964844
1,1,2019-02-06,77.05000305175781
2,2,2019-02-07,76.30000305175781
3,3,2019-02-08,76.86000061035156
4,4,2019-02-11,78.01000213623047
5,5,2019-02-12,78.31999969482422
6,6,2019-02-13,78.9000015258789
7,7,2019-02-14,79.0199966430664
8,8,2019-02-15,80.37999725341797
9,9,2019-02-19,80.66000366210938
10,10,2019-02-20,81.08000183105469
11,11,2019-02-21,81.75
12,12,2019-02-22,82.45999908447266
13,13,2019-02-25,83.08000183105469
14,14,2019-02-26,84.63999938964844
15,15,2019-02-27,84.81999969482422
16,16,2019-02-28,84.41000366210938
17,17,2019-03-01,85.9000015258789
18,18,2019-03-04,85.2300033569336
19,19,2019-03-05,85.26000213623047
20,20,2019-03-06,85.25
21,21,2019-03-07,84.58000183105469
22,22,2019-03-08,83.98999786376953
23,23,2019-03-11,85.0
24,24,2019-03-12,84.88999938964844
25,25,2019-03-13,84.20999908447266
26,26,2019-03-14,85.33000183105469
27,27,2019-03-15,85.9800033569336
28,28,2019-03-18,85.73999786376953
29,29,2019-03-19,86.29000091552734
30,30,2019-03-20,86.36000061035156
31,31,2019-03-21,87.52999877929688
32,32,2019-03-22,84.76000213623047
33,33,2019-03-25,84.77999877929688
34,34,2019-03-26,85.36000061035156
35,35,2019-03-27,85.31999969482422
36,36,2019-03-28,86.51000213623047
37,37,2019-03-29,87.19999694824219
38,38,2019-04-01,89.13999938964844
39,39,2019-04-02,89.29000091552734
40,40,2019-04-03,89.98999786376953
41,41,2019-04-04,88.97000122070312
42,42,2019-04-05,89.44000244140625
43,43,2019-04-08,89.8499984741211
44,44,2019-04-09,90.12000274658205
45,45,2019-04-10,90.62000274658205
46,46,2019-04-11,91.37000274658205
47,47,2019-04-12,91.83999633789062
48,48,2019-04-15,91.6999969482422
49,49,2019-04-16,90.5199966430664
50,50,2019-04-17,88.30000305175781
51,51,2019-04-18,89.83999633789062
52,52,2019-04-22,90.58999633789062
53,53,2019-04-23,92.2699966430664
54,54,2019-04-24,92.79000091552734
55,55,2019-04-25,87.73999786376953
56,56,2019-04-26,85.87999725341797
57,57,2019-04-29,86.7300033569336
58,58,2019-04-30,87.02999877929688
59,59,2019-05-01,85.86000061035156
60,60,2019-05-02,87.3499984741211
61,61,2019-05-03,88.18000030517578
62,62,2019-05-06,88.13999938964844
63,63,2019-05-07,86.41999816894531
64,64,2019-05-08,86.75
65,65,2019-05-09,86.30000305175781
66,66,2019-05-10,85.83000183105469
67,67,2019-05-13,82.62000274658203
68,68,2019-05-14,83.79000091552734
69,69,2019-05-15,84.41000366210938
70,70,2019-05-16,85.19000244140625
71,71,2019-05-17,81.86000061035156
72,72,2019-05-20,74.55999755859375
73,73,2019-05-21,75.36000061035156
74,74,2019-05-22,75.76000213623047
75,75,2019-05-23,73.55999755859375
76,76,2019-05-24,73.69000244140625
77,77,2019-05-28,73.12999725341797
78,78,2019-05-29,71.41999816894531
79,79,2019-05-30,79.48999786376953
80,80,2019-05-31,75.12999725341797
81,81,2019-06-03,74.20999908447266
82,82,2019-06-04,78.16000366210938
83,83,2019-06-05,79.08000183105469
84,84,2019-06-06,79.91999816894531
85,85,2019-06-07,82.12999725341797
86,86,2019-06-10,82.36000061035156
87,87,2019-06-11,83.66999816894531
88,88,2019-06-12,84.36000061035156
89,89,2019-06-13,84.83000183105469
90,90,2019-06-14,83.83000183105469
91,91,2019-06-17,83.33999633789062
92,92,2019-06-18,86.0
93,93,2019-06-19,86.79000091552734
94,94,2019-06-20,88.4000015258789
95,95,2019-06-21,86.41999816894531
96,96,2019-06-24,86.44999694824219
97,97,2019-06-25,85.22000122070312
98,98,2019-06-26,87.2300033569336
99,99,2019-06-27,87.12000274658203
100,100,2019-06-28,89.80999755859375
101,101,2019-07-01,92.83000183105467
102,102,2019-07-02,90.8499984741211
103,103,2019-07-03,91.36000061035156
104,104,2019-07-05,91.47000122070312
105,105,2019-07-08,89.83000183105469
106,106,2019-07-09,90.05000305175781
107,107,2019-07-10,88.94999694824219
108,108,2019-07-11,89.76000213623047
109,109,2019-07-12,91.37000274658205
110,110,2019-07-15,91.01000213623048
111,111,2019-07-16,89.41999816894531
112,112,2019-07-17,88.22000122070312
113,113,2019-07-18,87.37999725341797
114,114,2019-07-19,87.45999908447266
115,115,2019-07-22,87.43000030517578
116,116,2019-07-23,88.77999877929688
117,117,2019-07-24,93.70999908447266
118,118,2019-07-25,90.75
119,119,2019-07-26,90.8000030517578
120,120,2019-07-29,90.26000213623048
121,121,2019-07-30,91.20999908447266
122,122,2019-07-31,89.5199966430664
123,123,2019-08-01,89.58999633789062
124,124,2019-08-02,88.0999984741211
125,125,2019-08-05,83.54000091552734
126,126,2019-08-06,85.87999725341797
127,127,2019-08-07,85.2300033569336
128,128,2019-08-08,89.26000213623047
129,129,2019-08-09,87.38999938964844
130,130,2019-08-12,86.25
131,131,2019-08-13,88.47000122070312
132,132,2019-08-14,84.01000213623047
133,133,2019-08-15,83.33999633789062
134,134,2019-08-16,85.69000244140625
135,135,2019-08-19,87.37000274658203
136,136,2019-08-20,87.30000305175781
137,137,2019-08-21,89.13999938964844
138,138,2019-08-22,100.3499984741211
139,139,2019-08-23,93.18000030517578
140,140,2019-08-26,95.16999816894533
141,141,2019-08-27,94.51000213623048
142,142,2019-08-28,96.08999633789062
143,143,2019-08-29,96.81999969482422
144,144,2019-08-30,96.86000061035156
145,145,2019-09-03,94.79000091552734
146,146,2019-09-04,95.83999633789062
