,Unnamed: 0,Date,HAL
0,0,2019-02-05,29.460691452026367
1,1,2019-02-06,29.214427947998047
2,2,2019-02-07,27.818925857543945
3,3,2019-02-08,27.089242935180664
4,4,2019-02-11,27.5452938079834
5,5,2019-02-12,28.1290340423584
6,6,2019-02-13,28.639812469482425
7,7,2019-02-14,28.82222557067871
8,8,2019-02-15,29.05025291442871
9,9,2019-02-19,28.913440704345703
10,10,2019-02-20,29.451580047607425
11,11,2019-02-21,28.621566772460938
12,12,2019-02-22,28.56684112548828
13,13,2019-02-25,28.959041595458984
14,14,2019-02-26,28.76750373840332
15,15,2019-02-27,28.50299644470215
16,16,2019-02-28,27.992223739624023
17,17,2019-03-01,28.211122512817383
18,18,2019-03-04,28.25672912597656
19,19,2019-03-05,27.78884506225586
20,20,2019-03-06,26.458572387695312
21,21,2019-03-07,25.623714447021484
22,22,2019-03-08,25.20170021057129
23,23,2019-03-11,25.58701705932617
24,24,2019-03-12,25.7705078125
25,25,2019-03-13,26.14664459228516
26,26,2019-03-14,26.119129180908203
27,27,2019-03-15,25.66040802001953
28,28,2019-03-18,26.48609161376953
29,29,2019-03-19,26.843896865844727
30,30,2019-03-20,27.61453056335449
31,31,2019-03-21,27.55948829650879
32,32,2019-03-22,26.3576602935791
33,33,2019-03-25,25.90811538696289
34,34,2019-03-26,26.119129180908203
35,35,2019-03-27,26.201696395874023
36,36,2019-03-28,26.77966690063477
37,37,2019-03-29,26.88058853149414
38,38,2019-04-01,27.651233673095703
39,39,2019-04-02,27.46774673461914
40,40,2019-04-03,27.458568572998047
41,41,2019-04-04,27.90810775756836
42,42,2019-04-05,28.412691116333008
43,43,2019-04-08,28.706268310546875
44,44,2019-04-09,28.265905380249023
45,45,2019-04-10,28.47691345214844
46,46,2019-04-11,28.623699188232425
47,47,2019-04-12,28.742965698242188
48,48,2019-04-15,28.706268310546875
49,49,2019-04-16,29.183330535888672
50,50,2019-04-17,28.981494903564453
51,51,2019-04-18,28.559478759765625
52,52,2019-04-22,28.522783279418945
53,53,2019-04-23,28.57783317565918
54,54,2019-04-24,27.623706817626957
55,55,2019-04-25,26.80719566345215
56,56,2019-04-26,26.467748641967773
