,Date,C
103,2019-07-02 00:00:00-04:00,58.935569763183594
104,2019-07-03 00:00:00-04:00,59.278602600097656
105,2019-07-05 00:00:00-04:00,59.7387809753418
106,2019-07-08 00:00:00-04:00,59.51287078857422
107,2019-07-09 00:00:00-04:00,59.872642517089844
108,2019-07-10 00:00:00-04:00,59.51287078857422
109,2019-07-11 00:00:00-04:00,59.91447830200195
110,2019-07-12 00:00:00-04:00,60.04833221435547
111,2019-07-15 00:00:00-04:00,59.998146057128906
112,2019-07-16 00:00:00-04:00,59.671836853027344
113,2019-07-17 00:00:00-04:00,59.25350570678711
114,2019-07-18 00:00:00-04:00,60.06508255004883
115,2019-07-19 00:00:00-04:00,59.3371696472168
116,2019-07-22 00:00:00-04:00,59.49614334106445
117,2019-07-23 00:00:00-04:00,60.2324104309082
118,2019-07-24 00:00:00-04:00,61.085838317871094
119,2019-07-25 00:00:00-04:00,59.730411529541016
120,2019-07-26 00:00:00-04:00,60.374664306640625
121,2019-07-29 00:00:00-04:00,60.039974212646484
122,2019-07-30 00:00:00-04:00,59.998146057128906
123,2019-07-31 00:00:00-04:00,59.5379638671875
124,2019-08-01 00:00:00-04:00,57.18690490722656
125,2019-08-02 00:00:00-04:00,56.99303436279297
126,2019-08-05 00:00:00-04:00,54.94460678100586
127,2019-08-06 00:00:00-04:00,55.84659194946289
128,2019-08-07 00:00:00-04:00,54.91089630126953
129,2019-08-08 00:00:00-04:00,56.259639739990234
130,2019-08-09 00:00:00-04:00,55.678009033203125
131,2019-08-12 00:00:00-04:00,54.15222930908203
132,2019-08-13 00:00:00-04:00,54.64958190917969
133,2019-08-14 00:00:00-04:00,51.76663589477539
134,2019-08-15 00:00:00-04:00,51.69076156616211
135,2019-08-16 00:00:00-04:00,53.51156997680664
136,2019-08-19 00:00:00-04:00,54.21122741699219
137,2019-08-20 00:00:00-04:00,53.46099090576172
138,2019-08-21 00:00:00-04:00,53.31768798828125
139,2019-08-22 00:00:00-04:00,53.87403869628906
140,2019-08-23 00:00:00-04:00,52.22182846069336
141,2019-08-26 00:00:00-04:00,52.87091064453125
142,2019-08-27 00:00:00-04:00,51.97737121582031
143,2019-08-28 00:00:00-04:00,52.56744384765625
144,2019-08-29 00:00:00-04:00,53.865623474121094
145,2019-08-30 00:00:00-04:00,54.24494552612305
146,2019-09-03 00:00:00-04:00,53.46099090576172
147,2019-09-04 00:00:00-04:00,54.185943603515625
148,2019-09-05 00:00:00-04:00,55.92245864868164
149,2019-09-06 00:00:00-04:00,55.610557556152344
150,2019-09-09 00:00:00-04:00,57.98773193359375
151,2019-09-10 00:00:00-04:00,58.14788818359375
152,2019-09-11 00:00:00-04:00,58.08045959472656
153,2019-09-12 00:00:00-04:00,58.417640686035156
154,2019-09-13 00:00:00-04:00,59.336483001708984
155,2019-09-16 00:00:00-04:00,58.86441421508789
156,2019-09-17 00:00:00-04:00,58.56938171386719
157,2019-09-18 00:00:00-04:00,59.08357620239258
158,2019-09-19 00:00:00-04:00,58.780113220214844
159,2019-09-20 00:00:00-04:00,58.45978927612305
160,2019-09-23 00:00:00-04:00,58.628379821777344
161,2019-09-24 00:00:00-04:00,57.23748779296875
162,2019-09-25 00:00:00-04:00,58.48508071899414
163,2019-09-26 00:00:00-04:00,58.25748062133789
164,2019-09-27 00:00:00-04:00,58.552528381347656
165,2019-09-30 00:00:00-04:00,58.23219299316406
166,2019-10-01 00:00:00-04:00,57.44821548461914
167,2019-10-02 00:00:00-04:00,55.85502624511719
168,2019-10-03 00:00:00-04:00,56.22593307495117
169,2019-10-04 00:00:00-04:00,57.47352981567383
