,Date,RCL
103,2019-07-02 00:00:00-04:00,116.3406982421875
104,2019-07-03 00:00:00-04:00,113.89739227294922
105,2019-07-05 00:00:00-04:00,112.78324127197266
106,2019-07-08 00:00:00-04:00,109.35283660888672
107,2019-07-09 00:00:00-04:00,108.69802856445312
108,2019-07-10 00:00:00-04:00,107.8770751953125
109,2019-07-11 00:00:00-04:00,107.89662170410156
110,2019-07-12 00:00:00-04:00,107.64251708984375
111,2019-07-15 00:00:00-04:00,110.29106140136719
112,2019-07-16 00:00:00-04:00,111.95252227783203
113,2019-07-17 00:00:00-04:00,109.22577667236328
114,2019-07-18 00:00:00-04:00,108.48301696777344
115,2019-07-19 00:00:00-04:00,107.65229034423828
116,2019-07-22 00:00:00-04:00,109.0987319946289
117,2019-07-23 00:00:00-04:00,111.15111541748047
118,2019-07-24 00:00:00-04:00,112.72459411621094
119,2019-07-25 00:00:00-04:00,110.47676086425781
120,2019-07-26 00:00:00-04:00,111.37590026855469
121,2019-07-29 00:00:00-04:00,112.96892547607422
122,2019-07-30 00:00:00-04:00,113.35986328125
123,2019-07-31 00:00:00-04:00,113.70191955566406
124,2019-08-01 00:00:00-04:00,111.46385192871094
125,2019-08-02 00:00:00-04:00,108.2191390991211
126,2019-08-05 00:00:00-04:00,105.2480697631836
127,2019-08-06 00:00:00-04:00,104.63235473632812
128,2019-08-07 00:00:00-04:00,104.93533325195312
129,2019-08-08 00:00:00-04:00,107.2515869140625
130,2019-08-09 00:00:00-04:00,106.77269744873047
131,2019-08-12 00:00:00-04:00,104.86691284179688
132,2019-08-13 00:00:00-04:00,106.55768585205078
133,2019-08-14 00:00:00-04:00,101.82743835449219
134,2019-08-15 00:00:00-04:00,101.51469421386719
135,2019-08-16 00:00:00-04:00,102.79498291015625
136,2019-08-19 00:00:00-04:00,105.31649017333984
137,2019-08-20 00:00:00-04:00,105.18942260742188
138,2019-08-21 00:00:00-04:00,105.22852325439453
139,2019-08-22 00:00:00-04:00,104.60303497314453
140,2019-08-23 00:00:00-04:00,100.205078125
141,2019-08-26 00:00:00-04:00,100.16597747802734
142,2019-08-27 00:00:00-04:00,99.46231079101562
143,2019-08-28 00:00:00-04:00,100.84033966064453
144,2019-08-29 00:00:00-04:00,101.03579711914062
145,2019-08-30 00:00:00-04:00,101.91539764404297
146,2019-09-03 00:00:00-04:00,100.51781463623047
147,2019-09-04 00:00:00-04:00,102.36495971679688
148,2019-09-05 00:00:00-04:00,104.51508331298828
149,2019-09-06 00:00:00-04:00,105.95175170898438
150,2019-09-09 00:00:00-04:00,108.10185241699219
151,2019-09-10 00:00:00-04:00,111.170654296875
152,2019-09-11 00:00:00-04:00,111.24884033203125
153,2019-09-12 00:00:00-04:00,110.70153045654297
154,2019-09-13 00:00:00-04:00,112.2261734008789
155,2019-09-16 00:00:00-04:00,111.34657287597656
156,2019-09-17 00:00:00-04:00,111.50293731689453
157,2019-09-18 00:00:00-04:00,110.42788696289062
158,2019-09-19 00:00:00-04:00,110.6739273071289
159,2019-09-20 00:00:00-04:00,109.90631103515625
160,2019-09-23 00:00:00-04:00,107.81014251708984
161,2019-09-24 00:00:00-04:00,106.91459655761719
162,2019-09-25 00:00:00-04:00,107.91839599609375
163,2019-09-26 00:00:00-04:00,105.23175048828125
164,2019-09-27 00:00:00-04:00,105.33016204833984
165,2019-09-30 00:00:00-04:00,106.6095199584961
166,2019-10-01 00:00:00-04:00,102.98796081542969
167,2019-10-02 00:00:00-04:00,101.37400817871094
168,2019-10-03 00:00:00-04:00,102.52542114257812
169,2019-10-04 00:00:00-04:00,101.66923522949219
170,2019-10-07 00:00:00-04:00,100.97052001953125
