,Unnamed: 0,Date,MDLZ
0,0,2019-02-05,41.15349197387695
1,1,2019-02-06,41.350399017333984
2,2,2019-02-07,41.61890411376953
3,3,2019-02-08,41.9769172668457
4,4,2019-02-11,42.46919631958008
5,5,2019-02-12,42.558685302734375
6,6,2019-02-13,42.61238479614258
7,7,2019-02-14,42.352821350097656
8,8,2019-02-15,43.10465621948242
9,9,2019-02-19,43.05096054077149
10,10,2019-02-20,42.95249938964844
11,11,2019-02-21,43.32841491699219
12,12,2019-02-22,42.710845947265625
13,13,2019-02-25,42.25437545776367
14,14,2019-02-26,42.451290130615234
15,15,2019-02-27,42.18277359008789
16,16,2019-02-28,42.20962905883789
17,17,2019-03-01,42.27228546142578
18,18,2019-03-04,42.05747604370117
19,19,2019-03-05,42.00378036499024
20,20,2019-03-06,42.03956604003906
21,21,2019-03-07,41.89637756347656
22,22,2019-03-08,41.690521240234375
23,23,2019-03-11,42.17383193969727
24,24,2019-03-12,42.02167510986328
25,25,2019-03-13,42.3170280456543
26,26,2019-03-14,42.37968444824219
27,27,2019-03-15,42.782447814941406
28,28,2019-03-18,42.99726104736328
29,29,2019-03-19,43.1762580871582
30,30,2019-03-20,43.12256622314453
31,31,2019-03-21,43.74907684326172
32,32,2019-03-22,43.97284698486328
33,33,2019-03-25,44.22344207763672
34,34,2019-03-26,44.56355667114258
35,35,2019-03-27,44.420352935791016
36,36,2019-03-28,44.40235137939453
37,37,2019-03-29,44.91520690917969
38,38,2019-04-01,44.70827102661133
39,39,2019-04-02,44.66328430175781
40,40,2019-04-03,44.744258880615234
41,41,2019-04-04,44.67228698730469
42,42,2019-04-05,44.69927597045898
43,43,2019-04-08,44.63628768920898
44,44,2019-04-09,44.66328430175781
45,45,2019-04-10,44.71726989746094
46,46,2019-04-11,44.69028091430664
47,47,2019-04-12,44.798248291015625
48,48,2019-04-15,45.23911666870117
49,49,2019-04-16,45.09516906738281
50,50,2019-04-17,45.194129943847656
51,51,2019-04-18,45.06816864013672
52,52,2019-04-22,45.14915084838867
53,53,2019-04-23,45.31109237670898
54,54,2019-04-24,45.32909393310547
55,55,2019-04-25,44.99620056152344
56,56,2019-04-26,45.24811553955078
57,57,2019-04-29,45.46405792236328
58,58,2019-04-30,45.75198745727539
59,59,2019-05-01,46.4627685546875
60,60,2019-05-02,46.318809509277344
61,61,2019-05-03,46.57074737548828
62,62,2019-05-06,46.42677688598633
63,63,2019-05-07,45.89592361450195
64,64,2019-05-08,45.89592361450195
65,65,2019-05-09,46.20184326171875
66,66,2019-05-10,46.66971206665039
67,67,2019-05-13,46.057884216308594
68,68,2019-05-14,46.44477462768555
69,69,2019-05-15,46.63372421264648
70,70,2019-05-16,47.506473541259766
71,71,2019-05-17,46.99362564086914
72,72,2019-05-20,47.047607421875
73,73,2019-05-21,46.94863128662109
74,74,2019-05-22,46.86765670776367
75,75,2019-05-23,46.82267379760742
76,76,2019-05-24,46.90364074707031
77,77,2019-05-28,45.85993957519531
78,78,2019-05-29,46.030887603759766
79,79,2019-05-30,46.11187744140625
80,80,2019-05-31,45.75198745727539
81,81,2019-06-03,46.39078903198242
82,82,2019-06-04,46.91264343261719
83,83,2019-06-05,47.63243103027344
84,84,2019-06-06,48.10031127929688
85,85,2019-06-07,48.60416793823242
86,86,2019-06-10,48.75712203979492
87,87,2019-06-11,48.57716751098633
88,88,2019-06-12,49.08102416992188
89,89,2019-06-13,49.17100524902344
90,90,2019-06-14,49.53089904785156
91,91,2019-06-17,49.26097106933594
92,92,2019-06-18,49.090030670166016
93,93,2019-06-19,49.53989791870117
94,94,2019-06-20,49.89978790283203
95,95,2019-06-21,49.71085357666016
96,96,2019-06-24,49.782833099365234
97,97,2019-06-25,49.91778564453125
98,98,2019-06-26,49.00005340576172
99,99,2019-06-27,48.927730560302734
100,100,2019-06-28,48.72882843017578
101,101,2019-07-01,49.461124420166016
102,102,2019-07-02,49.6781005859375
103,103,2019-07-03,50.45558166503906
104,104,2019-07-05,50.17532730102539
105,105,2019-07-08,50.12108612060547
106,106,2019-07-09,50.06684112548828
107,107,2019-07-10,50.20244598388672
108,108,2019-07-11,49.3887939453125
109,109,2019-07-12,49.307430267333984
110,110,2019-07-15,49.45207214355469
111,111,2019-07-16,49.51536178588867
112,112,2019-07-17,49.62384033203125
113,113,2019-07-18,49.93122863769531
114,114,2019-07-19,49.62384033203125
115,115,2019-07-22,49.3978385925293
116,116,2019-07-23,49.53343963623047
117,117,2019-07-24,49.19894790649414
118,118,2019-07-25,49.18990707397461
119,119,2019-07-26,49.55152893066406
120,120,2019-07-29,49.59672927856445
121,121,2019-07-30,49.55152893066406
122,122,2019-07-31,48.35816192626953
123,123,2019-08-01,48.48473739624024
124,124,2019-08-02,48.602272033691406
125,125,2019-08-05,47.21001052856445
126,126,2019-08-06,47.76148986816406
127,127,2019-08-07,48.29488754272461
128,128,2019-08-08,49.6781005859375
129,129,2019-08-09,49.44304275512695
130,130,2019-08-12,49.04524993896485
131,131,2019-08-13,49.33455276489258
132,132,2019-08-14,48.09599304199219
133,133,2019-08-15,48.620338439941406
134,134,2019-08-16,49.307430267333984
135,135,2019-08-19,49.32551574707031
136,136,2019-08-20,48.8101921081543
137,137,2019-08-21,49.0904541015625
138,138,2019-08-22,49.280303955078125
139,139,2019-08-23,48.48473739624024
140,140,2019-08-26,49.235111236572266
141,141,2019-08-27,49.19894790649414
142,142,2019-08-28,49.61481475830078
143,143,2019-08-29,49.97643280029297
144,144,2019-08-30,49.92219543457031
145,145,2019-09-03,50.30189895629883
