,Unnamed: 0.1,Unnamed: 0,Date,CBOE,CBOE_6m,CBOE_12m
64,64,64,2019-05-08,102.62999725341795,101.61000061035156,101.06999969482422
65,65,65,2019-05-09,103.5999984741211,101.04000091552734,101.12000274658205
66,66,66,2019-05-10,103.41999816894533,99.9000015258789,101.3499984741211
67,67,67,2019-05-13,103.13999938964844,100.9800033569336,101.73999786376952
68,68,68,2019-05-14,105.06999969482422,103.06999969482422,101.5500030517578
69,69,69,2019-05-15,103.87999725341795,101.77999877929688,101.0
70,70,70,2019-05-16,105.25,102.62999725341795,101.61000061035156
71,71,71,2019-05-17,105.79000091552734,103.5999984741211,101.04000091552734
72,72,72,2019-05-20,107.63999938964844,103.41999816894533,99.9000015258789
73,73,73,2019-05-21,107.33999633789062,103.13999938964844,100.9800033569336
74,74,74,2019-05-22,107.79000091552734,105.06999969482422,103.06999969482422
75,75,75,2019-05-23,106.20999908447266,103.87999725341795,101.77999877929688
76,76,76,2019-05-24,106.9499969482422,105.25,102.62999725341795
77,77,77,2019-05-28,105.5,105.79000091552734,103.5999984741211
78,78,78,2019-05-29,107.2699966430664,107.63999938964844,103.41999816894533
79,79,79,2019-05-30,106.5999984741211,107.33999633789062,103.13999938964844
80,80,80,2019-05-31,108.54000091552734,107.79000091552734,105.06999969482422
81,81,81,2019-06-03,109.13999938964844,106.20999908447266,103.87999725341795
82,82,82,2019-06-04,109.94000244140624,106.9499969482422,105.25
83,83,83,2019-06-05,110.91999816894533,105.5,105.79000091552734
84,84,84,2019-06-06,111.06999969482422,107.2699966430664,107.63999938964844
85,85,85,2019-06-07,111.30999755859376,106.5999984741211,107.33999633789062
86,86,86,2019-06-10,111.12999725341795,108.54000091552734,107.79000091552734
87,87,87,2019-06-11,108.02999877929688,109.13999938964844,106.20999908447266
88,88,88,2019-06-12,107.6999969482422,109.94000244140624,106.9499969482422
89,89,89,2019-06-13,107.26000213623048,110.91999816894533,105.5
90,90,90,2019-06-14,107.73999786376952,111.06999969482422,107.2699966430664
91,91,91,2019-06-17,106.6999969482422,111.30999755859376,106.5999984741211
92,92,92,2019-06-18,106.33999633789062,111.12999725341795,108.54000091552734
93,93,93,2019-06-19,106.23999786376952,108.02999877929688,109.13999938964844
94,94,94,2019-06-20,107.08000183105467,107.6999969482422,109.94000244140624
95,95,95,2019-06-21,106.44000244140624,107.26000213623048,110.91999816894533
96,96,96,2019-06-24,107.3499984741211,107.73999786376952,111.06999969482422
97,97,97,2019-06-25,107.5,106.6999969482422,111.30999755859376
98,98,98,2019-06-26,105.8499984741211,106.33999633789062,111.12999725341795
99,99,99,2019-06-27,106.05999755859376,106.23999786376952,108.02999877929688
100,100,100,2019-06-28,103.62999725341795,107.08000183105467,107.6999969482422
101,101,101,2019-07-01,106.6999969482422,106.44000244140624,107.26000213623048
102,102,102,2019-07-02,108.47000122070312,107.3499984741211,107.73999786376952
103,103,103,2019-07-03,110.0,107.5,106.6999969482422
104,104,104,2019-07-05,110.4000015258789,105.8499984741211,106.33999633789062
105,105,105,2019-07-08,110.62000274658205,106.05999755859376,106.23999786376952
106,106,106,2019-07-09,110.9800033569336,103.62999725341795,107.08000183105467
107,107,107,2019-07-10,111.6999969482422,106.6999969482422,106.44000244140624
108,108,108,2019-07-11,113.0,108.47000122070312,107.3499984741211
109,109,109,2019-07-12,114.05999755859376,110.0,107.5
110,110,110,2019-07-15,114.06999969482422,110.4000015258789,105.8499984741211
111,111,111,2019-07-16,114.08000183105467,110.62000274658205,106.05999755859376
112,112,112,2019-07-17,114.1999969482422,110.9800033569336,103.62999725341795
113,113,113,2019-07-18,114.52999877929688,111.6999969482422,106.6999969482422
114,114,114,2019-07-19,114.91000366210938,113.0,108.47000122070312
115,115,115,2019-07-22,114.5199966430664,114.05999755859376,110.0
116,116,116,2019-07-23,114.7699966430664,114.06999969482422,110.4000015258789
117,117,117,2019-07-24,111.6500015258789,114.08000183105467,110.62000274658205
118,118,118,2019-07-25,111.20999908447266,114.1999969482422,110.9800033569336
119,119,119,2019-07-26,111.1500015258789,114.52999877929688,111.6999969482422
120,120,120,2019-07-29,110.4499969482422,114.91000366210938,113.0
121,121,121,2019-07-30,110.55999755859376,114.5199966430664,114.05999755859376
122,122,122,2019-07-31,109.30999755859376,114.7699966430664,114.06999969482422
123,123,123,2019-08-01,115.06999969482422,111.6500015258789,114.08000183105467
124,124,124,2019-08-02,116.4800033569336,111.20999908447266,114.1999969482422
125,125,125,2019-08-05,114.7699966430664,111.1500015258789,114.52999877929688
126,126,126,2019-08-06,118.4800033569336,110.4499969482422,114.91000366210938
127,127,127,2019-08-07,118.01000213623048,110.55999755859376,114.5199966430664
128,128,128,2019-08-08,118.86000061035156,109.30999755859376,114.7699966430664
129,129,129,2019-08-09,119.01000213623048,115.06999969482422,111.6500015258789
130,130,130,2019-08-12,119.37999725341795,116.4800033569336,111.20999908447266
131,131,131,2019-08-13,120.72000122070312,114.7699966430664,111.1500015258789
132,132,132,2019-08-14,119.41000366210938,118.4800033569336,110.4499969482422
133,133,133,2019-08-15,121.87000274658205,118.01000213623048,110.55999755859376
134,134,134,2019-08-16,121.37000274658205,118.86000061035156,109.30999755859376
135,135,135,2019-08-19,120.33000183105467,119.01000213623048,115.06999969482422
136,136,136,2019-08-20,119.4499969482422,119.37999725341795,116.4800033569336
137,137,137,2019-08-21,119.16999816894533,120.72000122070312,114.7699966430664
138,138,138,2019-08-22,119.88999938964844,119.41000366210938,118.4800033569336
139,139,139,2019-08-23,119.8499984741211,121.87000274658205,118.01000213623048
140,140,140,2019-08-26,120.6999969482422,121.37000274658205,118.86000061035156
141,141,141,2019-08-27,120.05999755859376,120.33000183105467,119.01000213623048
142,142,142,2019-08-28,119.95999908447266,119.4499969482422,119.37999725341795
143,143,143,2019-08-29,118.94000244140624,119.16999816894533,120.72000122070312
144,144,144,2019-08-30,119.16000366210938,119.88999938964844,119.41000366210938
145,145,145,2019-09-03,119.08999633789062,119.8499984741211,121.87000274658205
146,146,146,2019-09-04,119.18000030517578,120.6999969482422,121.37000274658205
147,147,147,2019-09-05,119.20999908447266,120.05999755859376,120.33000183105467
148,148,148,2019-09-06,118.6999969482422,119.95999908447266,119.4499969482422
149,149,149,2019-09-09,118.6999969482422,118.94000244140624,119.16999816894533
150,150,150,2019-09-10,115.2300033569336,119.16000366210938,119.88999938964844
151,151,151,2019-09-11,114.98999786376952,119.08999633789062,119.8499984741211
152,152,152,2019-09-12,115.05999755859376,119.18000030517578,120.6999969482422
153,153,153,2019-09-13,111.05999755859376,119.20999908447266,120.05999755859376
154,154,154,2019-09-16,111.0,118.6999969482422,119.95999908447266
155,155,155,2019-09-17,113.4800033569336,118.6999969482422,118.94000244140624
156,156,156,2019-09-18,115.66000366210938,115.2300033569336,119.16000366210938
157,157,157,2019-09-19,116.44000244140624,114.98999786376952,119.08999633789062
158,158,158,2019-09-20,115.55999755859376,115.05999755859376,119.18000030517578
159,159,159,2019-09-23,115.91999816894533,111.05999755859376,119.20999908447266
160,160,160,2019-09-24,118.2300033569336,111.0,118.6999969482422
161,161,161,2019-09-25,117.93000030517578,113.4800033569336,118.6999969482422
162,162,162,2019-09-26,117.7699966430664,115.66000366210938,115.2300033569336
163,163,163,2019-09-27,115.44000244140624,116.44000244140624,114.98999786376952
164,164,164,2019-09-30,114.91000366210938,115.55999755859376,115.05999755859376
165,165,165,2019-10-01,115.58000183105467,115.91999816894533,111.05999755859376
166,166,166,2019-10-02,112.8000030517578,118.2300033569336,111.0
167,167,167,2019-10-03,116.16000366210938,117.93000030517578,113.4800033569336
168,168,168,2019-10-04,116.27999877929688,117.7699966430664,115.66000366210938
169,169,169,2019-10-07,118.25,115.44000244140624,116.44000244140624
170,170,170,2019-10-08,116.4800033569336,114.91000366210938,115.55999755859376
171,171,171,2019-10-09,117.1500015258789,115.58000183105467,115.91999816894533
172,172,172,2019-10-10,117.08000183105467,112.8000030517578,118.2300033569336
173,173,173,2019-10-11,115.5999984741211,116.16000366210938,117.93000030517578
174,174,174,2019-10-14,115.18000030517578,116.27999877929688,117.7699966430664
175,175,175,2019-10-15,115.0500030517578,118.25,115.44000244140624
176,176,176,2019-10-16,115.4800033569336,116.4800033569336,114.91000366210938
177,177,177,2019-10-17,116.4499969482422,117.1500015258789,115.58000183105467
178,178,178,2019-10-18,116.7699966430664,117.08000183105467,112.8000030517578
179,179,179,2019-10-21,115.2699966430664,115.5999984741211,116.16000366210938
