,Unnamed: 0,Date,WHR
0,0,2019-02-05,112.19381713867188
1,1,2019-02-06,111.23312377929688
2,2,2019-02-07,111.0509262084961
3,3,2019-02-08,110.38836669921876
4,4,2019-02-11,110.0736846923828
5,5,2019-02-12,112.99715423583984
6,6,2019-02-13,114.24768829345705
7,7,2019-02-14,113.93299865722656
8,8,2019-02-15,115.41545104980467
9,9,2019-02-19,117.22916412353516
10,10,2019-02-20,118.18158721923828
11,11,2019-02-21,118.2643585205078
12,12,2019-02-22,120.56674194335938
13,13,2019-02-25,119.81309509277344
14,14,2019-02-26,118.66194152832033
15,15,2019-02-27,118.38031768798828
16,16,2019-02-28,118.1465301513672
17,17,2019-03-01,117.97958374023438
18,18,2019-03-04,119.3488311767578
19,19,2019-03-05,118.48052215576172
20,20,2019-03-06,115.97581481933594
21,21,2019-03-07,114.76522064208984
22,22,2019-03-08,114.84037017822266
23,23,2019-03-11,114.0472183227539
24,24,2019-03-12,117.72911834716795
25,25,2019-03-13,117.80425262451172
26,26,2019-03-14,116.94430541992188
27,27,2019-03-15,111.19182586669922
28,28,2019-03-18,111.30040740966795
29,29,2019-03-19,110.38201141357422
30,30,2019-03-20,108.9543228149414
31,31,2019-03-21,111.88483428955078
32,32,2019-03-22,107.73538970947266
33,33,2019-03-25,107.76040649414062
34,34,2019-03-26,109.33001708984376
35,35,2019-03-27,110.02298736572266
36,36,2019-03-28,110.2484130859375
37,37,2019-03-29,110.94973754882812
38,38,2019-04-01,112.26886749267578
39,39,2019-04-02,112.36906433105467
40,40,2019-04-03,110.84954071044922
41,41,2019-04-04,112.26886749267578
42,42,2019-04-05,113.63812255859376
43,43,2019-04-08,115.10753631591795
44,44,2019-04-09,112.5276870727539
45,45,2019-04-10,114.4062042236328
46,46,2019-04-11,116.652099609375
47,47,2019-04-12,116.78567504882812
48,48,2019-04-15,113.85516357421876
49,49,2019-04-16,114.67340087890624
50,50,2019-04-17,114.2809829711914
51,51,2019-04-18,116.10102081298828
52,52,2019-04-22,116.35153198242188
53,53,2019-04-23,116.82740020751952
54,54,2019-04-24,116.22630310058594
55,55,2019-04-25,112.74474334716795
56,56,2019-04-26,114.4312515258789
57,57,2019-04-29,115.6836166381836
58,58,2019-04-30,115.90068817138672
59,59,2019-05-01,116.68547058105467
60,60,2019-05-02,118.81449127197266
61,61,2019-05-03,118.93972778320312
62,62,2019-05-06,116.8691635131836
63,63,2019-05-07,115.0073471069336
64,64,2019-05-08,114.36447143554688
65,65,2019-05-09,111.73455047607422
66,66,2019-05-10,112.1436538696289
67,67,2019-05-13,106.93387603759766
68,68,2019-05-14,107.7687530517578
69,69,2019-05-15,109.10460662841795
70,70,2019-05-16,109.47535705566406
71,71,2019-05-17,108.3883819580078
72,72,2019-05-20,109.13832092285156
73,73,2019-05-21,111.64937591552734
74,74,2019-05-22,110.38541412353516
75,75,2019-05-23,106.21434783935548
76,76,2019-05-24,105.23690032958984
77,77,2019-05-28,103.2229995727539
78,78,2019-05-29,101.36919403076172
79,79,2019-05-30,100.93946075439452
80,80,2019-05-31,96.80209350585938
81,81,2019-06-03,98.8497314453125
82,82,2019-06-04,106.01213073730467
83,83,2019-06-05,105.82674407958984
84,84,2019-06-06,108.00074005126952
85,85,2019-06-07,108.48107147216795
86,86,2019-06-10,109.74501037597656
87,87,2019-06-11,109.80397033691406
88,88,2019-06-12,109.68603515625
89,89,2019-06-13,113.82337951660156
90,90,2019-06-14,114.3289566040039
91,91,2019-06-17,116.33443450927734
92,92,2019-06-18,119.47743225097656
93,93,2019-06-19,119.63754272460938
94,94,2019-06-20,119.01403045654295
95,95,2019-06-21,119.3763656616211
96,96,2019-06-24,118.05343627929688
97,97,2019-06-25,115.94683074951172
98,98,2019-06-26,117.75005340576172
99,99,2019-06-27,119.9156494140625
100,100,2019-06-28,119.95777130126952
101,101,2019-07-01,122.67106628417967
102,102,2019-07-02,122.0475082397461
103,103,2019-07-03,123.2187728881836
104,104,2019-07-05,121.89583587646484
105,105,2019-07-08,121.78630065917967
106,106,2019-07-09,120.32849884033205
107,107,2019-07-10,119.72183227539062
108,108,2019-07-11,120.18528747558594
109,109,2019-07-12,123.37887573242188
110,110,2019-07-15,121.25543975830078
111,111,2019-07-16,125.1905517578125
112,112,2019-07-17,125.721435546875
113,113,2019-07-18,126.71574401855467
114,114,2019-07-19,124.87033081054688
115,115,2019-07-22,125.00514221191406
116,116,2019-07-23,120.05046081542967
117,117,2019-07-24,123.50525665283205
118,118,2019-07-25,123.85918426513672
119,119,2019-07-26,125.50233459472656
120,120,2019-07-29,125.5613250732422
121,121,2019-07-30,127.02749633789062
122,122,2019-07-31,122.58677673339844
123,123,2019-08-01,117.9017562866211
124,124,2019-08-02,114.24469757080078
125,125,2019-08-05,112.20550537109376
126,126,2019-08-06,114.85982513427734
127,127,2019-08-07,116.73046112060548
128,128,2019-08-08,119.64600372314452
129,129,2019-08-09,115.10419464111328
130,130,2019-08-12,113.7643814086914
131,131,2019-08-13,114.34580993652344
132,132,2019-08-14,109.39109802246094
133,133,2019-08-15,108.8433837890625
134,134,2019-08-16,111.03423309326172
135,135,2019-08-19,114.0256118774414
136,136,2019-08-20,115.58448028564452
137,137,2019-08-21,118.10396575927734
138,138,2019-08-22,117.37088775634766
139,139,2019-08-23,113.37680053710938
140,140,2019-08-26,114.48064422607422
141,141,2019-08-27,112.99759674072266
142,142,2019-08-28,115.71089935302734
143,143,2019-08-29,116.90096282958984
144,144,2019-08-30,118.23556518554688
145,145,2019-09-03,114.30828094482422
