,Unnamed: 0,Date,SO
0,0,2019-02-05,39.60910034179688
1,1,2019-02-06,39.45466995239258
2,2,2019-02-07,39.95861053466797
3,3,2019-02-08,39.92609786987305
4,4,2019-02-11,40.02363967895508
5,5,2019-02-12,40.12931060791016
6,6,2019-02-13,40.00737762451172
7,7,2019-02-14,39.99112319946289
8,8,2019-02-15,39.95821380615234
9,9,2019-02-19,40.25444412231445
10,10,2019-02-20,40.929195404052734
11,11,2019-02-21,41.324161529541016
12,12,2019-02-22,41.44758987426758
13,13,2019-02-25,40.78107452392578
14,14,2019-02-26,40.50130081176758
15,15,2019-02-27,40.63296127319336
16,16,2019-02-28,40.8880500793457
17,17,2019-03-01,41.12667083740234
18,18,2019-03-04,41.22541809082031
19,19,2019-03-05,41.20072555541992
20,20,2019-03-06,41.2501106262207
21,21,2019-03-07,41.54633331298828
22,22,2019-03-08,41.88371276855469
23,23,2019-03-11,42.29514694213867
24,24,2019-03-12,42.52553939819336
25,25,2019-03-13,42.566680908203125
26,26,2019-03-14,42.40211486816406
27,27,2019-03-15,42.67366027832031
28,28,2019-03-18,42.60783004760742
29,29,2019-03-19,41.95775604248047
30,30,2019-03-20,42.11410903930664
31,31,2019-03-21,42.43502426147461
32,32,2019-03-22,42.69012451171875
33,33,2019-03-25,42.83000183105469
34,34,2019-03-26,43.2249755859375
35,35,2019-03-27,42.97811126708984
36,36,2019-03-28,42.253997802734375
37,37,2019-03-29,42.52553939819336
38,38,2019-04-01,42.30337524414063
39,39,2019-04-02,42.49262619018555
40,40,2019-04-03,42.37743377685547
41,41,2019-04-04,42.13056945800781
42,42,2019-04-05,42.500858306884766
43,43,2019-04-08,42.38565826416016
44,44,2019-04-09,42.74771881103516
45,45,2019-04-10,42.599605560302734
46,46,2019-04-11,42.88759613037109
47,47,2019-04-12,43.200294494628906
48,48,2019-04-15,43.38131713867188
49,49,2019-04-16,43.109771728515625
50,50,2019-04-17,42.920509338378906
51,51,2019-04-18,42.75594711303711
52,52,2019-04-22,42.731258392333984
53,53,2019-04-23,42.65719985961914
54,54,2019-04-24,42.97811126708984
55,55,2019-04-25,43.150917053222656
56,56,2019-04-26,43.23320388793945
57,57,2019-04-29,43.0027961730957
58,58,2019-04-30,43.792747497558594
59,59,2019-05-01,43.21675109863281
60,60,2019-05-02,43.406009674072266
61,61,2019-05-03,43.809207916259766
62,62,2019-05-06,43.61994171142578
63,63,2019-05-07,43.49651336669922
64,64,2019-05-08,42.95343399047852
65,65,2019-05-09,43.085086822509766
66,66,2019-05-10,43.91617584228516
67,67,2019-05-13,44.51686477661133
68,68,2019-05-14,44.13012313842773
69,69,2019-05-15,44.13835144042969
70,70,2019-05-16,44.48395919799805
71,71,2019-05-17,44.80027389526367
72,72,2019-05-20,45.016700744628906
73,73,2019-05-21,44.92513275146485
74,74,2019-05-22,45.04166412353516
75,75,2019-05-23,45.23312759399414
76,76,2019-05-24,45.24144744873047
77,77,2019-05-28,44.58385467529297
78,78,2019-05-29,44.026126861572266
79,79,2019-05-30,44.1176986694336
80,80,2019-05-31,44.53390502929688
81,81,2019-06-03,45.08329772949219
82,82,2019-06-04,45.1165885925293
83,83,2019-06-05,45.624359130859375
84,84,2019-06-06,46.09883117675781
85,85,2019-06-07,45.54111862182617
86,86,2019-06-10,45.34966659545898
87,87,2019-06-11,45.407936096191406
88,88,2019-06-12,45.90737915039063
89,89,2019-06-13,45.90737915039063
90,90,2019-06-14,46.32358551025391
91,91,2019-06-17,46.1987190246582
92,92,2019-06-18,45.99893951416016
93,93,2019-06-19,46.39849853515625
94,94,2019-06-20,46.63157272338867
95,95,2019-06-21,46.83967208862305
96,96,2019-06-24,46.84799957275391
97,97,2019-06-25,46.59827423095703
98,98,2019-06-26,45.765869140625
99,99,2019-06-27,45.849117279052734
100,100,2019-06-28,46.015586853027344
101,101,2019-07-01,45.64933776855469
102,102,2019-07-02,46.498382568359375
103,103,2019-07-03,46.872955322265625
104,104,2019-07-05,46.91459274291992
105,105,2019-07-08,46.872955322265625
106,106,2019-07-09,47.08107376098633
107,107,2019-07-10,47.37241744995117
108,108,2019-07-11,47.022796630859375
109,109,2019-07-12,46.34022903442383
110,110,2019-07-15,46.70649719238281
111,111,2019-07-16,46.33190536499024
112,112,2019-07-17,46.44012069702149
113,113,2019-07-18,46.723140716552734
114,114,2019-07-19,46.007266998291016
115,115,2019-07-22,46.182071685791016
116,116,2019-07-23,46.13212203979492
117,117,2019-07-24,46.31525421142578
118,118,2019-07-25,46.08218383789063
119,119,2019-07-26,46.39849853515625
120,120,2019-07-29,46.70649719238281
121,121,2019-07-30,46.023921966552734
122,122,2019-07-31,46.78141021728516
123,123,2019-08-01,47.43069076538086
124,124,2019-08-02,47.74699783325195
125,125,2019-08-05,46.55665588378906
126,126,2019-08-06,47.39738464355469
127,127,2019-08-07,47.82191848754883
128,128,2019-08-08,48.437896728515625
129,129,2019-08-09,48.554443359375
130,130,2019-08-12,48.84578704833984
131,131,2019-08-13,47.61381149291992
132,132,2019-08-14,47.49728012084961
133,133,2019-08-15,47.97175216674805
134,134,2019-08-16,48.36724090576172
135,135,2019-08-19,48.75430679321289
136,136,2019-08-20,48.5439453125
137,137,2019-08-21,48.762725830078125
138,138,2019-08-22,49.1834602355957
139,139,2019-08-23,48.53553009033203
140,140,2019-08-26,49.09089660644531
141,141,2019-08-27,48.60284423828125
142,142,2019-08-28,48.64492034912109
143,143,2019-08-29,48.9057731628418
144,144,2019-08-30,49.02357482910156
145,145,2019-09-03,50.29418182373047
