,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m
0,0,0,2019-02-05,42.70698547363281,,
1,1,1,2019-02-06,42.70222091674805,,
2,2,2,2019-02-07,42.72600936889648,,
3,3,3,2019-02-08,42.92094039916992,,
4,4,4,2019-02-11,42.830596923828125,,
5,5,5,2019-02-12,43.5438117980957,,
6,6,6,2019-02-13,43.676944732666016,42.70698547363281,
7,7,7,2019-02-14,43.33936309814453,42.70222091674805,
8,8,8,2019-02-15,44.07159423828125,42.72600936889648,
9,9,9,2019-02-19,43.96699142456055,42.92094039916992,
10,10,10,2019-02-20,44.44721221923828,42.830596923828125,
11,11,11,2019-02-21,44.37589645385742,43.5438117980957,
12,12,12,2019-02-22,44.85611724853516,43.676944732666016,42.70698547363281
13,13,13,2019-02-25,45.23174285888672,43.33936309814453,42.70222091674805
14,14,14,2019-02-26,44.7943115234375,44.07159423828125,42.72600936889648
15,15,15,2019-02-27,44.78955459594727,43.96699142456055,42.92094039916992
16,16,16,2019-02-28,44.68020248413086,44.44721221923828,42.830596923828125
17,17,17,2019-03-01,45.22223663330078,44.37589645385742,43.5438117980957
18,18,18,2019-03-04,44.91793441772461,44.85611724853516,43.676944732666016
19,19,19,2019-03-05,45.060577392578125,45.23174285888672,43.33936309814453
20,20,20,2019-03-06,44.71823120117188,44.7943115234375,44.07159423828125
21,21,21,2019-03-07,44.3996696472168,44.78955459594727,43.96699142456055
22,22,22,2019-03-08,44.15242767333984,44.68020248413086,44.44721221923828
23,23,23,2019-03-11,44.68020248413086,45.22223663330078,44.37589645385742
24,24,24,2019-03-12,44.694454193115234,44.91793441772461,44.85611724853516
25,25,25,2019-03-13,44.90366744995117,45.060577392578125,45.23174285888672
26,26,26,2019-03-14,44.84661102294922,44.71823120117188,44.7943115234375
27,27,27,2019-03-15,45.36963653564453,44.3996696472168,44.78955459594727
28,28,28,2019-03-18,45.4840202331543,44.15242767333984,44.68020248413086
29,29,29,2019-03-19,45.61748504638672,44.68020248413086,45.22223663330078
30,30,30,2019-03-20,45.37915802001953,44.694454193115234,44.91793441772461
31,31,31,2019-03-21,46.022605895996094,44.90366744995117,45.060577392578125
32,32,32,2019-03-22,45.05982208251953,44.84661102294922,44.71823120117188
33,33,33,2019-03-25,44.88824462890625,45.36963653564453,44.3996696472168
34,34,34,2019-03-26,45.040771484375,45.4840202331543,44.15242767333984
35,35,35,2019-03-27,44.66899490356445,45.61748504638672,44.68020248413086
36,36,36,2019-03-28,44.81198501586914,45.37915802001953,44.694454193115234
37,37,37,2019-03-29,45.01216506958008,46.022605895996094,44.90366744995117
38,38,38,2019-04-01,46.61838150024414,45.05982208251953,44.84661102294922
39,39,39,2019-04-02,47.54779052734375,44.88824462890625,45.36963653564453
40,40,40,2019-04-03,48.100677490234375,45.040771484375,45.4840202331543
41,41,41,2019-04-04,48.47720718383789,44.66899490356445,45.61748504638672
42,42,42,2019-04-05,48.94905853271485,44.81198501586914,45.37915802001953
43,43,43,2019-04-08,48.9919548034668,45.01216506958008,46.022605895996094
44,44,44,2019-04-09,48.34375,46.61838150024414,45.05982208251953
45,45,45,2019-04-10,48.553466796875,47.54779052734375,44.88824462890625
46,46,46,2019-04-11,49.05392074584961,48.100677490234375,45.040771484375
47,47,47,2019-04-12,49.46857452392578,48.47720718383789,44.66899490356445
48,48,48,2019-04-15,49.5162467956543,48.94905853271485,44.81198501586914
49,49,49,2019-04-16,49.36848449707031,48.9919548034668,45.01216506958008
50,50,50,2019-04-17,49.56866455078125,48.34375,46.61838150024414
51,51,51,2019-04-18,49.84035110473633,48.553466796875,47.54779052734375
52,52,52,2019-04-22,49.52577209472656,49.05392074584961,48.100677490234375
53,53,53,2019-04-23,50.22640609741211,49.46857452392578,48.47720718383789
54,54,54,2019-04-24,48.8632698059082,49.5162467956543,48.94905853271485
55,55,55,2019-04-25,47.96245193481445,49.36848449707031,48.9919548034668
56,56,56,2019-04-26,47.64788436889648,49.56866455078125,48.34375
57,57,57,2019-04-29,47.14743041992188,49.84035110473633,48.553466796875
58,58,58,2019-04-30,47.45246505737305,49.52577209472656,49.05392074584961
59,59,59,2019-05-01,47.6240463256836,50.22640609741211,49.46857452392578
60,60,60,2019-05-02,47.25228500366211,48.8632698059082,49.5162467956543
61,61,61,2019-05-03,47.66695022583008,47.96245193481445,49.36848449707031
62,62,62,2019-05-06,46.89481735229492,47.64788436889648,49.56866455078125
