,Unnamed: 0,Date,CNP
0,0,2019-02-05,26.518266677856445
1,1,2019-02-06,26.320432662963867
2,2,2019-02-07,26.50106239318848
3,3,2019-02-08,26.53546714782715
4,4,2019-02-11,26.483861923217773
5,5,2019-02-12,26.526870727539062
6,6,2019-02-13,26.45805931091309
7,7,2019-02-14,26.518266677856445
8,8,2019-02-15,26.569873809814453
9,9,2019-02-19,26.84511947631836
10,10,2019-02-20,26.89547538757324
11,11,2019-02-21,27.103832244873047
12,12,2019-02-22,27.26009750366211
13,13,2019-02-25,26.92151641845703
14,14,2019-02-26,26.85206794738769
15,15,2019-02-27,27.051740646362305
16,16,2019-02-28,26.16622734069824
17,17,2019-03-01,26.192270278930664
18,18,2019-03-04,26.33986091613769
19,19,2019-03-05,26.192270278930664
20,20,2019-03-06,26.131498336791992
21,21,2019-03-07,26.070724487304688
22,22,2019-03-08,26.070724487304688
23,23,2019-03-11,26.41798973083496
24,24,2019-03-12,26.63502693176269
25,25,2019-03-13,26.40062713623047
26,26,2019-03-14,26.40062713623047
27,27,2019-03-15,26.747882843017575
28,28,2019-03-18,26.5482120513916
29,29,2019-03-19,26.27908515930176
30,30,2019-03-20,26.270404815673828
31,31,2019-03-21,26.582935333251957
32,32,2019-03-22,26.66975212097168
33,33,2019-03-25,26.739208221435547
34,34,2019-03-26,26.85206794738769
35,35,2019-03-27,26.51348114013672
36,36,2019-03-28,26.331174850463867
37,37,2019-03-29,26.652389526367188
38,38,2019-04-01,26.652389526367188
39,39,2019-04-02,26.721847534179688
40,40,2019-04-03,26.652389526367188
41,41,2019-04-04,26.504806518554688
42,42,2019-04-05,26.79997444152832
43,43,2019-04-08,26.444034576416016
44,44,2019-04-09,26.322490692138672
45,45,2019-04-10,26.21831321716309
46,46,2019-04-11,26.296445846557617
47,47,2019-04-12,26.539527893066406
48,48,2019-04-15,26.478759765625
49,49,2019-04-16,26.174909591674805
50,50,2019-04-17,26.053361892700195
51,51,2019-04-18,26.296445846557617
52,52,2019-04-22,26.461400985717773
53,53,2019-04-23,26.582935333251957
54,54,2019-04-24,26.296445846557617
55,55,2019-04-25,26.48744010925293
56,56,2019-04-26,26.45271873474121
57,57,2019-04-29,26.43535804748535
58,58,2019-04-30,26.9128360748291
59,59,2019-05-01,26.721847534179688
60,60,2019-05-02,26.6957950592041
61,61,2019-05-03,27.04306030273437
62,62,2019-05-06,26.95624542236328
63,63,2019-05-07,26.747882843017575
64,64,2019-05-08,26.43535804748535
65,65,2019-05-09,25.3935661315918
66,66,2019-05-10,25.74950790405273
67,67,2019-05-13,26.183582305908203
68,68,2019-05-14,25.853687286376957
69,69,2019-05-15,25.790573120117188
70,70,2019-05-16,25.94836807250977
71,71,2019-05-17,26.097394943237305
72,72,2019-05-20,25.98342704772949
73,73,2019-05-21,25.878231048583984
74,74,2019-05-22,25.90453147888184
75,75,2019-05-23,25.790573120117188
76,76,2019-05-24,25.76426696777344
77,77,2019-05-28,25.26458740234375
78,78,2019-05-29,24.94023704528809
79,79,2019-05-30,24.78243827819824
80,80,2019-05-31,24.93146705627441
81,81,2019-06-03,25.12432861328125
82,82,2019-06-04,25.26458740234375
83,83,2019-06-05,25.45745277404785
84,84,2019-06-06,25.553878784179688
85,85,2019-06-07,25.26458740234375
86,86,2019-06-10,25.352256774902344
87,87,2019-06-11,25.10679817199707
88,88,2019-06-12,25.40485000610352
89,89,2019-06-13,25.65030860900879
90,90,2019-06-14,25.965896606445312
91,91,2019-06-17,25.94836807250977
92,92,2019-06-18,25.8957633972168
93,93,2019-06-19,26.28148651123047
94,94,2019-06-20,26.334083557128903
95,95,2019-06-21,26.2288875579834
96,96,2019-06-24,26.16752052307129
97,97,2019-06-25,25.869468688964844
98,98,2019-06-26,25.115558624267575
99,99,2019-06-27,24.99283218383789
100,100,2019-06-28,25.0980281829834
101,101,2019-07-01,24.97530174255371
102,102,2019-07-02,25.42238044738769
103,103,2019-07-03,25.799335479736328
104,104,2019-07-05,25.8080997467041
105,105,2019-07-08,25.562644958496094
106,106,2019-07-09,25.501279830932617
107,107,2019-07-10,25.43114852905273
108,108,2019-07-11,25.4749813079834
109,109,2019-07-12,25.308422088623047
110,110,2019-07-15,25.41361427307129
111,111,2019-07-16,25.334718704223636
112,112,2019-07-17,25.43114852905273
113,113,2019-07-18,25.641542434692383
114,114,2019-07-19,25.10679817199707
115,115,2019-07-22,25.141864776611328
116,116,2019-07-23,25.15062522888184
117,117,2019-07-24,24.922700881958008
118,118,2019-07-25,25.027891159057617
119,119,2019-07-26,25.247055053710938
120,120,2019-07-29,25.211990356445312
121,121,2019-07-30,25.28211784362793
122,122,2019-07-31,25.43114852905273
123,123,2019-08-01,25.501279830932617
124,124,2019-08-02,25.711669921875
125,125,2019-08-05,25.027891159057617
126,126,2019-08-06,25.29965209960937
127,127,2019-08-07,24.59834289550781
128,128,2019-08-08,24.39672470092773
129,129,2019-08-09,24.212627410888672
130,130,2019-08-12,24.335355758666992
131,131,2019-08-13,24.54574966430664
132,132,2019-08-14,24.35797119140625
133,133,2019-08-15,24.41997528076172
134,134,2019-08-16,24.685697555541992
135,135,2019-08-19,24.89827537536621
136,136,2019-08-20,24.650270462036133
137,137,2019-08-21,24.729982376098636
138,138,2019-08-22,24.81856155395508
139,139,2019-08-23,24.287113189697266
140,140,2019-08-26,24.428831100463867
141,141,2019-08-27,24.16310691833496
142,142,2019-08-28,24.189682006835938
143,143,2019-08-29,24.46426010131836
144,144,2019-08-30,24.526262283325195
145,145,2019-09-03,25.057714462280277
