,Unnamed: 0.1,Unnamed: 0,Date,FRT,FRT_6m,FRT_12m
0,0,0,2019-02-05,109.81991577148438,,
1,1,1,2019-02-06,109.1572265625,,
2,2,2,2019-02-07,110.93260955810548,,
3,3,3,2019-02-08,111.6934814453125,,
4,4,4,2019-02-11,111.66072082519533,,
5,5,5,2019-02-12,110.51535034179688,,
6,6,6,2019-02-13,110.9244155883789,109.81991577148438,
7,7,7,2019-02-14,109.81170654296876,109.1572265625,
8,8,8,2019-02-15,110.8425750732422,110.93260955810548,
9,9,9,2019-02-19,110.71988677978516,111.6934814453125,
10,10,10,2019-02-20,109.32902526855467,111.66072082519533,
11,11,11,2019-02-21,110.0081024169922,110.51535034179688,
12,12,12,2019-02-22,110.58080291748048,110.9244155883789,109.81991577148438
13,13,13,2019-02-25,109.81170654296876,109.81170654296876,109.1572265625
14,14,14,2019-02-26,109.41903686523438,110.8425750732422,110.93260955810548
15,15,15,2019-02-27,108.91175079345705,110.71988677978516,111.6934814453125
16,16,16,2019-02-28,109.29627990722656,109.32902526855467,111.66072082519533
17,17,17,2019-03-01,108.3717803955078,110.0081024169922,110.51535034179688
18,18,18,2019-03-04,108.87085723876952,110.58080291748048,110.9244155883789
19,19,19,2019-03-05,109.87718200683594,109.81170654296876,109.81170654296876
20,20,20,2019-03-06,108.62543487548828,109.41903686523438,110.8425750732422
21,21,21,2019-03-07,108.28997039794922,108.91175079345705,110.71988677978516
22,22,22,2019-03-08,107.8563461303711,109.29627990722656,109.32902526855467
23,23,23,2019-03-11,108.73178100585938,108.3717803955078,110.0081024169922
24,24,24,2019-03-12,109.63174438476562,108.87085723876952,110.58080291748048
25,25,25,2019-03-13,110.3572235107422,109.87718200683594,109.81170654296876
26,26,26,2019-03-14,110.0439453125,108.62543487548828,109.41903686523438
27,27,27,2019-03-15,109.3844223022461,108.28997039794922,108.91175079345705
28,28,28,2019-03-18,109.14530181884766,107.8563461303711,109.29627990722656
29,29,29,2019-03-19,108.23020935058594,108.73178100585938,108.3717803955078
30,30,30,2019-03-20,108.57646942138672,109.63174438476562,108.87085723876952
31,31,31,2019-03-21,110.52212524414062,110.3572235107422,109.87718200683594
32,32,32,2019-03-22,110.90135955810548,110.0439453125,108.62543487548828
33,33,33,2019-03-25,111.45372772216795,109.3844223022461,108.28997039794922
34,34,34,2019-03-26,113.20972442626952,109.14530181884766,107.8563461303711
35,35,35,2019-03-27,112.97888946533205,108.23020935058594,108.73178100585938
36,36,36,2019-03-28,114.38864135742188,108.57646942138672,109.63174438476562
37,37,37,2019-03-29,113.64667510986328,110.52212524414062,110.3572235107422
38,38,38,2019-04-01,113.13552856445312,110.90135955810548,110.0439453125
39,39,39,2019-04-02,113.44881439208984,111.45372772216795,109.3844223022461
40,40,40,2019-04-03,113.25920104980467,113.20972442626952,109.14530181884766
41,41,41,2019-04-04,113.46530151367188,112.97888946533205,108.23020935058594
42,42,42,2019-04-05,114.52880096435548,114.38864135742188,108.57646942138672
43,43,43,2019-04-08,113.6961441040039,113.64667510986328,110.52212524414062
44,44,44,2019-04-09,112.9294204711914,113.13552856445312,110.90135955810548
45,45,45,2019-04-10,114.21553802490234,113.44881439208984,111.45372772216795
46,46,46,2019-04-11,112.88821411132812,113.25920104980467,113.20972442626952
47,47,47,2019-04-12,113.86102294921876,113.46530151367188,112.97888946533205
48,48,48,2019-04-15,112.55020141601562,114.52880096435548,114.38864135742188
49,49,49,2019-04-16,109.2277603149414,113.6961441040039,113.64667510986328
50,50,50,2019-04-17,108.00762176513672,112.9294204711914,113.13552856445312
51,51,51,2019-04-18,108.98869323730467,114.21553802490234,113.44881439208984
52,52,52,2019-04-22,106.83694458007812,112.88821411132812,113.25920104980467
53,53,53,2019-04-23,108.370361328125,113.86102294921876,113.46530151367188
54,54,54,2019-04-24,109.74713134765624,112.55020141601562,114.52880096435548
55,55,55,2019-04-25,110.2418212890625,109.2277603149414,113.6961441040039
56,56,56,2019-04-26,110.39020538330078,108.00762176513672,112.9294204711914
57,57,57,2019-04-29,109.3349380493164,108.98869323730467,114.21553802490234
58,58,58,2019-04-30,110.34900665283205,106.83694458007812,112.88821411132812
59,59,59,2019-05-01,110.34073638916016,108.370361328125,113.86102294921876
60,60,60,2019-05-02,110.54683685302734,109.74713134765624,112.55020141601562
61,61,61,2019-05-03,109.61526489257812,110.2418212890625,109.2277603149414
62,62,62,2019-05-06,109.49981689453124,110.39020538330078,108.00762176513672
63,63,63,2019-05-07,106.97708892822266,109.3349380493164,108.98869323730467
64,64,64,2019-05-08,106.77922821044922,110.34900665283205,106.83694458007812
65,65,65,2019-05-09,106.39175415039062,110.34073638916016,108.370361328125
66,66,66,2019-05-10,106.64732360839844,110.54683685302734,109.74713134765624
67,67,67,2019-05-13,106.50716400146484,109.61526489257812,110.2418212890625
68,68,68,2019-05-14,106.06198120117188,109.49981689453124,110.39020538330078
69,69,69,2019-05-15,107.2491455078125,106.97708892822266,109.3349380493164
