,Unnamed: 0,Date,EQIX
0,0,2019-02-05,362.31536865234375
1,1,2019-02-06,357.1065673828125
2,2,2019-02-07,356.82281494140625
3,3,2019-02-08,362.3427429199219
4,4,2019-02-11,366.2333068847656
5,5,2019-02-12,363.8623352050781
6,6,2019-02-13,358.763427734375
7,7,2019-02-14,385.0177917480469
8,8,2019-02-15,385.7501525878906
9,9,2019-02-19,394.1719970703125
10,10,2019-02-20,395.0325317382813
11,11,2019-02-21,389.842041015625
12,12,2019-02-22,392.29541015625
13,13,2019-02-25,392.6982116699219
14,14,2019-02-26,392.0721130371094
15,15,2019-02-27,384.9919738769531
16,16,2019-02-28,389.9176940917969
17,17,2019-03-01,398.4709777832031
18,18,2019-03-04,393.1217041015625
19,19,2019-03-05,393.06646728515625
20,20,2019-03-06,390.9856567382813
21,21,2019-03-07,392.9099426269531
22,22,2019-03-08,396.2521362304688
23,23,2019-03-11,403.5716857910156
24,24,2019-03-12,403.7282104492188
25,25,2019-03-13,404.0688171386719
26,26,2019-03-14,405.5511779785156
27,27,2019-03-15,406.591552734375
28,28,2019-03-18,408.88421630859375
29,29,2019-03-19,408.3777770996094
30,30,2019-03-20,412.5484619140625
31,31,2019-03-21,421.9489440917969
32,32,2019-03-22,415.6973571777344
33,33,2019-03-25,410.7992248535156
34,34,2019-03-26,412.1711120605469
35,35,2019-03-27,412.5484619140625
36,36,2019-03-28,414.2794189453125
37,37,2019-03-29,417.2257385253906
38,38,2019-04-01,420.1167602539063
39,39,2019-04-02,423.9283752441406
40,40,2019-04-03,425.3739318847656
41,41,2019-04-04,424.8491516113281
42,42,2019-04-05,429.6183166503906
43,43,2019-04-08,426.6629028320313
44,44,2019-04-09,423.6246032714844
45,45,2019-04-10,424.6373291015625
46,46,2019-04-11,424.1401672363281
47,47,2019-04-12,426.6352844238281
48,48,2019-04-15,423.5232849121094
49,49,2019-04-16,416.7653503417969
50,50,2019-04-17,412.0329895019531
51,51,2019-04-18,411.03857421875
52,52,2019-04-22,411.7659912109375
53,53,2019-04-23,414.5095825195313
54,54,2019-04-24,417.5019836425781
55,55,2019-04-25,417.8978271484375
56,56,2019-04-26,417.1243896484375
57,57,2019-04-29,413.2206726074219
58,58,2019-04-30,418.64361572265625
59,59,2019-05-01,414.3255004882813
60,60,2019-05-02,428.1360473632813
61,61,2019-05-03,439.16607666015625
62,62,2019-05-06,440.5838928222656
63,63,2019-05-07,437.2694091796875
64,64,2019-05-08,440.998291015625
65,65,2019-05-09,438.7977600097656
66,66,2019-05-10,441.7716064453125
67,67,2019-05-13,438.47552490234375
68,68,2019-05-14,445.6201477050781
69,69,2019-05-15,448.0325012207031
70,70,2019-05-16,452.7648620605469
71,71,2019-05-17,451.4021606445313
72,72,2019-05-20,442.0478820800781
73,73,2019-05-21,448.3316345214844
74,74,2019-05-22,457.1603698730469
75,75,2019-05-23,459.2611999511719
76,76,2019-05-24,459.5016784667969
77,77,2019-05-28,454.6061401367188
78,78,2019-05-29,446.5732727050781
79,79,2019-05-30,450.9783630371094
80,80,2019-05-31,449.5717468261719
81,81,2019-06-03,449.3774719238281
82,82,2019-06-04,445.1851806640625
83,83,2019-06-05,458.3634948730469
84,84,2019-06-06,457.7804565429688
85,85,2019-06-07,462.3521423339844
86,86,2019-06-10,468.2934875488281
87,87,2019-06-11,466.6461791992188
88,88,2019-06-12,466.1187133789063
89,89,2019-06-13,469.47802734375
90,90,2019-06-14,471.9027404785156
91,91,2019-06-17,473.3464965820313
92,92,2019-06-18,465.7115173339844
93,93,2019-06-19,473.0595703125
94,94,2019-06-20,470.4682922363281
95,95,2019-06-21,470.2091064453125
96,96,2019-06-24,472.0137939453125
97,97,2019-06-25,462.7685852050781
98,98,2019-06-26,453.7269287109375
99,99,2019-06-27,461.0472412109375
100,100,2019-06-28,466.6925048828125
101,101,2019-07-01,467.29400634765625
102,102,2019-07-02,476.5484313964844
103,103,2019-07-03,480.2594909667969
104,104,2019-07-05,479.54693603515625
105,105,2019-07-08,480.453857421875
106,106,2019-07-09,482.6194458007813
107,107,2019-07-10,487.8572998046875
108,108,2019-07-11,484.8219604492188
109,109,2019-07-12,479.3896179199219
110,110,2019-07-15,478.445556640625
111,111,2019-07-16,475.8821105957031
112,112,2019-07-17,473.9941711425781
113,113,2019-07-18,473.9849243164063
114,114,2019-07-19,468.8394775390625
115,115,2019-07-22,468.6451721191406
116,116,2019-07-23,469.50579833984375
117,117,2019-07-24,470.4220275878906
118,118,2019-07-25,453.912109375
119,119,2019-07-26,452.3665466308594
120,120,2019-07-29,450.3028259277344
121,121,2019-07-30,461.6302795410156
122,122,2019-07-31,464.6656799316406
123,123,2019-08-01,483.7762756347656
124,124,2019-08-02,485.0162963867188
125,125,2019-08-05,474.45697021484375
126,126,2019-08-06,481.1016540527344
127,127,2019-08-07,493.3453674316406
128,128,2019-08-08,508.2911987304688
129,129,2019-08-09,511.2340393066406
130,130,2019-08-12,512.048583984375
131,131,2019-08-13,507.4952697753906
132,132,2019-08-14,499.6290893554688
133,133,2019-08-15,505.607421875
134,134,2019-08-16,510.6695556640625
135,135,2019-08-19,514.2973022460938
136,136,2019-08-20,508.4690246582031
137,137,2019-08-21,513.2096557617188
138,138,2019-08-22,515.3661499023438
139,139,2019-08-23,510.7184753417969
140,140,2019-08-26,519.326171875
141,141,2019-08-27,518.2479858398438
142,142,2019-08-28,514.5390625
143,143,2019-08-29,518.4338989257812
144,144,2019-08-30,517.0953369140625
145,145,2019-09-03,526.046875
146,146,2019-09-04,519.1495971679688
147,147,2019-09-05,512.1871337890625
148,148,2019-09-06,515.0596313476562
149,149,2019-09-09,500.2982177734375
150,150,2019-09-10,494.0050964355469
151,151,2019-09-11,491.2163696289063
152,152,2019-09-12,500.9209899902344
153,153,2019-09-13,498.9874877929688
154,154,2019-09-16,511.192626953125
155,155,2019-09-17,519.5401000976562
156,156,2019-09-18,521.4827880859375
157,157,2019-09-19,528.9471435546875
158,158,2019-09-20,526.5489501953125
159,159,2019-09-23,540.7340698242188
160,160,2019-09-24,531.7451171875
161,161,2019-09-25,538.4473266601562
162,162,2019-09-26,541.95166015625
163,163,2019-09-27,536.0023803710938
164,164,2019-09-30,536.1699829101562
165,165,2019-10-01,529.4677734375
166,166,2019-10-02,521.9663696289062
167,167,2019-10-03,535.1939086914062
168,168,2019-10-04,540.67822265625
169,169,2019-10-07,536.64404296875
170,170,2019-10-08,529.384033203125
171,171,2019-10-09,534.4966430664062
172,172,2019-10-10,531.8938598632812
173,173,2019-10-11,526.6976318359375
174,174,2019-10-14,527.5248413085938
175,175,2019-10-15,531.3826904296875
176,176,2019-10-16,527.8875122070312
177,177,2019-10-17,531.5592651367188
178,178,2019-10-18,535.8072509765625
179,179,2019-10-21,536.6812133789062
180,180,2019-10-22,529.7837524414062
181,181,2019-10-23,526.7068481445312
182,182,2019-10-24,523.6581420898438
183,183,2019-10-25,525.888916015625
184,184,2019-10-28,527.1810913085938
185,185,2019-10-29,527.5435791015625
186,186,2019-10-30,530.9271240234375
187,187,2019-10-31,526.8555908203125
188,188,2019-11-01,522.635498046875
189,189,2019-11-04,504.9368286132813
190,190,2019-11-05,490.054443359375
191,191,2019-11-06,494.4140625
192,192,2019-11-07,485.69476318359375
193,193,2019-11-08,492.95458984375
194,194,2019-11-11,497.3141784667969
195,195,2019-11-12,493.8191223144531
196,196,2019-11-13,502.6406555175781
197,197,2019-11-14,506.3403625488281
198,198,2019-11-15,511.6388244628906
199,199,2019-11-18,518.8893432617188
200,200,2019-11-19,527.4885864257812
201,201,2019-11-20,531.036376953125
202,202,2019-11-21,523.0161743164062
203,203,2019-11-22,520.5980224609375
204,204,2019-11-25,517.1152954101562
205,205,2019-11-26,517.8903198242188
206,206,2019-11-27,527.7033081054688
207,207,2019-11-29,529.2530517578125
208,208,2019-12-02,513.278076171875
209,209,2019-12-03,515.9481811523438
210,210,2019-12-04,525.593017578125
211,211,2019-12-05,522.9133911132812
212,212,2019-12-06,522.10107421875
213,213,2019-12-09,523.52978515625
214,214,2019-12-10,520.7379760742188
215,215,2019-12-11,522.0545043945312
216,216,2019-12-12,511.4666442871094
217,217,2019-12-13,515.23876953125
218,218,2019-12-16,525.4716796875
219,219,2019-12-17,520.5420532226562
220,220,2019-12-18,527.9459228515625
221,221,2019-12-19,537.7214965820312
222,222,2019-12-20,539.392822265625
223,223,2019-12-23,533.7254028320312
224,224,2019-12-24,535.2192993164062
225,225,2019-12-26,541.073486328125
226,226,2019-12-27,543.8651123046875
227,227,2019-12-30,541.7549438476562
228,228,2019-12-31,544.9855346679688
229,229,2020-01-02,540.924072265625
230,230,2020-01-03,546.3114013671875
231,231,2020-01-06,545.7138061523438
232,232,2020-01-07,543.2862548828125
233,233,2020-01-08,545.0789794921875
234,234,2020-01-09,549.924560546875
235,235,2020-01-10,554.6023559570312
236,236,2020-01-13,555.4987182617188
237,237,2020-01-14,547.599853515625
238,238,2020-01-15,547.3570556640625
239,239,2020-01-16,555.6481323242188
240,240,2020-01-17,549.0003662109375
241,241,2020-01-21,550.8674926757812
242,242,2020-01-22,552.2963256835938
243,243,2020-01-23,556.4791259765625
244,244,2020-01-24,552.6978759765625
245,245,2020-01-27,554.5556640625
246,246,2020-01-28,562.60400390625
247,247,2020-01-29,562.7067260742188
248,248,2020-01-30,563.0055541992188
249,249,2020-01-31,550.6156005859375
250,250,2020-02-03,563.565673828125
251,251,2020-02-04,567.5337524414062
252,252,2020-02-05,561.3809204101562
253,253,2020-02-06,563.68701171875
254,254,2020-02-07,565.8063354492188
255,255,2020-02-10,571.4364624023438
256,256,2020-02-11,572.8742065429688
257,257,2020-02-12,581.8095703125
258,258,2020-02-13,593.5831909179688
259,259,2020-02-14,605.627685546875
260,260,2020-02-18,600.9033813476562
261,261,2020-02-19,601.0245971679688
262,262,2020-02-20,605.3849487304688
263,263,2020-02-21,612.4807739257812
264,264,2020-02-24,602.12646484375
265,265,2020-02-25,592.507080078125
266,266,2020-02-26,590.5008544921875
267,267,2020-02-27,560.17138671875
268,268,2020-02-28,537.0234375
269,269,2020-03-02,580.2255859375
270,270,2020-03-03,576.73779296875
271,271,2020-03-04,605.1735229492188
272,272,2020-03-05,578.1533813476562
273,273,2020-03-06,570.653076171875
274,274,2020-03-09,538.204833984375
275,275,2020-03-10,572.1624755859375
276,276,2020-03-11,561.3995971679688
277,277,2020-03-12,529.8325805664062
278,278,2020-03-13,582.29736328125
279,279,2020-03-16,508.55029296875
280,280,2020-03-17,539.2547607421875
281,281,2020-03-18,536.4047241210938
282,282,2020-03-19,515.6476440429688
283,283,2020-03-20,474.88323974609375
284,284,2020-03-23,458.5888366699219
285,285,2020-03-24,511.7942199707031
286,286,2020-03-25,519.3226318359375
287,287,2020-03-26,550.8803100585938
288,288,2020-03-27,557.1526489257812
289,289,2020-03-30,604.5921020507812
290,290,2020-03-31,585.5599975585938
291,291,2020-04-01,558.2683715820312
292,292,2020-04-02,587.0413208007812
293,293,2020-04-03,585.6725463867188
294,294,2020-04-06,611.4829711914062
295,295,2020-04-07,584.6693115234375
296,296,2020-04-08,622.77099609375
297,297,2020-04-09,644.0344848632812
298,298,2020-04-13,616.1425170898438
299,299,2020-04-14,645.86279296875
300,300,2020-04-15,633.3370361328125
301,301,2020-04-16,640.0967407226562
302,302,2020-04-17,651.544189453125
303,303,2020-04-20,628.8555908203125
304,304,2020-04-21,630.2152099609375
305,305,2020-04-22,642.0186157226562
306,306,2020-04-23,642.675048828125
307,307,2020-04-24,642.3092651367188
308,308,2020-04-27,658.15380859375
309,309,2020-04-28,641.0531005859375
310,310,2020-04-29,636.890380859375
311,311,2020-04-30,633.0277099609375
312,312,2020-05-01,628.9494018554688
313,313,2020-05-04,633.7495727539062
314,314,2020-05-05,643.5188598632812
315,315,2020-05-06,641.4562377929688
316,316,2020-05-07,633.158935546875
317,317,2020-05-08,635.8027954101562
318,318,2020-05-11,635.65283203125
