,Unnamed: 0,Date,COST
0,0,2019-02-05,193.42483520507807
1,1,2019-02-06,193.4156646728516
2,2,2019-02-07,191.60096740722656
3,3,2019-02-08,190.40945434570312
4,4,2019-02-11,191.2985076904297
5,5,2019-02-12,194.2130889892578
6,6,2019-02-13,195.03794860839844
7,7,2019-02-14,195.9911193847656
8,8,2019-02-15,198.401611328125
9,9,2019-02-19,199.9138946533203
10,10,2019-02-20,198.98817443847656
11,11,2019-02-21,197.26510620117188
12,12,2019-02-22,198.2366180419922
13,13,2019-02-25,198.9331817626953
14,14,2019-02-26,199.44644165039065
15,15,2019-02-27,199.8497009277344
16,16,2019-02-28,200.48211669921875
17,17,2019-03-01,201.12371826171875
18,18,2019-03-04,200.1796722412109
19,19,2019-03-05,201.4720001220703
20,20,2019-03-06,200.9312438964844
21,21,2019-03-07,198.6949157714844
22,22,2019-03-08,208.80426025390625
23,23,2019-03-11,210.51821899414065
24,24,2019-03-12,213.51519775390625
25,25,2019-03-13,216.64974975585935
26,26,2019-03-14,214.32177734375
27,27,2019-03-15,214.101806640625
28,28,2019-03-18,216.8421936035156
29,29,2019-03-19,217.26385498046875
30,30,2019-03-20,217.19967651367188
31,31,2019-03-21,219.5459747314453
32,32,2019-03-22,217.73123168945312
33,33,2019-03-25,217.19046020507807
34,34,2019-03-26,219.115234375
35,35,2019-03-27,219.4268341064453
36,36,2019-03-28,221.0858154296875
37,37,2019-03-29,221.9289703369141
38,38,2019-04-01,223.80783081054688
39,39,2019-04-02,220.4258575439453
40,40,2019-04-03,222.24058532714844
41,41,2019-04-04,224.00038146972656
42,42,2019-04-05,225.34765625
43,43,2019-04-08,225.94338989257807
44,44,2019-04-09,224.46778869628903
45,45,2019-04-10,225.10934448242188
46,46,2019-04-11,221.1040954589844
47,47,2019-04-12,221.75482177734372
48,48,2019-04-15,225.76922607421875
49,49,2019-04-16,224.8618927001953
50,50,2019-04-17,225.06349182128903
51,51,2019-04-18,225.29266357421875
52,52,2019-04-22,223.1021423339844
53,53,2019-04-23,225.08184814453125
54,54,2019-04-24,227.2631683349609
55,55,2019-04-25,225.1002197265625
56,56,2019-04-26,223.46876525878903
57,57,2019-04-29,223.89035034179688
58,58,2019-04-30,225.0360412597656
59,59,2019-05-01,221.42491149902344
60,60,2019-05-02,222.43307495117188
61,61,2019-05-03,224.20199584960935
62,62,2019-05-06,223.8445281982422
63,63,2019-05-07,220.132568359375
64,64,2019-05-08,221.19577026367188
65,65,2019-05-09,223.75054931640625
66,66,2019-05-10,227.0130615234375
67,67,2019-05-13,222.32611083984372
68,68,2019-05-14,223.07054138183597
69,69,2019-05-15,224.85340881347656
70,70,2019-05-16,227.3990478515625
71,71,2019-05-17,228.23532104492188
72,72,2019-05-20,228.7407989501953
73,73,2019-05-21,229.6873779296875
74,74,2019-05-22,229.3013916015625
75,75,2019-05-23,228.4007568359375
76,76,2019-05-24,227.2703857421875
77,77,2019-05-28,226.360595703125
78,78,2019-05-29,221.19573974609372
79,79,2019-05-30,221.9769287109375
80,80,2019-05-31,220.1756591796875
81,81,2019-06-03,221.5449676513672
82,82,2019-06-04,225.7172698974609
83,83,2019-06-05,227.876953125
84,84,2019-06-06,230.8637237548828
85,85,2019-06-07,235.2749481201172
86,86,2019-06-10,236.0469207763672
87,87,2019-06-11,236.28585815429688
88,88,2019-06-12,236.3961639404297
89,89,2019-06-13,238.67526245117188
90,90,2019-06-14,239.07962036132807
91,91,2019-06-17,240.2559356689453
92,92,2019-06-18,241.4598388671875
93,93,2019-06-19,242.3053741455078
94,94,2019-06-20,245.6964569091797
95,95,2019-06-21,244.5753326416016
96,96,2019-06-24,245.1634521484375
97,97,2019-06-25,244.78662109375
98,98,2019-06-26,242.99456787109372
99,99,2019-06-27,244.06982421875
100,100,2019-06-28,242.8567352294922
101,101,2019-07-01,242.20420837402344
102,102,2019-07-02,243.96868896484372
103,103,2019-07-03,247.34153747558597
104,104,2019-07-05,246.5235595703125
105,105,2019-07-08,247.58041381835935
106,106,2019-07-09,248.10430908203125
107,107,2019-07-10,249.43682861328125
108,108,2019-07-11,254.1421661376953
109,109,2019-07-12,256.8072814941406
110,110,2019-07-15,257.8548889160156
111,111,2019-07-16,257.91925048828125
112,112,2019-07-17,258.755615234375
113,113,2019-07-18,259.9962463378906
114,114,2019-07-19,258.7096862792969
115,115,2019-07-22,257.4781494140625
116,116,2019-07-23,257.4138488769531
117,117,2019-07-24,258.084716796875
118,118,2019-07-25,257.1380920410156
119,119,2019-07-26,258.5809326171875
120,120,2019-07-29,257.4413757324219
121,121,2019-07-30,256.8624572753906
122,122,2019-07-31,253.3058013916016
123,123,2019-08-01,252.3317108154297
124,124,2019-08-02,250.4293670654297
125,125,2019-08-05,243.6287078857422
126,126,2019-08-06,247.4977569580078
127,127,2019-08-07,252.08352661132807
128,128,2019-08-08,252.54302978515625
129,129,2019-08-09,251.7527313232422
130,130,2019-08-12,249.3357086181641
131,131,2019-08-13,253.8849334716797
132,132,2019-08-14,246.43170166015625
133,133,2019-08-15,249.52870178222656
134,134,2019-08-16,251.89984130859372
135,135,2019-08-19,253.28746032714844
136,136,2019-08-20,250.86126708984372
137,137,2019-08-21,253.3518524169922
