,Unnamed: 0.1,Unnamed: 0,Date,NTRS,NTRS_6m,NTRS_12m
0,0,0,2019-02-05,77.09893035888672,,
1,1,1,2019-02-06,77.58824157714844,,
2,2,2,2019-02-07,77.1160888671875,,
3,3,3,2019-02-08,76.9529800415039,,
4,4,4,2019-02-11,76.94438934326172,,
5,5,5,2019-02-12,79.02189636230469,,
6,6,6,2019-02-13,78.94461822509766,77.09893035888672,
7,7,7,2019-02-14,78.36087036132812,77.58824157714844,
8,8,8,2019-02-15,79.91468811035156,77.1160888671875,
9,9,9,2019-02-19,79.83744049072266,76.9529800415039,
10,10,10,2019-02-20,80.24091339111328,76.94438934326172,
11,11,11,2019-02-21,79.57130432128906,79.02189636230469,
12,12,12,2019-02-22,79.52837371826172,78.94461822509766,77.09893035888672
13,13,13,2019-02-25,79.56272888183594,78.36087036132812,77.58824157714844
14,14,14,2019-02-26,79.78592681884766,79.91468811035156,77.1160888671875
15,15,15,2019-02-27,80.0606460571289,79.83744049072266,76.9529800415039
16,16,16,2019-02-28,80.0091323852539,80.24091339111328,76.94438934326172
17,17,17,2019-03-01,79.94902038574219,79.57130432128906,79.02189636230469
18,18,18,2019-03-04,79.61422729492188,79.52837371826172,78.94461822509766
19,19,19,2019-03-05,79.76017761230469,79.56272888183594,78.36087036132812
20,20,20,2019-03-06,78.97895812988281,79.78592681884766,79.91468811035156
21,21,21,2019-03-07,77.75194549560547,80.0606460571289,79.83744049072266
22,22,22,2019-03-08,77.36309814453125,80.0091323852539,80.24091339111328
23,23,23,2019-03-11,77.5877685546875,79.94902038574219,79.57130432128906
24,24,24,2019-03-12,77.89020538330078,79.61422729492188,79.52837371826172
25,25,25,2019-03-13,79.47151947021484,79.76017761230469,79.56272888183594
26,26,26,2019-03-14,81.6490478515625,78.97895812988281,79.78592681884766
27,27,27,2019-03-15,82.0206298828125,77.75194549560547,80.0606460571289
28,28,28,2019-03-18,83.066162109375,77.36309814453125,80.0091323852539
29,29,29,2019-03-19,82.1415786743164,77.5877685546875,79.94902038574219
30,30,30,2019-03-20,79.86034393310547,77.89020538330078,79.61422729492188
31,31,31,2019-03-21,80.0936508178711,79.47151947021484,79.76017761230469
32,32,32,2019-03-22,76.55084228515625,81.6490478515625,78.97895812988281
33,33,33,2019-03-25,75.67809295654297,82.0206298828125,77.75194549560547
34,34,34,2019-03-26,77.34580993652344,83.066162109375,77.36309814453125
35,35,35,2019-03-27,76.96560668945312,82.1415786743164,77.5877685546875
36,36,36,2019-03-28,77.8297119140625,79.86034393310547,77.89020538330078
37,37,37,2019-03-29,78.12350463867188,80.0936508178711,79.47151947021484
38,38,38,2019-04-01,80.10228729248047,76.55084228515625,81.6490478515625
39,39,39,2019-04-02,80.60347747802734,75.67809295654297,82.0206298828125
40,40,40,2019-04-03,81.33797454833984,77.34580993652344,83.066162109375
41,41,41,2019-04-04,81.86506652832031,76.96560668945312,82.1415786743164
42,42,42,2019-04-05,82.1415786743164,77.8297119140625,79.86034393310547
43,43,43,2019-04-08,81.57128143310547,78.12350463867188,80.0936508178711
44,44,44,2019-04-09,80.73309326171875,80.10228729248047,76.55084228515625
45,45,45,2019-04-10,80.70718383789062,80.60347747802734,75.67809295654297
46,46,46,2019-04-11,80.90591430664062,81.33797454833984,77.34580993652344
47,47,47,2019-04-12,81.70088958740234,81.86506652832031,76.96560668945312
48,48,48,2019-04-15,81.26020812988281,82.1415786743164,77.8297119140625
49,49,49,2019-04-16,82.62548065185547,81.57128143310547,78.12350463867188
50,50,50,2019-04-17,79.86034393310547,80.73309326171875,80.10228729248047
51,51,51,2019-04-18,79.3851089477539,80.70718383789062,80.60347747802734
52,52,52,2019-04-22,79.3851089477539,80.90591430664062,81.33797454833984
53,53,53,2019-04-23,82.9020004272461,81.70088958740234,81.86506652832031
54,54,54,2019-04-24,84.44871520996094,81.26020812988281,82.1415786743164
55,55,55,2019-04-25,84.31047821044922,82.62548065185547,81.57128143310547
56,56,56,2019-04-26,84.4400863647461,79.86034393310547,80.73309326171875
57,57,57,2019-04-29,85.17457580566406,79.3851089477539,80.70718383789062
58,58,58,2019-04-30,85.15731048583984,79.3851089477539,80.90591430664062
59,59,59,2019-05-01,84.30182647705078,82.9020004272461,81.70088958740234
60,60,60,2019-05-02,85.08819580078125,84.44871520996094,81.26020812988281
61,61,61,2019-05-03,85.96092224121094,84.31047821044922,82.62548065185547
62,62,62,2019-05-06,85.37333679199219,84.4400863647461,79.86034393310547
63,63,63,2019-05-07,84.23269653320312,85.17457580566406,79.3851089477539
64,64,64,2019-05-08,83.69696807861328,85.15731048583984,79.3851089477539
65,65,65,2019-05-09,83.79199981689453,84.30182647705078,82.9020004272461
66,66,66,2019-05-10,84.30182647705078,85.08819580078125,84.44871520996094
67,67,67,2019-05-13,81.18241882324219,85.96092224121094,84.31047821044922
68,68,68,2019-05-14,82.011962890625,85.37333679199219,84.4400863647461
69,69,69,2019-05-15,81.43302917480469,84.23269653320312,85.17457580566406
70,70,70,2019-05-16,81.8996353149414,83.69696807861328,85.15731048583984
71,71,71,2019-05-17,80.7244644165039,83.79199981689453,84.30182647705078
72,72,72,2019-05-20,80.79359436035156,84.30182647705078,85.08819580078125
73,73,73,2019-05-21,81.70954132080078,81.18241882324219,85.96092224121094
74,74,74,2019-05-22,80.672607421875,82.011962890625,85.37333679199219
75,75,75,2019-05-23,77.88155364990234,81.43302917480469,84.23269653320312
76,76,76,2019-05-24,78.92711639404297,81.8996353149414,83.69696807861328
77,77,77,2019-05-28,77.31990051269531,80.7244644165039,83.79199981689453
