,Unnamed: 0,Date,REGN
0,0,2019-02-05,421.0400085449219
1,1,2019-02-06,406.55999755859375
2,2,2019-02-07,406.4599914550781
3,3,2019-02-08,406.8599853515625
4,4,2019-02-11,408.510009765625
5,5,2019-02-12,416.3399963378906
6,6,2019-02-13,412.0899963378906
7,7,2019-02-14,414.9700012207031
8,8,2019-02-15,423.9700012207031
9,9,2019-02-19,420.6000061035156
10,10,2019-02-20,422.510009765625
11,11,2019-02-21,418.6199951171875
12,12,2019-02-22,422.5199890136719
13,13,2019-02-25,420.3800048828125
14,14,2019-02-26,426.1499938964844
15,15,2019-02-27,433.3299865722656
16,16,2019-02-28,430.739990234375
17,17,2019-03-01,439.5700073242188
18,18,2019-03-04,433.8299865722656
19,19,2019-03-05,437.1300048828125
20,20,2019-03-06,423.6900024414063
21,21,2019-03-07,409.5799865722656
22,22,2019-03-08,402.6400146484375
23,23,2019-03-11,412.0499877929688
24,24,2019-03-12,417.6199951171875
25,25,2019-03-13,409.010009765625
26,26,2019-03-14,407.5
27,27,2019-03-15,414.4700012207031
28,28,2019-03-18,407.6000061035156
29,29,2019-03-19,406.989990234375
30,30,2019-03-20,405.5
31,31,2019-03-21,402.5899963378906
32,32,2019-03-22,391.7999877929688
33,33,2019-03-25,395.0
34,34,2019-03-26,405.6199951171875
35,35,2019-03-27,402.8699951171875
36,36,2019-03-28,404.8299865722656
37,37,2019-03-29,410.6199951171875
38,38,2019-04-01,410.0499877929688
39,39,2019-04-02,414.8200073242188
40,40,2019-04-03,407.0
41,41,2019-04-04,406.5299987792969
42,42,2019-04-05,408.9400024414063
43,43,2019-04-08,401.260009765625
44,44,2019-04-09,395.7300109863281
45,45,2019-04-10,408.2300109863281
46,46,2019-04-11,393.4800109863281
47,47,2019-04-12,382.9400024414063
48,48,2019-04-15,375.5
49,49,2019-04-16,367.6900024414063
50,50,2019-04-17,342.9700012207031
51,51,2019-04-18,333.3399963378906
52,52,2019-04-22,334.0299987792969
53,53,2019-04-23,344.1400146484375
54,54,2019-04-24,340.4599914550781
55,55,2019-04-25,349.989990234375
56,56,2019-04-26,343.6600036621094
57,57,2019-04-29,344.1499938964844
58,58,2019-04-30,343.1400146484375
59,59,2019-05-01,340.7900085449219
60,60,2019-05-02,335.4100036621094
61,61,2019-05-03,336.8900146484375
62,62,2019-05-06,344.2300109863281
63,63,2019-05-07,322.3999938964844
64,64,2019-05-08,329.0
65,65,2019-05-09,324.1700134277344
66,66,2019-05-10,312.8599853515625
67,67,2019-05-13,305.1499938964844
68,68,2019-05-14,304.6199951171875
69,69,2019-05-15,305.8500061035156
70,70,2019-05-16,308.0400085449219
71,71,2019-05-17,304.94000244140625
72,72,2019-05-20,302.57000732421875
73,73,2019-05-21,309.95001220703125
74,74,2019-05-22,320.0899963378906
75,75,2019-05-23,315.260009765625
76,76,2019-05-24,312.5599975585937
77,77,2019-05-28,307.92999267578125
78,78,2019-05-29,307.7799987792969
79,79,2019-05-30,307.9599914550781
80,80,2019-05-31,301.7200012207031
81,81,2019-06-03,303.95001220703125
82,82,2019-06-04,302.0599975585937
83,83,2019-06-05,300.0
84,84,2019-06-06,299.6000061035156
85,85,2019-06-07,306.7200012207031
86,86,2019-06-10,304.25
87,87,2019-06-11,306.8399963378906
88,88,2019-06-12,306.1600036621094
89,89,2019-06-13,307.4200134277344
90,90,2019-06-14,305.239990234375
91,91,2019-06-17,310.9800109863281
92,92,2019-06-18,306.6300048828125
93,93,2019-06-19,310.8299865722656
94,94,2019-06-20,320.4800109863281
95,95,2019-06-21,320.260009765625
96,96,2019-06-24,312.54998779296875
97,97,2019-06-25,312.8999938964844
98,98,2019-06-26,305.0799865722656
99,99,2019-06-27,310.6700134277344
100,100,2019-06-28,313.0
101,101,2019-07-01,316.5599975585937
102,102,2019-07-02,315.5299987792969
103,103,2019-07-03,318.3900146484375
104,104,2019-07-05,307.0
105,105,2019-07-08,302.8399963378906
106,106,2019-07-09,307.9700012207031
107,107,2019-07-10,301.42999267578125
108,108,2019-07-11,291.82000732421875
109,109,2019-07-12,292.5599975585937
110,110,2019-07-15,298.20001220703125
111,111,2019-07-16,298.3699951171875
112,112,2019-07-17,299.4200134277344
113,113,2019-07-18,303.0899963378906
114,114,2019-07-19,298.1099853515625
115,115,2019-07-22,296.5199890136719
116,116,2019-07-23,309.260009765625
117,117,2019-07-24,313.6300048828125
118,118,2019-07-25,303.4200134277344
119,119,2019-07-26,309.17999267578125
120,120,2019-07-29,306.0400085449219
121,121,2019-07-30,311.1300048828125
122,122,2019-07-31,304.760009765625
123,123,2019-08-01,309.42999267578125
124,124,2019-08-02,305.239990234375
125,125,2019-08-05,299.57000732421875
126,126,2019-08-06,300.260009765625
127,127,2019-08-07,302.2200012207031
128,128,2019-08-08,309.8699951171875
129,129,2019-08-09,304.8900146484375
130,130,2019-08-12,295.8699951171875
131,131,2019-08-13,304.8599853515625
132,132,2019-08-14,293.5299987792969
133,133,2019-08-15,293.1099853515625
134,134,2019-08-16,296.8500061035156
135,135,2019-08-19,298.3800048828125
136,136,2019-08-20,296.0299987792969
137,137,2019-08-21,297.7799987792969
138,138,2019-08-22,295.0199890136719
139,139,2019-08-23,286.8500061035156
140,140,2019-08-26,284.7300109863281
141,141,2019-08-27,281.4100036621094
142,142,2019-08-28,287.6400146484375
143,143,2019-08-29,290.57000732421875
144,144,2019-08-30,290.04998779296875
145,145,2019-09-03,285.1199951171875
146,146,2019-09-04,286.5
147,147,2019-09-05,289.3699951171875
148,148,2019-09-06,292.0
149,149,2019-09-09,279.0
150,150,2019-09-10,283.7200012207031
151,151,2019-09-11,283.3299865722656
152,152,2019-09-12,284.17999267578125
153,153,2019-09-13,281.6199951171875
154,154,2019-09-16,285.8900146484375
155,155,2019-09-17,288.1199951171875
156,156,2019-09-18,285.0599975585937
157,157,2019-09-19,286.1499938964844
158,158,2019-09-20,295.8699951171875
159,159,2019-09-23,294.70001220703125
160,160,2019-09-24,289.7099914550781
161,161,2019-09-25,286.6499938964844
162,162,2019-09-26,281.3099975585937
163,163,2019-09-27,273.4599914550781
164,164,2019-09-30,277.3999938964844
165,165,2019-10-01,276.4700012207031
166,166,2019-10-02,274.1300048828125
167,167,2019-10-03,280.7200012207031
168,168,2019-10-04,282.92999267578125
169,169,2019-10-07,283.8099975585937
170,170,2019-10-08,285.1000061035156
171,171,2019-10-09,290.8299865722656
172,172,2019-10-10,298.3599853515625
173,173,2019-10-11,300.7699890136719
174,174,2019-10-14,305.44000244140625
175,175,2019-10-15,303.82000732421875
176,176,2019-10-16,299.3999938964844
177,177,2019-10-17,301.57000732421875
178,178,2019-10-18,300.19000244140625
179,179,2019-10-21,297.989990234375
180,180,2019-10-22,301.3099975585937
