,Unnamed: 0.1,Unnamed: 0,Date,GPN,GPN_6m,GPN_12m
0,0,0,2019-02-05,112.08080291748048,,
1,1,1,2019-02-06,111.12815856933594,,
2,2,2,2019-02-07,109.84500885009766,,
3,3,3,2019-02-08,111.69196319580078,,
4,4,4,2019-02-11,112.78069305419922,,
5,5,5,2019-02-12,114.14158630371094,,
6,6,6,2019-02-13,119.3227767944336,112.08080291748048,
7,7,7,2019-02-14,118.1562957763672,111.12815856933594,
8,8,8,2019-02-15,119.8574447631836,109.84500885009766,
9,9,9,2019-02-19,120.89755249023438,111.69196319580078,
10,10,10,2019-02-20,122.42372131347656,112.78069305419922,
11,11,11,2019-02-21,123.0847396850586,114.14158630371094,
12,12,12,2019-02-22,124.16374206542967,119.3227767944336,112.08080291748048
13,13,13,2019-02-25,124.64006042480467,118.1562957763672,111.12815856933594
14,14,14,2019-02-26,124.81502532958984,119.8574447631836,109.84500885009766
15,15,15,2019-02-27,125.67046356201172,120.89755249023438,111.69196319580078
16,16,16,2019-02-28,126.73974609375,122.42372131347656,112.78069305419922
17,17,17,2019-03-01,127.81877136230467,123.0847396850586,114.14158630371094
18,18,18,2019-03-04,126.89529418945312,124.16374206542967,119.3227767944336
19,19,19,2019-03-05,126.31208038330078,124.64006042480467,118.1562957763672
20,20,20,2019-03-06,125.93291473388672,124.81502532958984,119.8574447631836
21,21,21,2019-03-07,126.2439956665039,125.67046356201172,120.89755249023438
22,22,22,2019-03-08,126.68142700195312,126.73974609375,122.42372131347656
23,23,23,2019-03-11,128.20758056640625,127.81877136230467,123.0847396850586
24,24,24,2019-03-12,128.20758056640625,126.89529418945312,124.16374206542967
25,25,25,2019-03-13,129.28663635253906,126.31208038330078,124.64006042480467
26,26,26,2019-03-14,128.66444396972656,125.93291473388672,124.81502532958984
27,27,27,2019-03-15,130.3851318359375,126.2439956665039,125.67046356201172
28,28,28,2019-03-18,130.307373046875,126.68142700195312,126.73974609375
29,29,29,2019-03-19,130.60870361328125,128.20758056640625,127.81877136230467
30,30,30,2019-03-20,129.6463165283203,128.20758056640625,126.89529418945312
31,31,31,2019-03-21,132.35858154296875,129.28663635253906,126.31208038330078
32,32,32,2019-03-22,130.2685089111328,128.66444396972656,125.93291473388672
33,33,33,2019-03-25,129.19908142089844,130.3851318359375,126.2439956665039
34,34,34,2019-03-26,130.9392852783203,130.307373046875,126.68142700195312
35,35,35,2019-03-27,130.25875854492188,130.60870361328125,128.20758056640625
36,36,36,2019-03-28,131.38644409179688,129.6463165283203,128.20758056640625
37,37,37,2019-03-29,132.71827697753906,132.35858154296875,129.28663635253906
38,38,38,2019-04-01,134.7987060546875,130.2685089111328,128.66444396972656
39,39,39,2019-04-02,134.93482971191406,129.19908142089844,130.3851318359375
