,Unnamed: 0.1,Unnamed: 0,Date,VTRS,VTRS_6m,VTRS_12m
0,0,0,2019-02-05,27.7932071685791,,
1,1,1,2019-02-06,27.694839477539062,,
2,2,2,2019-02-07,27.14040756225586,,
3,3,3,2019-02-08,27.24771499633789,,
4,4,4,2019-02-11,27.757436752319336,,
5,5,5,2019-02-12,28.38340759277344,,
6,6,6,2019-02-13,27.94522857666016,27.7932071685791,
7,7,7,2019-02-14,28.186674118041992,27.694839477539062,
8,8,8,2019-02-15,28.472835540771484,27.14040756225586,
9,9,9,2019-02-19,28.70533561706543,27.24771499633789,
10,10,10,2019-02-20,28.276100158691406,27.757436752319336,
11,11,11,2019-02-21,27.775320053100582,28.38340759277344,
12,12,12,2019-02-22,27.95416831970215,27.94522857666016,27.7932071685791
13,13,13,2019-02-25,27.694839477539062,28.186674118041992,27.694839477539062
14,14,14,2019-02-26,27.38185310363769,28.472835540771484,27.14040756225586
15,15,15,2019-02-27,23.25937461853028,28.70533561706543,27.24771499633789
16,16,16,2019-02-28,23.599184036254883,28.276100158691406,27.757436752319336
17,17,17,2019-03-01,24.547090530395508,27.775320053100582,28.38340759277344
18,18,18,2019-03-04,25.110462188720703,27.95416831970215,27.94522857666016
19,19,19,2019-03-05,24.4934310913086,27.694839477539062,28.186674118041992
20,20,20,2019-03-06,24.19832992553711,27.38185310363769,28.472835540771484
21,21,21,2019-03-07,23.98371315002441,23.25937461853028,28.70533561706543
22,22,22,2019-03-08,23.7959213256836,23.599184036254883,28.276100158691406
23,23,23,2019-03-11,24.28775787353516,24.547090530395508,27.775320053100582
24,24,24,2019-03-12,24.475549697875977,25.110462188720703,27.95416831970215
25,25,25,2019-03-13,24.56497383117676,24.4934310913086,27.694839477539062
26,26,26,2019-03-14,25.03892707824707,24.19832992553711,27.38185310363769
27,27,27,2019-03-15,25.11940574645996,23.98371315002441,23.25937461853028
28,28,28,2019-03-18,25.199886322021484,23.7959213256836,23.599184036254883
29,29,29,2019-03-19,25.59335899353028,24.28775787353516,24.547090530395508
30,30,30,2019-03-20,25.673837661743164,24.475549697875977,25.110462188720703
31,31,31,2019-03-21,26.15673446655273,24.56497383117676,24.4934310913086
32,32,32,2019-03-22,25.655956268310547,25.03892707824707,24.19832992553711
33,33,33,2019-03-25,25.325084686279297,25.11940574645996,23.98371315002441
34,34,34,2019-03-26,25.199886322021484,25.199886322021484,23.7959213256836
35,35,35,2019-03-27,25.26248550415039,25.59335899353028,24.28775787353516
36,36,36,2019-03-28,25.25354385375977,25.673837661743164,24.475549697875977
37,37,37,2019-03-29,25.34296607971192,26.15673446655273,24.56497383117676
38,38,38,2019-04-01,25.45922088623047,25.655956268310547,25.03892707824707
39,39,39,2019-04-02,24.690170288085938,25.325084686279297,25.11940574645996
40,40,40,2019-04-03,24.126792907714844,25.199886322021484,25.199886322021484
41,41,41,2019-04-04,24.52025985717773,25.26248550415039,25.59335899353028
42,42,42,2019-04-05,24.708053588867188,25.25354385375977,25.673837661743164
43,43,43,2019-04-08,24.83324432373047,25.34296607971192,26.15673446655273
44,44,44,2019-04-09,24.25198554992676,25.45922088623047,25.655956268310547
45,45,45,2019-04-10,24.341413497924805,24.690170288085938,25.325084686279297
46,46,46,2019-04-11,24.153621673583984,24.126792907714844,25.199886322021484
47,47,47,2019-04-12,24.11785125732422,24.52025985717773,25.26248550415039
48,48,48,2019-04-15,24.08207893371582,24.708053588867188,25.25354385375977
49,49,49,2019-04-16,24.207275390625,24.83324432373047,25.34296607971192
50,50,50,2019-04-17,23.90323066711425,24.25198554992676,25.45922088623047
51,51,51,2019-04-18,24.010541915893555,24.341413497924805,24.690170288085938
52,52,52,2019-04-22,23.89428901672364,24.153621673583984,24.126792907714844
53,53,53,2019-04-23,23.786975860595703,24.11785125732422,24.52025985717773
54,54,54,2019-04-24,23.64390182495117,24.08207893371582,24.708053588867188
55,55,55,2019-04-25,23.858518600463867,24.207275390625,24.83324432373047
56,56,56,2019-04-26,24.18044662475586,23.90323066711425,24.25198554992676
57,57,57,2019-04-29,24.368242263793945,24.010541915893555,24.341413497924805
58,58,58,2019-04-30,24.13573455810547,23.89428901672364,24.153621673583984
59,59,59,2019-05-01,24.207275390625,23.786975860595703,24.11785125732422
60,60,60,2019-05-02,24.75276756286621,23.64390182495117,24.08207893371582
61,61,61,2019-05-03,25.047866821289062,23.858518600463867,24.207275390625
62,62,62,2019-05-06,25.27143287658692,24.18044662475586,23.90323066711425
63,63,63,2019-05-07,19.253145217895508,24.368242263793945,24.010541915893555
64,64,64,2019-05-08,19.5750732421875,24.13573455810547,23.89428901672364
65,65,65,2019-05-09,20.353065490722656,24.207275390625,23.786975860595703
66,66,66,2019-05-10,19.8254623413086,24.75276756286621,23.64390182495117
67,67,67,2019-05-13,17.956485748291016,25.047866821289062,23.858518600463867
68,68,68,2019-05-14,18.2515869140625,25.27143287658692,24.18044662475586
69,69,69,2019-05-15,17.929656982421875,19.253145217895508,24.368242263793945
70,70,70,2019-05-16,18.072736740112305,19.5750732421875,24.13573455810547
71,71,71,2019-05-17,17.563013076782227,20.353065490722656,24.207275390625
72,72,72,2019-05-20,17.366281509399414,19.8254623413086,24.75276756286621
73,73,73,2019-05-21,17.58984375,17.956485748291016,25.047866821289062
74,74,74,2019-05-22,17.571956634521484,18.2515869140625,25.27143287658692
75,75,75,2019-05-23,17.142717361450195,17.929656982421875,19.253145217895508
76,76,76,2019-05-24,16.97281265258789,18.072736740112305,19.5750732421875
77,77,77,2019-05-28,15.98020076751709,17.563013076782227,20.353065490722656
78,78,78,2019-05-29,16.096450805664062,17.366281509399414,19.8254623413086
79,79,79,2019-05-30,15.389994621276855,17.58984375,17.956485748291016
80,80,80,2019-05-31,15.023355484008787,17.571956634521484,18.2515869140625
81,81,81,2019-06-03,15.372112274169922,17.142717361450195,17.929656982421875
82,82,82,2019-06-04,15.935489654541016,16.97281265258789,18.072736740112305
83,83,83,2019-06-05,15.890775680541992,15.98020076751709,17.563013076782227
84,84,84,2019-06-06,15.604615211486816,16.096450805664062,17.366281509399414
85,85,85,2019-06-07,15.55990219116211,15.389994621276855,17.58984375
86,86,86,2019-06-10,15.711925506591797,15.023355484008787,17.571956634521484
87,87,87,2019-06-11,15.658270835876465,15.372112274169922,17.142717361450195
88,88,88,2019-06-12,15.345282554626465,15.935489654541016,16.97281265258789
89,89,89,2019-06-13,15.542016983032228,15.890775680541992,15.98020076751709
90,90,90,2019-06-14,15.220088958740234,15.604615211486816,16.096450805664062
91,91,91,2019-06-17,15.443649291992188,15.55990219116211,15.389994621276855
92,92,92,2019-06-18,15.872888565063477,15.711925506591797,15.023355484008787
93,93,93,2019-06-19,16.185874938964844,15.658270835876465,15.372112274169922
94,94,94,2019-06-20,16.28424072265625,15.345282554626465,15.935489654541016
95,95,95,2019-06-21,16.382610321044922,15.542016983032228,15.890775680541992
96,96,96,2019-06-24,16.060680389404297,15.220088958740234,15.604615211486816
97,97,97,2019-06-25,16.67771339416504,15.443649291992188,15.55990219116211
98,98,98,2019-06-26,16.686656951904297,15.872888565063477,15.711925506591797
99,99,99,2019-06-27,16.963871002197266,16.185874938964844,15.658270835876465
100,100,100,2019-06-28,17.026470184326172,16.28424072265625,15.345282554626465
101,101,101,2019-07-01,17.38416862487793,16.382610321044922,15.542016983032228
102,102,102,2019-07-02,17.303688049316406,16.060680389404297,15.220088958740234
103,103,103,2019-07-03,17.598785400390625,16.67771339416504,15.443649291992188
104,104,104,2019-07-05,17.428882598876953,16.686656951904297,15.872888565063477
105,105,105,2019-07-08,17.232145309448242,16.963871002197266,16.185874938964844
106,106,106,2019-07-09,17.545135498046875,17.026470184326172,16.28424072265625
107,107,107,2019-07-10,17.106952667236328,17.38416862487793,16.382610321044922
108,108,108,2019-07-11,17.026470184326172,17.303688049316406,16.060680389404297
109,109,109,2019-07-12,17.18743324279785,17.598785400390625,16.67771339416504
110,110,110,2019-07-15,16.963871002197266,17.428882598876953,16.686656951904297
111,111,111,2019-07-16,16.48097801208496,17.232145309448242,16.963871002197266
112,112,112,2019-07-17,16.015968322753906,17.545135498046875,17.026470184326172
113,113,113,2019-07-18,15.962315559387209,17.106952667236328,17.38416862487793
114,114,114,2019-07-19,16.185874938964844,17.026470184326172,17.303688049316406
115,115,115,2019-07-22,16.141162872314453,17.18743324279785,17.598785400390625
116,116,116,2019-07-23,16.400495529174805,16.963871002197266,17.428882598876953
117,117,117,2019-07-24,16.910215377807617,16.48097801208496,17.232145309448242
118,118,118,2019-07-25,16.48992347717285,16.015968322753906,17.545135498046875
119,119,119,2019-07-26,16.50780487060547,15.962315559387209,17.106952667236328
120,120,120,2019-07-29,18.582460403442383,16.185874938964844,17.026470184326172
121,121,121,2019-07-30,19.163721084594727,16.141162872314453,17.18743324279785
122,122,122,2019-07-31,18.68976783752441,16.400495529174805,16.963871002197266
123,123,123,2019-08-01,18.171104431152344,16.910215377807617,16.48097801208496
124,124,124,2019-08-02,17.741865158081055,16.48992347717285,16.015968322753906
125,125,125,2019-08-05,17.303688049316406,16.50780487060547,15.962315559387209
126,126,126,2019-08-06,16.275300979614258,18.582460403442383,16.185874938964844
