,Unnamed: 0,Date,MTD
0,0,2019-02-05,652.8400268554688
1,1,2019-02-06,655.1500244140625
2,2,2019-02-07,648.1300048828125
3,3,2019-02-08,662.2999877929688
4,4,2019-02-11,662.489990234375
5,5,2019-02-12,672.489990234375
6,6,2019-02-13,668.6099853515625
7,7,2019-02-14,662.9099731445312
8,8,2019-02-15,668.8599853515625
9,9,2019-02-19,671.8599853515625
10,10,2019-02-20,673.0499877929688
11,11,2019-02-21,674.2100219726562
12,12,2019-02-22,678.8300170898438
13,13,2019-02-25,689.969970703125
14,14,2019-02-26,676.97998046875
15,15,2019-02-27,686.0
16,16,2019-02-28,680.9099731445312
17,17,2019-03-01,698.760009765625
18,18,2019-03-04,689.1900024414062
19,19,2019-03-05,693.4099731445312
20,20,2019-03-06,681.9400024414062
21,21,2019-03-07,683.8400268554688
22,22,2019-03-08,680.9500122070312
23,23,2019-03-11,688.9299926757812
24,24,2019-03-12,691.47998046875
25,25,2019-03-13,689.9500122070312
26,26,2019-03-14,698.6799926757812
27,27,2019-03-15,708.5800170898438
28,28,2019-03-18,706.8400268554688
29,29,2019-03-19,715.739990234375
30,30,2019-03-20,712.8800048828125
31,31,2019-03-21,729.719970703125
32,32,2019-03-22,702.0700073242188
33,33,2019-03-25,708.5999755859375
34,34,2019-03-26,716.4000244140625
35,35,2019-03-27,702.7100219726562
36,36,2019-03-28,703.780029296875
37,37,2019-03-29,723.0
38,38,2019-04-01,730.3400268554688
39,39,2019-04-02,734.4500122070312
40,40,2019-04-03,732.72998046875
41,41,2019-04-04,727.2000122070312
42,42,2019-04-05,734.8400268554688
43,43,2019-04-08,738.3699951171875
44,44,2019-04-09,733.989990234375
45,45,2019-04-10,737.969970703125
46,46,2019-04-11,740.75
47,47,2019-04-12,742.3499755859375
48,48,2019-04-15,744.3400268554688
49,49,2019-04-16,732.1699829101562
50,50,2019-04-17,715.219970703125
51,51,2019-04-18,728.72998046875
52,52,2019-04-22,734.1900024414062
53,53,2019-04-23,723.6199951171875
54,54,2019-04-24,725.530029296875
55,55,2019-04-25,731.010009765625
56,56,2019-04-26,736.9500122070312
57,57,2019-04-29,741.52001953125
58,58,2019-04-30,745.260009765625
59,59,2019-05-01,739.1599731445312
60,60,2019-05-02,753.2000122070312
61,61,2019-05-03,762.4299926757812
62,62,2019-05-06,760.77001953125
63,63,2019-05-07,742.2999877929688
64,64,2019-05-08,740.489990234375
65,65,2019-05-09,741.6699829101562
66,66,2019-05-10,727.6699829101562
