,Unnamed: 0,Date,EBAY
0,0,2019-02-05,32.5428466796875
1,1,2019-02-06,32.68101119995117
2,2,2019-02-07,32.46915817260742
3,3,2019-02-08,32.478363037109375
4,4,2019-02-11,32.7823371887207
5,5,2019-02-12,33.33500289916992
6,6,2019-02-13,33.39947891235352
7,7,2019-02-14,33.45475006103516
8,8,2019-02-15,33.69424057006836
9,9,2019-02-19,34.12715530395508
10,10,2019-02-20,33.84161758422852
11,11,2019-02-21,34.06268310546875
12,12,2019-02-22,34.53244400024414
13,13,2019-02-25,34.3942756652832
14,14,2019-02-26,34.43112564086914
15,15,2019-02-27,34.615352630615234
16,16,2019-02-28,34.34722137451172
17,17,2019-03-01,34.53212356567383
18,18,2019-03-04,34.43967819213867
19,19,2019-03-05,34.319480895996094
20,20,2019-03-06,34.03287124633789
21,21,2019-03-07,33.4781494140625
22,22,2019-03-08,33.18228912353516
23,23,2019-03-11,33.5151252746582
24,24,2019-03-12,33.54286193847656
25,25,2019-03-13,33.70928192138672
26,26,2019-03-14,33.60758590698242
27,27,2019-03-15,33.56135177612305
28,28,2019-03-18,33.53361892700195
29,29,2019-03-19,34.088348388671875
30,30,2019-03-20,33.93117904663086
31,31,2019-03-21,34.393455505371094
32,32,2019-03-22,33.884944915771484
33,33,2019-03-25,33.949668884277344
34,34,2019-03-26,34.1160888671875
35,35,2019-03-27,34.05137252807617
36,36,2019-03-28,34.00514221191406
37,37,2019-03-29,34.33797836303711
38,38,2019-04-01,34.837242126464844
39,39,2019-04-02,35.05912780761719
40,40,2019-04-03,35.12385177612305
41,41,2019-04-04,35.17932891845703
42,42,2019-04-05,34.98517227172852
43,43,2019-04-08,34.95743560791016
44,44,2019-04-09,34.90195846557617
45,45,2019-04-10,34.87422561645508
46,46,2019-04-11,33.579837799072266
47,47,2019-04-12,33.44116973876953
48,48,2019-04-15,33.49664306640625
49,49,2019-04-16,33.644561767578125
50,50,2019-04-17,33.256248474121094
51,51,2019-04-18,33.26549530029297
52,52,2019-04-22,33.422664642333984
53,53,2019-04-23,33.903446197509766
54,54,2019-04-24,35.61386489868164
55,55,2019-04-25,35.234798431396484
56,56,2019-04-26,35.465946197509766
57,57,2019-04-29,35.36424255371094
58,58,2019-04-30,35.826515197753906
59,59,2019-05-01,34.94819641113281
60,60,2019-05-02,34.754032135009766
61,61,2019-05-03,35.3919677734375
62,62,2019-05-06,35.02214813232422
63,63,2019-05-07,34.837242126464844
64,64,2019-05-08,34.70780563354492
65,65,2019-05-09,34.781761169433594
66,66,2019-05-10,34.55987548828125
67,67,2019-05-13,33.163795471191406
68,68,2019-05-14,34.02363967895508
69,69,2019-05-15,34.24552917480469
70,70,2019-05-16,34.458187103271484
71,71,2019-05-17,34.1160888671875
72,72,2019-05-20,33.80175018310547
73,73,2019-05-21,33.82022857666016
74,74,2019-05-22,33.57059860229492
75,75,2019-05-23,33.237762451171875
76,76,2019-05-24,33.40418243408203
77,77,2019-05-28,33.48739242553711
78,78,2019-05-29,33.376441955566406
79,79,2019-05-30,33.766265869140625
80,80,2019-05-31,33.34860610961914
81,81,2019-06-03,33.06087112426758
82,82,2019-06-04,33.914772033691406
83,83,2019-06-05,33.933345794677734
84,84,2019-06-06,34.165367126464844
85,85,2019-06-07,34.81509017944336
86,86,2019-06-10,35.381256103515625
87,87,2019-06-11,35.48335647583008
88,88,2019-06-12,36.21659851074219
89,89,2019-06-13,36.19803237915039
90,90,2019-06-14,36.114505767822266
91,91,2019-06-17,36.20730209350586
92,92,2019-06-18,36.81990051269531
93,93,2019-06-19,37.24684524536133
94,94,2019-06-20,37.05193710327149
95,95,2019-06-21,37.1725959777832
96,96,2019-06-24,36.85701751708984
97,97,2019-06-25,36.21659851074219
98,98,2019-06-26,36.38367462158203
99,99,2019-06-27,36.46720123291016
100,100,2019-06-28,36.662105560302734
101,101,2019-07-01,37.02409362792969
102,102,2019-07-02,37.20043563842773
103,103,2019-07-03,37.03338241577149
104,104,2019-07-05,36.9405517578125
105,105,2019-07-08,36.69923782348633
106,106,2019-07-09,37.07049560546875
107,107,2019-07-10,37.13547134399414
108,108,2019-07-11,36.75492858886719
109,109,2019-07-12,37.18188095092773
110,110,2019-07-15,37.37678909301758
111,111,2019-07-16,37.05193710327149
112,112,2019-07-17,36.22587585449219
113,113,2019-07-18,36.91271209716797
114,114,2019-07-19,37.32109832763672
115,115,2019-07-22,37.748046875
116,116,2019-07-23,38.08218383789063
117,117,2019-07-24,38.08218383789063
118,118,2019-07-25,37.87799072265625
119,119,2019-07-26,38.267826080322266
120,120,2019-07-29,38.58339691162109
121,121,2019-07-30,38.40704727172852
122,122,2019-07-31,38.2307014465332
123,123,2019-08-01,38.14715194702149
124,124,2019-08-02,37.66451644897461
125,125,2019-08-05,36.021690368652344
126,126,2019-08-06,36.83845520019531
127,127,2019-08-07,36.86630630493164
128,128,2019-08-08,38.286376953125
129,129,2019-08-09,37.41392517089844
130,130,2019-08-12,36.88486862182617
131,131,2019-08-13,38.03578567504883
132,132,2019-08-14,36.79205703735352
133,133,2019-08-15,36.60641098022461
134,134,2019-08-16,37.14476013183594
135,135,2019-08-19,37.48816680908203
136,136,2019-08-20,37.15403747558594
137,137,2019-08-21,37.4788932800293
138,138,2019-08-22,37.12618637084961
139,139,2019-08-23,35.91959762573242
140,140,2019-08-26,36.56929016113281
141,141,2019-08-27,36.19803237915039
142,142,2019-08-28,37.20972442626953
143,143,2019-08-29,37.61810302734375
144,144,2019-08-30,37.52497100830078
145,145,2019-09-03,37.01271438598633
