,Unnamed: 0,Date,MRK
0,0,2019-02-05,63.16980743408203
1,1,2019-02-06,63.366329193115234
2,2,2019-02-07,62.89961624145508
3,3,2019-02-08,63.472774505615234
4,4,2019-02-11,62.80955505371094
5,5,2019-02-12,64.29154205322266
6,6,2019-02-13,64.7009506225586
7,7,2019-02-14,64.63545989990234
8,8,2019-02-15,65.34779357910156
9,9,2019-02-19,64.88109588623047
10,10,2019-02-20,65.03665161132812
11,11,2019-02-21,65.36418151855469
12,12,2019-02-22,66.13383483886719
13,13,2019-02-25,65.81450653076172
14,14,2019-02-26,66.10928344726562
15,15,2019-02-27,66.01103210449219
16,16,2019-02-28,66.55963897705078
17,17,2019-03-01,66.85438537597656
18,18,2019-03-04,66.62510681152344
19,19,2019-03-05,66.89531707763672
20,20,2019-03-06,66.12564849853516
21,21,2019-03-07,65.87183380126953
22,22,2019-03-08,65.339599609375
23,23,2019-03-11,66.21571350097656
24,24,2019-03-12,66.51048278808594
25,25,2019-03-13,66.81343841552734
26,26,2019-03-14,67.17615509033203
27,27,2019-03-15,67.24210357666016
28,28,2019-03-18,67.06075286865234
29,29,2019-03-19,67.52237701416016
30,30,2019-03-20,67.66251373291016
31,31,2019-03-21,68.37969970703125
32,32,2019-03-22,67.83564758300781
33,33,2019-03-25,67.88510131835938
34,34,2019-03-26,68.35497283935547
35,35,2019-03-27,67.83564758300781
36,36,2019-03-28,68.11590576171875
37,37,2019-03-29,68.56105041503906
38,38,2019-04-01,68.66820526123047
39,39,2019-04-02,68.59403228759766
40,40,2019-04-03,68.56930541992188
41,41,2019-04-04,67.47291564941406
42,42,2019-04-05,66.89588165283203
43,43,2019-04-08,66.73099517822266
44,44,2019-04-09,66.60735321044922
45,45,2019-04-10,66.62383270263672
46,46,2019-04-11,65.81597137451172
47,47,2019-04-12,65.47799682617188
48,48,2019-04-15,64.736083984375
49,49,2019-04-16,63.93647766113281
50,50,2019-04-17,60.935829162597656
51,51,2019-04-18,60.33406066894531
52,52,2019-04-22,60.556636810302734
53,53,2019-04-23,61.49639129638672
54,54,2019-04-24,61.60354232788086
55,55,2019-04-25,62.93077087402344
56,56,2019-04-26,63.169830322265625
57,57,2019-04-29,63.29346466064453
58,58,2019-04-30,64.88446807861328
59,59,2019-05-01,64.8927001953125
60,60,2019-05-02,65.55216979980469
61,61,2019-05-03,65.94786834716797
62,62,2019-05-06,65.51921844482422
63,63,2019-05-07,64.21674346923828
64,64,2019-05-08,64.44755554199219
65,65,2019-05-09,64.57121276855469
66,66,2019-05-10,64.45580291748047
67,67,2019-05-13,63.61495208740234
68,68,2019-05-14,63.8210563659668
69,69,2019-05-15,63.92820739746094
70,70,2019-05-16,65.2306900024414
71,71,2019-05-17,64.8927001953125
72,72,2019-05-20,65.02459716796875
73,73,2019-05-21,65.53569030761719
74,74,2019-05-22,66.75572967529297
75,75,2019-05-23,66.78871154785156
76,76,2019-05-24,66.912353515625
77,77,2019-05-28,66.16221618652344
78,78,2019-05-29,65.42027282714844
79,79,2019-05-30,65.68408966064453
80,80,2019-05-31,65.296630859375
81,81,2019-06-03,66.16221618652344
82,82,2019-06-04,66.83816528320312
83,83,2019-06-05,67.34100341796875
84,84,2019-06-06,67.13493347167969
85,85,2019-06-07,67.97576141357422
86,86,2019-06-10,67.99225616455078
87,87,2019-06-11,68.40442657470703
88,88,2019-06-12,69.0062255859375
89,89,2019-06-13,68.3385009765625
90,90,2019-06-14,68.69532012939453
91,91,2019-06-17,69.12683868408203
92,92,2019-06-18,70.1143798828125
93,93,2019-06-19,70.83635711669922
94,94,2019-06-20,70.20565795898438
95,95,2019-06-21,70.18074798583984
96,96,2019-06-24,70.96082305908203
97,97,2019-06-25,70.73675537109375
98,98,2019-06-26,69.32599639892578
99,99,2019-06-27,69.566650390625
100,100,2019-06-28,69.58325958251953
101,101,2019-07-01,70.33013153076172
102,102,2019-07-02,70.96082305908203
103,103,2019-07-03,72.11430358886719
104,104,2019-07-05,71.0354995727539
105,105,2019-07-08,69.74093627929688
106,106,2019-07-09,70.42141723632812
107,107,2019-07-10,70.38822174072266
108,108,2019-07-11,67.21818542480469
109,109,2019-07-12,66.16425323486328
110,110,2019-07-15,67.18498229980469
111,111,2019-07-16,67.7077865600586
112,112,2019-07-17,67.98163604736328
113,113,2019-07-18,68.6206283569336
114,114,2019-07-19,67.54183197021484
115,115,2019-07-22,67.3924331665039
116,116,2019-07-23,68.07294464111328
117,117,2019-07-24,67.8405532836914
118,118,2019-07-25,67.8405532836914
119,119,2019-07-26,67.57499694824219
120,120,2019-07-29,68.45466613769531
121,121,2019-07-30,69.1019287109375
122,122,2019-07-31,68.86959075927734
123,123,2019-08-01,69.45047760009766
124,124,2019-08-02,70.0977783203125
125,125,2019-08-05,68.97746276855469
126,126,2019-08-06,69.99819946289062
127,127,2019-08-07,69.91519927978516
128,128,2019-08-08,70.31352996826172
129,129,2019-08-09,70.9691162109375
130,130,2019-08-12,70.55416870117188
131,131,2019-08-13,71.43384552001953
132,132,2019-08-14,69.20983123779297
133,133,2019-08-15,69.2596206665039
134,134,2019-08-16,70.5873794555664
135,135,2019-08-19,71.5251235961914
136,136,2019-08-20,71.07699584960938
137,137,2019-08-21,72.12261962890625
138,138,2019-08-22,71.96495056152344
139,139,2019-08-23,70.4878158569336
140,140,2019-08-26,71.26787567138672
141,141,2019-08-27,70.9691162109375
142,142,2019-08-28,71.7657699584961
143,143,2019-08-29,71.96495056152344
144,144,2019-08-30,71.75748443603516
145,145,2019-09-03,71.9068374633789
