,Unnamed: 0,Date,COO
0,0,2019-02-05,277.6376647949219
1,1,2019-02-06,276.2487487792969
2,2,2019-02-07,272.61151123046875
3,3,2019-02-08,275.8591003417969
4,4,2019-02-11,275.0196838378906
5,5,2019-02-12,277.8775634765625
6,6,2019-02-13,277.78759765625
7,7,2019-02-14,275.79913330078125
8,8,2019-02-15,278.85675048828125
9,9,2019-02-19,283.2034912109375
10,10,2019-02-20,284.40252685546875
11,11,2019-02-21,286.1112060546875
12,12,2019-02-22,292.366455078125
13,13,2019-02-25,294.3749389648437
14,14,2019-02-26,288.52935791015625
15,15,2019-02-27,286.8006286621094
16,16,2019-02-28,285.7714538574219
17,17,2019-03-01,290.44793701171875
18,18,2019-03-04,287.6300964355469
19,19,2019-03-05,289.9982604980469
20,20,2019-03-06,282.54400634765625
21,21,2019-03-07,288.169677734375
22,22,2019-03-08,287.8798522949219
23,23,2019-03-11,288.5892639160156
24,24,2019-03-12,292.76611328125
25,25,2019-03-13,291.8867492675781
26,26,2019-03-14,294.5847473144531
27,27,2019-03-15,295.0044860839844
28,28,2019-03-18,292.9559936523437
29,29,2019-03-19,294.3549194335937
30,30,2019-03-20,290.9874572753906
31,31,2019-03-21,297.0228881835937
32,32,2019-03-22,291.5370483398437
33,33,2019-03-25,292.086669921875
34,34,2019-03-26,293.88525390625
35,35,2019-03-27,292.6262512207031
36,36,2019-03-28,294.74462890625
37,37,2019-03-29,295.9437255859375
38,38,2019-04-01,295.5939636230469
39,39,2019-04-02,297.36260986328125
40,40,2019-04-03,296.843017578125
41,41,2019-04-04,290.50787353515625
42,42,2019-04-05,289.2188415527344
43,43,2019-04-08,289.808349609375
44,44,2019-04-09,289.2388000488281
45,45,2019-04-10,291.45709228515625
46,46,2019-04-11,291.6570129394531
47,47,2019-04-12,292.7161560058594
48,48,2019-04-15,295.3941345214844
49,49,2019-04-16,288.7592163085937
50,50,2019-04-17,279.0765991210937
51,51,2019-04-18,281.0050964355469
52,52,2019-04-22,284.0928039550781
53,53,2019-04-23,286.5209045410156
54,54,2019-04-24,282.24420166015625
55,55,2019-04-25,281.284912109375
56,56,2019-04-26,288.0797119140625
57,57,2019-04-29,285.67156982421875
58,58,2019-04-30,289.698486328125
59,59,2019-05-01,287.18035888671875
60,60,2019-05-02,290.5877990722656
61,61,2019-05-03,293.6854248046875
62,62,2019-05-06,294.5347595214844
63,63,2019-05-07,289.00897216796875
64,64,2019-05-08,290.7076721191406
65,65,2019-05-09,291.1973571777344
66,66,2019-05-10,291.5670471191406
67,67,2019-05-13,286.57086181640625
68,68,2019-05-14,287.580078125
69,69,2019-05-15,290.537841796875
70,70,2019-05-16,291.4371032714844
71,71,2019-05-17,292.5062866210937
72,72,2019-05-20,289.2588195800781
73,73,2019-05-21,292.2864990234375
74,74,2019-05-22,293.3157043457031
75,75,2019-05-23,291.7069396972656
76,76,2019-05-24,290.9974670410156
77,77,2019-05-28,286.3609924316406
78,78,2019-05-29,284.7422180175781
79,79,2019-05-30,286.2210998535156
80,80,2019-05-31,297.5624694824219
81,81,2019-06-03,301.5294189453125
82,82,2019-06-04,310.3726501464844
83,83,2019-06-05,312.0314025878906
84,84,2019-06-06,319.6955261230469
85,85,2019-06-07,321.7040405273437
86,86,2019-06-10,322.36346435546875
87,87,2019-06-11,323.8423156738281
88,88,2019-06-12,327.8692932128906
89,89,2019-06-13,324.3119812011719
90,90,2019-06-14,322.8531188964844
91,91,2019-06-17,324.2420349121094
92,92,2019-06-18,323.9422607421875
93,93,2019-06-19,331.2566833496094
94,94,2019-06-20,327.18975830078125
95,95,2019-06-21,328.61865234375
96,96,2019-06-24,328.6886291503906
97,97,2019-06-25,329.7278747558594
98,98,2019-06-26,328.1790771484375
99,99,2019-06-27,331.3166809082031
100,100,2019-06-28,336.632568359375
101,101,2019-07-01,339.7401733398437
102,102,2019-07-02,332.53570556640625
103,103,2019-07-03,335.0038452148437
104,104,2019-07-05,332.47576904296875
105,105,2019-07-08,330.2374572753906
106,106,2019-07-09,332.6656494140625
107,107,2019-07-10,330.71710205078125
108,108,2019-07-11,333.79473876953125
109,109,2019-07-12,330.6871337890625
110,110,2019-07-15,331.6864013671875
111,111,2019-07-16,327.939208984375
112,112,2019-07-17,331.1068115234375
113,113,2019-07-18,331.6564025878906
114,114,2019-07-19,331.26666259765625
115,115,2019-07-22,332.7356872558594
116,116,2019-07-23,334.7743225097656
117,117,2019-07-24,336.3931884765625
118,118,2019-07-25,337.4725341796875
119,119,2019-07-26,337.7523193359375
120,120,2019-07-29,341.25994873046875
121,121,2019-07-30,340.8601989746094
122,122,2019-07-31,337.1727294921875
123,123,2019-08-01,337.7622985839844
124,124,2019-08-02,334.6343994140625
125,125,2019-08-05,325.4605407714844
126,126,2019-08-06,328.528564453125
127,127,2019-08-07,330.39727783203125
128,128,2019-08-08,333.9149475097656
129,129,2019-08-09,336.6430358886719
130,130,2019-08-12,332.8255920410156
131,131,2019-08-13,339.9508361816406
132,132,2019-08-14,332.51580810546875
133,133,2019-08-15,335.733642578125
134,134,2019-08-16,335.154052734375
135,135,2019-08-19,335.154052734375
136,136,2019-08-20,332.1061096191406
137,137,2019-08-21,332.38592529296875
138,138,2019-08-22,329.59783935546875
139,139,2019-08-23,321.45330810546875
140,140,2019-08-26,324.0215759277344
141,141,2019-08-27,326.1701354980469
142,142,2019-08-28,320.7537536621094
143,143,2019-08-29,328.3686218261719
144,144,2019-08-30,309.5413513183594
145,145,2019-09-03,299.33819580078125
146,146,2019-09-04,301.0271301269531
