,Unnamed: 0,Date,JPM
0,0,2019-02-05,89.35748291015625
1,1,2019-02-06,89.31442260742188
2,2,2019-02-07,88.14352416992188
3,3,2019-02-08,87.26537322998047
4,4,2019-02-11,86.85211181640625
5,5,2019-02-12,88.33294677734375
6,6,2019-02-13,88.75481414794922
7,7,2019-02-14,88.17796325683594
8,8,2019-02-15,90.87273406982422
9,9,2019-02-19,90.55419158935548
10,10,2019-02-20,90.9932632446289
11,11,2019-02-21,90.8038558959961
12,12,2019-02-22,90.39920043945312
13,13,2019-02-25,91.34627532958984
14,14,2019-02-26,90.64889526367188
15,15,2019-02-27,90.53697204589844
16,16,2019-02-28,89.84820556640625
17,17,2019-03-01,89.90846252441406
18,18,2019-03-04,89.70185852050781
19,19,2019-03-05,89.63298034667969
20,20,2019-03-06,89.29720306396484
21,21,2019-03-07,88.65149688720703
22,22,2019-03-08,88.6859359741211
23,23,2019-03-11,89.83960723876953
24,24,2019-03-12,89.57269287109375
25,25,2019-03-13,89.8740463256836
26,26,2019-03-14,90.6919174194336
27,27,2019-03-15,91.7336654663086
28,28,2019-03-18,92.2846908569336
29,29,2019-03-19,91.9489288330078
30,30,2019-03-20,89.9859619140625
31,31,2019-03-21,88.56541442871094
32,32,2019-03-22,85.88786315917969
33,33,2019-03-25,85.17327880859375
34,34,2019-03-26,86.02559661865234
35,35,2019-03-27,85.73287963867188
36,36,2019-03-28,86.70577239990234
37,37,2019-03-29,87.1534652709961
38,38,2019-04-01,90.08927154541016
39,39,2019-04-02,90.51976013183594
40,40,2019-04-03,90.7005615234375
41,41,2019-04-04,91.57674407958984
42,42,2019-04-05,91.35987091064452
43,43,2019-04-08,91.65483856201172
44,44,2019-04-09,90.97815704345705
45,45,2019-04-10,91.3858871459961
46,46,2019-04-11,92.15802001953124
47,47,2019-04-12,96.4783172607422
48,48,2019-04-15,95.37655639648438
49,49,2019-04-16,96.38288879394533
50,50,2019-04-17,99.15899658203124
51,51,2019-04-18,98.43025970458984
52,52,2019-04-22,98.55172729492188
53,53,2019-04-23,98.67317199707033
54,54,2019-04-24,98.5083465576172
55,55,2019-04-25,98.56039428710938
56,56,2019-04-26,99.30648040771484
57,57,2019-04-29,100.73790740966795
58,58,2019-04-30,100.67718505859376
59,59,2019-05-01,99.90508270263672
60,60,2019-05-02,100.12195587158205
61,61,2019-05-03,100.73790740966795
62,62,2019-05-06,99.8443374633789
63,63,2019-05-07,98.21338653564452
64,64,2019-05-08,97.6928482055664
65,65,2019-05-09,97.6147918701172
66,66,2019-05-10,97.60611724853516
67,67,2019-05-13,94.9514617919922
68,68,2019-05-14,95.7061996459961
69,69,2019-05-15,95.34183502197266
70,70,2019-05-16,96.5650634765625
71,71,2019-05-17,96.09659576416016
72,72,2019-05-20,96.59977722167967
73,73,2019-05-21,96.929443359375
74,74,2019-05-22,96.13998413085938
75,75,2019-05-23,94.2487564086914
76,76,2019-05-24,95.17700958251952
77,77,2019-05-28,94.14464569091795
78,78,2019-05-29,93.88440704345705
79,79,2019-05-30,92.87805938720705
80,80,2019-05-31,91.92377471923828
81,81,2019-06-03,92.3575439453125
82,82,2019-06-04,95.20303344726562
83,83,2019-06-05,95.5413818359375
84,84,2019-06-06,95.74959564208984
85,85,2019-06-07,94.69989013671876
86,86,2019-06-10,95.72355651855467
87,87,2019-06-11,96.01851654052734
88,88,2019-06-12,94.79530334472656
89,89,2019-06-13,95.02953338623048
90,90,2019-06-14,95.2724380493164
91,91,2019-06-17,94.75193786621094
92,92,2019-06-18,96.04454803466795
93,93,2019-06-19,95.35053253173828
94,94,2019-06-20,95.59342956542967
95,95,2019-06-21,94.94279479980467
96,96,2019-06-24,94.26612091064452
97,97,2019-06-25,93.4853515625
98,98,2019-06-26,94.1099624633789
99,99,2019-06-27,94.4222640991211
100,100,2019-06-28,96.99016571044922
101,101,2019-07-01,98.62112426757812
102,102,2019-07-02,98.7252197265625
103,103,2019-07-03,98.5679702758789
104,104,2019-07-05,99.1533203125
105,105,2019-07-08,98.61164855957033
106,106,2019-07-09,99.03101348876952
107,107,2019-07-10,98.74270629882812
108,108,2019-07-11,99.68627166748048
109,109,2019-07-12,100.73467254638672
110,110,2019-07-15,99.51153564453124
111,111,2019-07-16,100.5774154663086
112,112,2019-07-17,99.59016418457033
113,113,2019-07-18,100.18425750732422
114,114,2019-07-19,99.1969985961914
115,115,2019-07-22,99.83478546142578
116,116,2019-07-23,101.66078186035156
117,117,2019-07-24,102.0714111328125
118,118,2019-07-25,101.0928955078125
119,119,2019-07-26,101.53845977783205
120,120,2019-07-29,101.21520233154295
121,121,2019-07-30,100.9880599975586
122,122,2019-07-31,101.34624481201172
123,123,2019-08-01,98.67282104492188
124,124,2019-08-02,98.66407012939452
125,125,2019-08-05,95.7285385131836
126,126,2019-08-06,96.47986602783205
127,127,2019-08-07,94.38307189941406
128,128,2019-08-08,95.9819107055664
129,129,2019-08-09,95.87704467773438
130,130,2019-08-12,94.0772705078125
131,131,2019-08-13,95.52758026123048
132,132,2019-08-14,91.56110382080078
133,133,2019-08-15,91.91056060791016
134,134,2019-08-16,94.11222839355467
135,135,2019-08-19,94.95967864990234
136,136,2019-08-20,93.75401306152344
137,137,2019-08-21,94.01612854003906
138,138,2019-08-22,94.98590087890624
139,139,2019-08-23,92.6269760131836
140,140,2019-08-26,93.36959075927734
141,141,2019-08-27,92.38235473632812
142,142,2019-08-28,93.3084487915039
143,143,2019-08-29,95.4227523803711
144,144,2019-08-30,95.9819107055664
145,145,2019-09-03,94.84612274169922
