,Unnamed: 0,Date,DHR
0,0,2019-02-05,94.90896606445312
1,1,2019-02-06,95.0389633178711
2,2,2019-02-07,94.11162567138672
3,3,2019-02-08,94.6836395263672
4,4,2019-02-11,95.05630493164062
5,5,2019-02-12,96.5209732055664
6,6,2019-02-13,96.39097595214844
7,7,2019-02-14,95.64563751220705
8,8,2019-02-15,96.40831756591795
9,9,2019-02-19,96.47764587402344
10,10,2019-02-20,97.24031829833984
11,11,2019-02-21,97.43965911865234
12,12,2019-02-22,98.34966278076172
13,13,2019-02-25,106.73033905029295
14,14,2019-02-26,106.7823257446289
15,15,2019-02-27,109.53833770751952
16,16,2019-02-28,110.0843505859375
17,17,2019-03-01,110.7343521118164
18,18,2019-03-04,109.10501861572266
19,19,2019-03-05,108.6370086669922
20,20,2019-03-06,108.02167510986328
21,21,2019-03-07,107.8656768798828
22,22,2019-03-08,108.36833953857422
23,23,2019-03-11,109.48634338378906
24,24,2019-03-12,110.44833374023438
25,25,2019-03-13,111.0463409423828
26,26,2019-03-14,111.02901458740234
27,27,2019-03-15,111.53166198730467
28,28,2019-03-18,110.9943389892578
29,29,2019-03-19,112.5456771850586
30,30,2019-03-20,112.44168853759766
31,31,2019-03-21,114.65168762207033
32,32,2019-03-22,112.39835357666016
33,33,2019-03-25,112.1990203857422
34,34,2019-03-26,113.60302734375
35,35,2019-03-27,112.44168853759766
36,36,2019-03-28,112.69491577148438
37,37,2019-03-29,114.58705139160156
38,38,2019-04-01,114.41345977783205
39,39,2019-04-02,114.23987579345705
40,40,2019-04-03,113.67568969726562
41,41,2019-04-04,113.2417221069336
42,42,2019-04-05,114.2138442993164
43,43,2019-04-08,114.52629089355467
44,44,2019-04-09,114.4221420288086
45,45,2019-04-10,114.1357192993164
46,46,2019-04-11,114.0749740600586
47,47,2019-04-12,114.24854278564452
48,48,2019-04-15,113.26778411865234
49,49,2019-04-16,111.25411987304688
50,50,2019-04-17,108.38987731933594
51,51,2019-04-18,110.03030395507812
52,52,2019-04-22,110.11710357666016
53,53,2019-04-23,110.90692901611328
54,54,2019-04-24,112.22622680664062
55,55,2019-04-25,113.17230224609376
56,56,2019-04-26,113.64099884033205
57,57,2019-04-29,113.9794921875
58,58,2019-04-30,114.95159149169922
59,59,2019-05-01,114.18779754638672
60,60,2019-05-02,115.88030242919922
61,61,2019-05-03,116.80902862548828
62,62,2019-05-06,116.12335205078124
63,63,2019-05-07,113.46739196777344
64,64,2019-05-08,114.32666778564452
65,65,2019-05-09,113.99684143066406
66,66,2019-05-10,114.29195404052734
67,67,2019-05-13,112.36507415771484
68,68,2019-05-14,113.48474884033205
69,69,2019-05-15,113.74515533447266
70,70,2019-05-16,114.80403900146484
71,71,2019-05-17,113.78853607177734
72,72,2019-05-20,113.1115264892578
73,73,2019-05-21,113.0160675048828
74,74,2019-05-22,114.34402465820312
75,75,2019-05-23,114.24854278564452
76,76,2019-05-24,114.60440063476562
77,77,2019-05-28,112.9466323852539
78,78,2019-05-29,113.07683563232422
79,79,2019-05-30,114.95159149169922
80,80,2019-05-31,114.578369140625
81,81,2019-06-03,114.50025939941406
82,82,2019-06-04,114.96027374267578
83,83,2019-06-05,116.47919464111328
84,84,2019-06-06,117.10411071777344
85,85,2019-06-07,119.36078643798828
86,86,2019-06-10,119.75137329101562
87,87,2019-06-11,119.69931030273438
88,88,2019-06-12,120.44573211669922
89,89,2019-06-13,121.0098876953125
90,90,2019-06-14,121.19216918945312
91,91,2019-06-17,120.94913482666016
92,92,2019-06-18,122.38996124267578
93,93,2019-06-19,123.71791076660156
94,94,2019-06-20,124.68134307861328
95,95,2019-06-21,124.7507781982422
96,96,2019-06-24,123.3794174194336
97,97,2019-06-25,123.42279052734376
98,98,2019-06-26,122.30313873291016
99,99,2019-06-27,123.39979553222656
100,100,2019-06-28,124.21678924560548
101,101,2019-07-01,125.15544891357422
102,102,2019-07-02,125.27713012695312
103,103,2019-07-03,126.29401397705078
104,104,2019-07-05,125.54656219482422
105,105,2019-07-08,124.82518768310548
106,106,2019-07-09,123.66922760009766
107,107,2019-07-10,123.93865966796876
108,108,2019-07-11,124.03425598144533
109,109,2019-07-12,121.70497131347656
110,110,2019-07-15,122.64364624023438
111,111,2019-07-16,121.53114318847656
112,112,2019-07-17,121.3747100830078
113,113,2019-07-18,124.28630065917967
114,114,2019-07-19,123.07820892333984
115,115,2019-07-22,123.0868911743164
116,116,2019-07-23,123.86043548583984
117,117,2019-07-24,124.01687622070312
118,118,2019-07-25,124.46883392333984
119,119,2019-07-26,123.66053009033205
120,120,2019-07-29,124.00819396972656
121,121,2019-07-30,124.02557373046876
122,122,2019-07-31,122.1134796142578
123,123,2019-08-01,121.87010955810548
124,124,2019-08-02,120.97491455078124
125,125,2019-08-05,117.94161224365234
126,126,2019-08-06,120.14054870605467
127,127,2019-08-07,120.11447143554688
128,128,2019-08-08,122.45242309570312
129,129,2019-08-09,121.94831848144533
130,130,2019-08-12,120.2969741821289
131,131,2019-08-13,122.14824676513672
132,132,2019-08-14,118.5152587890625
133,133,2019-08-15,119.23664093017578
134,134,2019-08-16,121.98310089111328
135,135,2019-08-19,123.1651382446289
136,136,2019-08-20,121.73975372314452
137,137,2019-08-21,121.95703125
138,138,2019-08-22,121.29649353027344
139,139,2019-08-23,117.6808853149414
140,140,2019-08-26,118.55001068115234
141,141,2019-08-27,120.15792083740234
142,142,2019-08-28,121.23563385009766
143,143,2019-08-29,123.13904571533205
144,144,2019-08-30,123.49537658691406
145,145,2019-09-03,121.56592559814452
