,Unnamed: 0.1,Unnamed: 0,Date,CPT,CPT_6m,CPT_12m
0,0,0,2019-02-05,83.52938079833984,,
1,1,1,2019-02-06,83.67428588867188,,
2,2,2,2019-02-07,84.51817321777344,,
3,3,3,2019-02-08,84.32213592529297,,
4,4,4,2019-02-11,84.60343933105469,,
5,5,5,2019-02-12,83.48673248291016,,
6,6,6,2019-02-13,84.19426727294922,83.52938079833984,
7,7,7,2019-02-14,84.05787658691406,83.67428588867188,
8,8,8,2019-02-15,84.13458251953125,84.51817321777344,
9,9,9,2019-02-19,84.21984100341797,84.32213592529297,
10,10,10,2019-02-20,82.25924682617188,84.60343933105469,
11,11,11,2019-02-21,82.94972229003906,83.48673248291016,
12,12,12,2019-02-22,83.21398162841797,84.19426727294922,83.52938079833984
13,13,13,2019-02-25,83.02644348144531,84.05787658691406,83.67428588867188
14,14,14,2019-02-26,83.07758331298828,84.13458251953125,84.51817321777344
15,15,15,2019-02-27,83.21398162841797,84.21984100341797,84.32213592529297
16,16,16,2019-02-28,83.61458587646484,82.25924682617188,84.60343933105469
17,17,17,2019-03-01,83.24808502197266,82.94972229003906,83.48673248291016
18,18,18,2019-03-04,84.19426727294922,83.21398162841797,84.19426727294922
19,19,19,2019-03-05,84.48410034179688,83.02644348144531,84.05787658691406
20,20,20,2019-03-06,84.0237808227539,83.07758331298828,84.13458251953125
21,21,21,2019-03-07,83.98968505859375,83.21398162841797,84.21984100341797
22,22,22,2019-03-08,84.49260711669922,83.61458587646484,82.25924682617188
23,23,23,2019-03-11,85.4388198852539,83.24808502197266,82.94972229003906
24,24,24,2019-03-12,85.9161605834961,84.19426727294922,83.21398162841797
25,25,25,2019-03-13,86.18894958496094,84.48410034179688,83.02644348144531
26,26,26,2019-03-14,86.41910552978516,84.0237808227539,83.07758331298828
27,27,27,2019-03-15,85.89911651611328,83.98968505859375,83.21398162841797
28,28,28,2019-03-18,85.17454528808594,84.49260711669922,83.61458587646484
29,29,29,2019-03-19,85.02111053466797,85.4388198852539,83.24808502197266
30,30,30,2019-03-20,84.45851135253906,85.9161605834961,84.19426727294922
31,31,31,2019-03-21,85.13192749023438,86.18894958496094,84.48410034179688
32,32,32,2019-03-22,85.08078002929688,86.41910552978516,84.0237808227539
33,33,33,2019-03-25,85.30244445800781,85.89911651611328,83.98968505859375
34,34,34,2019-03-26,86.50434875488281,85.17454528808594,84.49260711669922
35,35,35,2019-03-27,86.50434875488281,85.02111053466797,85.4388198852539
36,36,36,2019-03-28,87.36354064941406,84.45851135253906,85.9161605834961
37,37,37,2019-03-29,87.20886993408203,85.13192749023438,86.18894958496094
38,38,38,2019-04-01,86.90815734863281,85.08078002929688,86.41910552978516
39,39,39,2019-04-02,87.75877380371094,85.30244445800781,85.89911651611328
40,40,40,2019-04-03,87.59552764892578,86.50434875488281,85.17454528808594
41,41,41,2019-04-04,87.44947052001953,86.50434875488281,85.02111053466797
42,42,42,2019-04-05,87.38932037353516,87.36354064941406,84.45851135253906
43,43,43,2019-04-08,87.38932037353516,87.20886993408203,85.13192749023438
44,44,44,2019-04-09,87.20030212402344,86.90815734863281,85.08078002929688
45,45,45,2019-04-10,88.06807708740234,87.75877380371094,85.30244445800781
