,Unnamed: 0,Date,GLW
0,0,2019-02-05,28.94683265686035
1,1,2019-02-06,29.136646270751957
2,2,2019-02-07,28.653484344482425
3,3,2019-02-08,28.808780670166016
4,4,2019-02-11,28.782899856567383
5,5,2019-02-12,29.35234642028809
6,6,2019-02-13,29.369609832763672
7,7,2019-02-14,29.102140426635746
8,8,2019-02-15,29.775115966796875
9,9,2019-02-19,29.507646560668945
10,10,2019-02-20,29.9045352935791
11,11,2019-02-21,29.76648712158203
12,12,2019-02-22,30.06847381591797
13,13,2019-02-25,30.26691436767578
14,14,2019-02-26,30.120235443115234
15,15,2019-02-27,30.102876663208008
16,16,2019-02-28,30.207012176513672
17,17,2019-03-01,30.31114387512207
18,18,2019-03-04,30.26776123046875
19,19,2019-03-05,30.102876663208008
20,20,2019-03-06,29.946685791015625
21,21,2019-03-07,29.478084564208984
22,22,2019-03-08,29.33056640625
23,23,2019-03-11,29.67767333984375
24,24,2019-03-12,29.67767333984375
25,25,2019-03-13,29.773128509521484
26,26,2019-03-14,29.695032119750977
27,27,2019-03-15,29.95536231994629
28,28,2019-03-18,29.807842254638672
29,29,2019-03-19,30.033456802368164
30,30,2019-03-20,29.695032119750977
31,31,2019-03-21,30.18966293334961
32,32,2019-03-22,29.35660171508789
33,33,2019-03-25,29.27850151062012
34,34,2019-03-26,29.16568946838379
35,35,2019-03-27,28.84461784362793
36,36,2019-03-28,28.54957389831543
37,37,2019-03-29,28.72313117980957
38,38,2019-04-01,29.4346981048584
39,39,2019-04-02,29.52148056030273
40,40,2019-04-03,29.833871841430664
41,41,2019-04-04,30.033456802368164
42,42,2019-04-05,30.102876663208008
43,43,2019-04-08,30.09420585632324
44,44,2019-04-09,29.755773544311523
45,45,2019-04-10,29.851228713989254
46,46,2019-04-11,30.024776458740234
47,47,2019-04-12,30.38055992126465
48,48,2019-04-15,30.33717918395996
49,49,2019-04-16,30.26776123046875
50,50,2019-04-17,30.293800354003903
51,51,2019-04-18,30.241722106933597
52,52,2019-04-22,29.807842254638672
53,53,2019-04-23,30.241722106933597
54,54,2019-04-24,29.89461708068848
55,55,2019-04-25,29.1223087310791
56,56,2019-04-26,29.200401306152344
57,57,2019-04-29,29.269824981689453
58,58,2019-04-30,27.63841819763184
59,59,2019-05-01,28.037595748901367
60,60,2019-05-02,27.40412330627441
61,61,2019-05-03,27.759904861450195
62,62,2019-05-06,27.334701538085938
63,63,2019-05-07,27.039661407470703
64,64,2019-05-08,26.80535888671875
65,65,2019-05-09,26.579740524291992
66,66,2019-05-10,26.718584060668945
