,Unnamed: 0,Date,DOV
0,0,2019-02-05,81.38460540771484
1,1,2019-02-06,81.14464569091797
2,2,2019-02-07,80.21260833740234
3,3,2019-02-08,80.12031555175781
4,4,2019-02-11,80.64633178710938
5,5,2019-02-12,83.06414794921875
6,6,2019-02-13,83.14720153808594
7,7,2019-02-14,83.11952209472656
8,8,2019-02-15,84.16233825683594
9,9,2019-02-19,84.3653564453125
10,10,2019-02-20,84.97441864013672
11,11,2019-02-21,84.50379180908203
12,12,2019-02-22,85.20511627197266
13,13,2019-02-25,85.32511138916016
14,14,2019-02-26,84.18079376220703
15,15,2019-02-27,84.16223907470703
16,16,2019-02-28,83.98595428466797
17,17,2019-03-01,84.40345764160156
18,18,2019-03-04,84.60752868652344
19,19,2019-03-05,84.16223907470703
20,20,2019-03-06,84.38485717773438
21,21,2019-03-07,83.66127014160156
22,22,2019-03-08,82.81705474853516
23,23,2019-03-11,83.99524688720703
24,24,2019-03-12,83.90245819091797
25,25,2019-03-13,84.79307556152344
26,26,2019-03-14,84.16223907470703
27,27,2019-03-15,84.13440704345703
28,28,2019-03-18,85.84140014648438
29,29,2019-03-19,85.76716613769531
30,30,2019-03-20,84.73739624023438
31,31,2019-03-21,85.77645111083984
32,32,2019-03-22,83.7725830078125
33,33,2019-03-25,84.5518569946289
34,34,2019-03-26,85.43319702148438
35,35,2019-03-27,85.58163452148438
36,36,2019-03-28,86.75055694580078
37,37,2019-03-29,87.01959991455078
38,38,2019-04-01,89.0234603881836
39,39,2019-04-02,88.93997192382812
40,40,2019-04-03,89.06983947753906
41,41,2019-04-04,89.87696075439453
42,42,2019-04-05,89.56151580810547
43,43,2019-04-08,89.69140625
44,44,2019-04-09,88.02152252197266
45,45,2019-04-10,88.29983520507812
46,46,2019-04-11,88.88429260253906
47,47,2019-04-12,90.10887145996094
48,48,2019-04-15,89.79345703125
49,49,2019-04-16,90.44284057617188
50,50,2019-04-17,89.802734375
51,51,2019-04-18,90.71189880371094
52,52,2019-04-22,89.38524627685547
53,53,2019-04-23,90.53561401367188
54,54,2019-04-24,90.2294921875
55,55,2019-04-25,89.26466369628906
56,56,2019-04-26,90.01612091064453
57,57,2019-04-29,90.68405151367188
58,58,2019-04-30,90.9531021118164
59,59,2019-05-01,90.2944107055664
60,60,2019-05-02,90.8046417236328
61,61,2019-05-03,92.18695831298828
62,62,2019-05-06,90.84178161621094
63,63,2019-05-07,90.2109375
64,64,2019-05-08,89.83984375
65,65,2019-05-09,89.28321075439453
66,66,2019-05-10,89.81201171875
67,67,2019-05-13,87.65043640136719
68,68,2019-05-14,89.14402770996094
69,69,2019-05-15,89.26466369628906
70,70,2019-05-16,89.4594955444336
71,71,2019-05-17,87.62259674072266
72,72,2019-05-20,87.52984619140625
73,73,2019-05-21,88.30912017822266
74,74,2019-05-22,86.31452178955078
75,75,2019-05-23,84.48693084716797
76,76,2019-05-24,84.32921600341797
77,77,2019-05-28,83.48499298095703
78,78,2019-05-29,83.82823944091797
79,79,2019-05-30,84.2479476928711
80,80,2019-05-31,83.38990020751953
81,81,2019-06-03,85.10600280761719
82,82,2019-06-04,87.78276062011719
83,83,2019-06-05,88.99522399902344
84,84,2019-06-06,88.33305358886719
85,85,2019-06-07,89.58281707763672
86,86,2019-06-10,90.08646392822266
87,87,2019-06-11,89.88128662109375
88,88,2019-06-12,90.0398178100586
89,89,2019-06-13,90.2636489868164
90,90,2019-06-14,89.6014633178711
91,91,2019-06-17,88.98592376708984
92,92,2019-06-18,89.87194061279297
93,93,2019-06-19,90.4128875732422
94,94,2019-06-20,91.44816589355467
95,95,2019-06-21,90.67403411865234
96,96,2019-06-24,91.3548812866211
97,97,2019-06-25,91.970458984375
98,98,2019-06-26,91.72794342041016
99,99,2019-06-27,91.9051742553711
100,100,2019-06-28,93.45339965820312
101,101,2019-07-01,95.44931030273438
102,102,2019-07-02,95.30941772460938
103,103,2019-07-03,96.42860412597656
104,104,2019-07-05,95.82237243652344
105,105,2019-07-08,94.44203186035156
106,106,2019-07-09,93.6305923461914
107,107,2019-07-10,91.9051742553711
108,108,2019-07-11,91.05642700195312
109,109,2019-07-12,93.32280731201172
110,110,2019-07-15,92.65129089355467
111,111,2019-07-16,92.63265228271484
112,112,2019-07-17,89.03253936767578
113,113,2019-07-18,90.67403411865234
114,114,2019-07-19,91.51346588134766
115,115,2019-07-22,90.6553955078125
116,116,2019-07-23,91.50409698486328
117,117,2019-07-24,91.13103485107422
118,118,2019-07-25,92.12899780273438
119,119,2019-07-26,91.59738159179688
120,120,2019-07-29,90.25434112548828
121,121,2019-07-30,91.2989273071289
122,122,2019-07-31,90.32894134521484
123,123,2019-08-01,88.03459930419922
124,124,2019-08-02,86.50502014160156
125,125,2019-08-05,83.84690856933594
126,126,2019-08-06,84.87284088134766
127,127,2019-08-07,84.39718627929688
128,128,2019-08-08,86.19722747802734
129,129,2019-08-09,85.98270416259766
130,130,2019-08-12,84.08940124511719
131,131,2019-08-13,85.13398742675781
132,132,2019-08-14,82.34532165527344
133,133,2019-08-15,83.00749969482422
134,134,2019-08-16,84.61168670654297
135,135,2019-08-19,85.09667205810547
136,136,2019-08-20,85.15264129638672
137,137,2019-08-21,85.50704956054688
138,138,2019-08-22,84.80754852294922
139,139,2019-08-23,82.16809844970703
140,140,2019-08-26,82.6717300415039
141,141,2019-08-27,82.94219970703125
142,142,2019-08-28,84.66765594482422
143,143,2019-08-29,86.505615234375
144,144,2019-08-30,87.90281677246094
145,145,2019-09-03,86.74942779541016
146,146,2019-09-04,87.44334411621094
