,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m
0,0,0,2019-02-05,53.34000015258789,,
1,1,1,2019-02-06,53.150001525878906,,
2,2,2,2019-02-07,53.4900016784668,,
3,3,3,2019-02-08,54.20000076293945,,
4,4,4,2019-02-11,54.02000045776367,,
5,5,5,2019-02-12,55.06999969482422,,
6,6,6,2019-02-13,55.150001525878906,53.34000015258789,
7,7,7,2019-02-14,55.369998931884766,53.150001525878906,
8,8,8,2019-02-15,56.34000015258789,53.4900016784668,
9,9,9,2019-02-19,55.68999862670898,54.20000076293945,
10,10,10,2019-02-20,55.650001525878906,54.02000045776367,
11,11,11,2019-02-21,55.869998931884766,55.06999969482422,
12,12,12,2019-02-22,56.86000061035156,55.150001525878906,53.34000015258789
13,13,13,2019-02-25,56.77000045776367,55.369998931884766,53.150001525878906
14,14,14,2019-02-26,56.34999847412109,56.34000015258789,53.4900016784668
15,15,15,2019-02-27,56.34999847412109,55.68999862670898,54.20000076293945
16,16,16,2019-02-28,56.560001373291016,55.650001525878906,54.02000045776367
17,17,17,2019-03-01,61.040000915527344,55.869998931884766,55.06999969482422
18,18,18,2019-03-04,60.7599983215332,56.86000061035156,55.150001525878906
19,19,19,2019-03-05,61.040000915527344,56.77000045776367,55.369998931884766
20,20,20,2019-03-06,60.93000030517578,56.34999847412109,56.34000015258789
21,21,21,2019-03-07,60.77999877929688,56.34999847412109,55.68999862670898
22,22,22,2019-03-08,60.790000915527344,56.560001373291016,55.650001525878906
23,23,23,2019-03-11,62.2400016784668,61.040000915527344,55.869998931884766
24,24,24,2019-03-12,63.130001068115234,60.7599983215332,56.86000061035156
25,25,25,2019-03-13,62.68000030517578,61.040000915527344,56.77000045776367
26,26,26,2019-03-14,63.560001373291016,60.93000030517578,56.34999847412109
27,27,27,2019-03-15,63.459999084472656,60.77999877929688,56.34999847412109
28,28,28,2019-03-18,63.08000183105469,60.790000915527344,56.560001373291016
29,29,29,2019-03-19,62.63999938964844,62.2400016784668,61.040000915527344
30,30,30,2019-03-20,63.150001525878906,63.130001068115234,60.7599983215332
31,31,31,2019-03-21,64.27999877929688,62.68000030517578,61.040000915527344
