,Date,TDG
103,2019-07-02 00:00:00-04:00,409.1409606933594
104,2019-07-03 00:00:00-04:00,416.0755920410156
105,2019-07-05 00:00:00-04:00,416.3100891113281
106,2019-07-08 00:00:00-04:00,411.4860534667969
107,2019-07-09 00:00:00-04:00,405.15447998046875
108,2019-07-10 00:00:00-04:00,410.1795349121094
109,2019-07-11 00:00:00-04:00,412.2481689453125
110,2019-07-12 00:00:00-04:00,417.130859375
111,2019-07-15 00:00:00-04:00,417.3904724121094
112,2019-07-16 00:00:00-04:00,416.938232421875
113,2019-07-17 00:00:00-04:00,409.37548828125
114,2019-07-18 00:00:00-04:00,408.797607421875
115,2019-07-19 00:00:00-04:00,405.0120544433594
116,2019-07-22 00:00:00-04:00,405.55645751953125
117,2019-07-23 00:00:00-04:00,413.2783203125
118,2019-07-24 00:00:00-04:00,414.2832946777344
119,2019-07-25 00:00:00-04:00,417.4658203125
120,2019-07-26 00:00:00-04:00,415.40557861328125
121,2019-07-29 00:00:00-04:00,411.51116943359375
122,2019-07-30 00:00:00-04:00,407.4659729003906
123,2019-07-31 00:00:00-04:00,406.56146240234375
124,2019-08-01 00:00:00-04:00,401.4442443847656
125,2019-08-02 00:00:00-04:00,394.42596435546875
126,2019-08-05 00:00:00-04:00,386.3690490722656
127,2019-08-06 00:00:00-04:00,439.1825256347656
128,2019-08-07 00:00:00-04:00,450.0199279785156
129,2019-08-08 00:00:00-04:00,461.32635498046875
130,2019-08-09 00:00:00-04:00,456.2174987792969
131,2019-08-12 00:00:00-04:00,453.8138427734375
132,2019-08-13 00:00:00-04:00,459.132080078125
133,2019-08-14 00:00:00-04:00,451.4604187011719
134,2019-08-15 00:00:00-04:00,457.81927490234375
135,2019-08-16 00:00:00-04:00,470.1289978027344
136,2019-08-19 00:00:00-04:00,476.7628173828125
137,2019-08-20 00:00:00-04:00,474.119873046875
138,2019-08-21 00:00:00-04:00,472.6300048828125
139,2019-08-22 00:00:00-04:00,470.27093505859375
140,2019-08-23 00:00:00-04:00,462.5285949707031
141,2019-08-26 00:00:00-04:00,462.7236633300781
142,2019-08-27 00:00:00-04:00,454.52899169921875
143,2019-08-28 00:00:00-04:00,462.23590087890625
144,2019-08-29 00:00:00-04:00,468.9671936035156
145,2019-08-30 00:00:00-04:00,477.4190673828125
146,2019-09-03 00:00:00-04:00,474.27960205078125
147,2019-09-04 00:00:00-04:00,475.8759460449219
148,2019-09-05 00:00:00-04:00,472.67425537109375
149,2019-09-06 00:00:00-04:00,473.5079650878906
150,2019-09-09 00:00:00-04:00,455.47796630859375
151,2019-09-10 00:00:00-04:00,447.79766845703125
152,2019-09-11 00:00:00-04:00,444.4098205566406
153,2019-09-12 00:00:00-04:00,456.52447509765625
154,2019-09-13 00:00:00-04:00,461.01202392578125
155,2019-09-16 00:00:00-04:00,464.3111267089844
156,2019-09-17 00:00:00-04:00,466.1292724609375
157,2019-09-18 00:00:00-04:00,470.37738037109375
158,2019-09-19 00:00:00-04:00,471.175537109375
159,2019-09-20 00:00:00-04:00,467.6103210449219
160,2019-09-23 00:00:00-04:00,469.5436706542969
161,2019-09-24 00:00:00-04:00,466.82989501953125
162,2019-09-25 00:00:00-04:00,468.31982421875
163,2019-09-26 00:00:00-04:00,470.6256408691406
164,2019-09-27 00:00:00-04:00,459.56640625
165,2019-09-30 00:00:00-04:00,461.76580810546875
166,2019-10-01 00:00:00-04:00,449.17230224609375
167,2019-10-02 00:00:00-04:00,443.2214050292969
168,2019-10-03 00:00:00-04:00,449.8463439941406
169,2019-10-04 00:00:00-04:00,455.5045166015625
170,2019-10-07 00:00:00-04:00,456.222900390625
171,2019-10-08 00:00:00-04:00,451.11456298828125
172,2019-10-09 00:00:00-04:00,451.5491027832031
173,2019-10-10 00:00:00-04:00,453.1898193359375
174,2019-10-11 00:00:00-04:00,465.410888671875
175,2019-10-14 00:00:00-04:00,460.01873779296875
176,2019-10-15 00:00:00-04:00,463.8322448730469
177,2019-10-16 00:00:00-04:00,460.1429138183594
178,2019-10-17 00:00:00-04:00,466.9806213378906
179,2019-10-18 00:00:00-04:00,466.9983825683594
180,2019-10-21 00:00:00-04:00,462.88330078125
181,2019-10-22 00:00:00-04:00,453.1277160644531
182,2019-10-23 00:00:00-04:00,456.62200927734375
183,2019-10-24 00:00:00-04:00,468.080322265625
184,2019-10-25 00:00:00-04:00,464.2313537597656
185,2019-10-28 00:00:00-04:00,467.8409118652344
186,2019-10-29 00:00:00-04:00,466.4662170410156
187,2019-10-30 00:00:00-04:00,471.7785949707031
188,2019-10-31 00:00:00-04:00,466.7412109375
189,2019-11-01 00:00:00-04:00,477.38360595703125
190,2019-11-04 00:00:00-05:00,472.73638916015625
191,2019-11-05 00:00:00-05:00,474.8914794921875
192,2019-11-06 00:00:00-05:00,475.7340087890625
193,2019-11-07 00:00:00-05:00,477.4013671875
194,2019-11-08 00:00:00-05:00,479.8668212890625
195,2019-11-11 00:00:00-05:00,481.66717529296875
196,2019-11-12 00:00:00-05:00,482.8999328613281
197,2019-11-13 00:00:00-05:00,487.0682067871094
198,2019-11-14 00:00:00-05:00,496.44244384765625
199,2019-11-15 00:00:00-05:00,496.4512939453125
200,2019-11-18 00:00:00-05:00,503.45751953125
201,2019-11-19 00:00:00-05:00,503.8831787109375
202,2019-11-20 00:00:00-05:00,509.94940185546875
203,2019-11-21 00:00:00-05:00,508.29986572265625
204,2019-11-22 00:00:00-05:00,498.77490234375
205,2019-11-25 00:00:00-05:00,506.4107971191406
206,2019-11-26 00:00:00-05:00,508.56585693359375
207,2019-11-27 00:00:00-05:00,503.1471862792969
208,2019-11-29 00:00:00-05:00,502.9430847167969
209,2019-12-02 00:00:00-05:00,493.61334228515625
210,2019-12-03 00:00:00-05:00,492.66436767578125
211,2019-12-04 00:00:00-05:00,499.3070068359375
212,2019-12-05 00:00:00-05:00,501.1250915527344
213,2019-12-06 00:00:00-05:00,505.61260986328125
214,2019-12-09 00:00:00-05:00,500.2027587890625
215,2019-12-10 00:00:00-05:00,504.8499450683594
216,2019-12-11 00:00:00-05:00,505.55938720703125
217,2019-12-12 00:00:00-05:00,503.3688659667969
218,2019-12-13 00:00:00-05:00,510.6677551269531
219,2019-12-16 00:00:00-05:00,510.25103759765625
220,2019-12-17 00:00:00-05:00,505.7988586425781
221,2019-12-18 00:00:00-05:00,503.2447204589844
222,2019-12-19 00:00:00-05:00,509.9139709472656
223,2019-12-20 00:00:00-05:00,524.396484375
224,2019-12-23 00:00:00-05:00,525.939697265625
225,2019-12-24 00:00:00-05:00,525.5849609375
226,2019-12-26 00:00:00-05:00,530.1522827148438
227,2019-12-27 00:00:00-05:00,528.9330444335938
228,2019-12-30 00:00:00-05:00,527.0855102539062
229,2019-12-31 00:00:00-05:00,525.2003784179688
230,2020-01-02 00:00:00-05:00,532.1781005859375
231,2020-01-03 00:00:00-05:00,541.9318237304688
232,2020-01-06 00:00:00-05:00,548.4592895507812
233,2020-01-07 00:00:00-05:00,550.5225830078125
234,2020-01-08 00:00:00-05:00,549.2377319335938
235,2020-01-09 00:00:00-05:00,558.409912109375
236,2020-01-10 00:00:00-05:00,558.4662475585938
237,2020-01-13 00:00:00-05:00,567.000732421875
238,2020-01-14 00:00:00-05:00,571.1553955078125
239,2020-01-15 00:00:00-05:00,581.1530151367188
240,2020-01-16 00:00:00-05:00,593.9735107421875
241,2020-01-17 00:00:00-05:00,597.0965576171875
242,2020-01-21 00:00:00-05:00,603.7929077148438
243,2020-01-22 00:00:00-05:00,603.999267578125
244,2020-01-23 00:00:00-05:00,617.0447998046875
245,2020-01-24 00:00:00-05:00,615.9193725585938
246,2020-01-27 00:00:00-05:00,610.0859375
247,2020-01-28 00:00:00-05:00,616.9791870117188
248,2020-01-29 00:00:00-05:00,613.5278930664062
249,2020-01-30 00:00:00-05:00,613.2465209960938
250,2020-01-31 00:00:00-05:00,603.3052368164062
251,2020-02-03 00:00:00-05:00,611.7459716796875
252,2020-02-04 00:00:00-05:00,601.420166015625
253,2020-02-05 00:00:00-05:00,587.267822265625
254,2020-02-06 00:00:00-05:00,594.3956298828125
255,2020-02-07 00:00:00-05:00,595.1082763671875
256,2020-02-10 00:00:00-05:00,603.2958374023438
257,2020-02-11 00:00:00-05:00,609.6544799804688
258,2020-02-12 00:00:00-05:00,609.8233032226562
259,2020-02-13 00:00:00-05:00,614.9252319335938
260,2020-02-14 00:00:00-05:00,606.5595703125
261,2020-02-18 00:00:00-05:00,601.5983276367188
262,2020-02-19 00:00:00-05:00,601.4107666015625
263,2020-02-20 00:00:00-05:00,594.9020385742188
264,2020-02-21 00:00:00-05:00,590.7567138671875
265,2020-02-24 00:00:00-05:00,564.0746459960938
266,2020-02-25 00:00:00-05:00,536.6516723632812
267,2020-02-26 00:00:00-05:00,529.5426635742188
268,2020-02-27 00:00:00-05:00,515.3247680664062
269,2020-02-28 00:00:00-05:00,523.146484375
270,2020-03-02 00:00:00-05:00,533.1347045898438
271,2020-03-03 00:00:00-05:00,522.4525146484375
272,2020-03-04 00:00:00-05:00,541.556640625
273,2020-03-05 00:00:00-05:00,503.038818359375
274,2020-03-06 00:00:00-05:00,471.8456726074219
275,2020-03-09 00:00:00-04:00,423.921142578125
276,2020-03-10 00:00:00-04:00,464.8398742675781
277,2020-03-11 00:00:00-04:00,433.4497985839844
278,2020-03-12 00:00:00-04:00,381.717529296875
279,2020-03-13 00:00:00-04:00,388.94842529296875
280,2020-03-16 00:00:00-04:00,317.40863037109375
281,2020-03-17 00:00:00-04:00,295.4346008300781
282,2020-03-18 00:00:00-04:00,230.51608276367188
