,Date,EL
0,2019-02-04 00:00:00-05:00,129.6342010498047
1,2019-02-05 00:00:00-05:00,144.72349548339844
2,2019-02-06 00:00:00-05:00,143.03839111328125
3,2019-02-07 00:00:00-05:00,144.99951171875
4,2019-02-08 00:00:00-05:00,147.28439331054688
5,2019-02-11 00:00:00-05:00,146.31332397460938
6,2019-02-12 00:00:00-05:00,145.58030700683594
7,2019-02-13 00:00:00-05:00,147.74130249023438
8,2019-02-14 00:00:00-05:00,146.01820373535156
9,2019-02-15 00:00:00-05:00,147.56996154785156
10,2019-02-19 00:00:00-05:00,147.9412078857422
11,2019-02-20 00:00:00-05:00,149.15025329589844
12,2019-02-21 00:00:00-05:00,149.01698303222656
13,2019-02-22 00:00:00-05:00,151.3494110107422
14,2019-02-25 00:00:00-05:00,149.71194458007812
15,2019-02-26 00:00:00-05:00,148.9313201904297
16,2019-02-27 00:00:00-05:00,149.92416381835938
17,2019-02-28 00:00:00-05:00,149.81912231445312
18,2019-03-01 00:00:00-05:00,149.800048828125
19,2019-03-04 00:00:00-05:00,149.19862365722656
20,2019-03-05 00:00:00-05:00,148.90269470214844
21,2019-03-06 00:00:00-05:00,146.8979949951172
22,2019-03-07 00:00:00-05:00,148.34898376464844
23,2019-03-08 00:00:00-05:00,148.95997619628906
24,2019-03-11 00:00:00-04:00,150.36325073242188
25,2019-03-12 00:00:00-04:00,151.99566650390625
26,2019-03-13 00:00:00-04:00,152.2056884765625
27,2019-03-14 00:00:00-04:00,152.7307586669922
28,2019-03-15 00:00:00-04:00,155.35598754882812
29,2019-03-18 00:00:00-04:00,155.69961547851562
30,2019-03-19 00:00:00-04:00,153.40850830078125
31,2019-03-20 00:00:00-04:00,152.44435119628906
32,2019-03-21 00:00:00-04:00,154.4490509033203
33,2019-03-22 00:00:00-04:00,152.26295471191406
34,2019-03-25 00:00:00-04:00,152.72119140625
35,2019-03-26 00:00:00-04:00,154.46817016601562
36,2019-03-27 00:00:00-04:00,155.50868225097656
37,2019-03-28 00:00:00-04:00,156.95974731445312
38,2019-03-29 00:00:00-04:00,158.03848266601562
39,2019-04-01 00:00:00-04:00,157.29380798339844
40,2019-04-02 00:00:00-04:00,155.81414794921875
41,2019-04-03 00:00:00-04:00,156.82608032226562
42,2019-04-04 00:00:00-04:00,155.67100524902344
43,2019-04-05 00:00:00-04:00,156.0814971923828
44,2019-04-08 00:00:00-04:00,157.34158325195312
45,2019-04-09 00:00:00-04:00,156.4156036376953
46,2019-04-10 00:00:00-04:00,158.9644317626953
47,2019-04-11 00:00:00-04:00,160.4154815673828
48,2019-04-12 00:00:00-04:00,159.91908264160156
49,2019-04-15 00:00:00-04:00,159.5181427001953
50,2019-04-16 00:00:00-04:00,162.13380432128906
51,2019-04-17 00:00:00-04:00,161.83786010742188
