,Unnamed: 0,Date,PPG
0,0,2019-02-05,98.06534576416016
1,1,2019-02-06,97.23141479492188
2,2,2019-02-07,96.08587646484376
3,3,2019-02-08,96.0950698852539
4,4,2019-02-11,95.96676635742188
5,5,2019-02-12,98.6151885986328
6,6,2019-02-13,98.87179565429688
7,7,2019-02-14,98.2944564819336
8,8,2019-02-15,99.98980712890624
9,9,2019-02-19,99.64157104492188
10,10,2019-02-20,100.56715393066406
11,11,2019-02-21,101.36793518066406
12,12,2019-02-22,102.5737075805664
13,13,2019-02-25,103.38369750976562
14,14,2019-02-26,102.60133361816406
15,15,2019-02-27,103.2456512451172
16,16,2019-02-28,103.06153106689452
17,17,2019-03-01,103.78868865966795
18,18,2019-03-04,102.50007629394533
19,19,2019-03-05,101.93861389160156
20,20,2019-03-06,101.7545394897461
21,21,2019-03-07,101.10098266601562
22,22,2019-03-08,100.90771484375
23,23,2019-03-11,102.44486236572266
24,24,2019-03-12,102.3067855834961
25,25,2019-03-13,102.47246551513672
26,26,2019-03-14,100.95375061035156
27,27,2019-03-15,101.27588653564452
28,28,2019-03-18,102.12269592285156
29,29,2019-03-19,102.0766830444336
30,30,2019-03-20,102.00306701660156
31,31,2019-03-21,103.67823028564452
32,32,2019-03-22,98.20162963867188
33,33,2019-03-25,98.54217529296876
34,34,2019-03-26,99.73875427246094
35,35,2019-03-27,101.32191467285156
36,36,2019-03-28,102.83143615722656
37,37,2019-03-29,103.88993072509766
38,38,2019-04-01,105.1325454711914
39,39,2019-04-02,105.15093994140624
40,40,2019-04-03,105.46389770507812
41,41,2019-04-04,105.85047912597656
42,42,2019-04-05,105.81363677978516
43,43,2019-04-08,105.29821014404295
44,44,2019-04-09,105.18775177001952
45,45,2019-04-10,105.75843811035156
46,46,2019-04-11,105.4086685180664
47,47,2019-04-12,106.40274047851562
48,48,2019-04-15,107.20350646972656
49,49,2019-04-16,108.9799575805664
50,50,2019-04-17,108.0503158569336
51,51,2019-04-18,110.32381439208984
52,52,2019-04-22,107.91226959228516
53,53,2019-04-23,108.26203918457033
54,54,2019-04-24,107.36000061035156
55,55,2019-04-25,106.33831024169922
56,56,2019-04-26,108.4368896484375
