,Unnamed: 0,Date,BLK
0,0,2019-02-05,366.19384765625
1,1,2019-02-06,365.1677856445313
2,2,2019-02-07,363.9575805664063
3,3,2019-02-08,361.1073303222656
4,4,2019-02-11,361.9316101074219
5,5,2019-02-12,373.1658630371094
6,6,2019-02-13,374.86724853515625
7,7,2019-02-14,371.2978515625
8,8,2019-02-15,378.8136901855469
9,9,2019-02-19,378.0419006347656
10,10,2019-02-20,383.4353332519531
11,11,2019-02-21,381.5059509277344
12,12,2019-02-22,382.9968566894531
13,13,2019-02-25,384.9350280761719
14,14,2019-02-26,386.3381958007813
15,15,2019-02-27,387.6361389160156
16,16,2019-02-28,388.697265625
17,17,2019-03-01,389.17962646484375
18,18,2019-03-04,383.5318603515625
19,19,2019-03-05,382.197509765625
20,20,2019-03-06,379.846923828125
21,21,2019-03-07,373.9529724121094
22,22,2019-03-08,372.2917175292969
23,23,2019-03-11,378.2917175292969
24,24,2019-03-12,378.0620727539063
25,25,2019-03-13,381.59661865234375
26,26,2019-03-14,383.1783752441406
27,27,2019-03-15,383.1076354980469
28,28,2019-03-18,389.2314453125
29,29,2019-03-19,384.0090637207031
30,30,2019-03-20,379.9000549316406
31,31,2019-03-21,380.2887878417969
32,32,2019-03-22,368.8013305664063
33,33,2019-03-25,367.0781555175781
34,34,2019-03-26,373.4935607910156
35,35,2019-03-27,370.8160705566406
36,36,2019-03-28,375.5260009765625
37,37,2019-03-29,377.6466674804688
38,38,2019-04-01,387.3845520019531
39,39,2019-04-02,385.6702575683594
40,40,2019-04-03,387.9854431152344
41,41,2019-04-04,390.4331359863281
42,42,2019-04-05,393.3138427734375
43,43,2019-04-08,394.2328796386719
44,44,2019-04-09,388.639404296875
45,45,2019-04-10,391.24609375
46,46,2019-04-11,394.2063293457031
47,47,2019-04-12,401.4877014160156
48,48,2019-04-15,399.287353515625
49,49,2019-04-16,412.2593383789063
50,50,2019-04-17,413.0988464355469
51,51,2019-04-18,411.50830078125
52,52,2019-04-22,410.0325622558594
53,53,2019-04-23,418.8778991699219
54,54,2019-04-24,424.3036193847656
55,55,2019-04-25,419.24908447265625
56,56,2019-04-26,423.2520446777344
57,57,2019-04-29,424.0119018554688
58,58,2019-04-30,428.78363037109375
59,59,2019-05-01,423.3846435546875
60,60,2019-05-02,420.9809875488281
61,61,2019-05-03,426.3624267578125
62,62,2019-05-06,420.9456787109375
63,63,2019-05-07,409.8116455078125
64,64,2019-05-08,411.3138732910156
65,65,2019-05-09,410.2093811035156
66,66,2019-05-10,409.1313171386719
67,67,2019-05-13,391.2637634277344
68,68,2019-05-14,393.98541259765625
69,69,2019-05-15,392.6599426269531
70,70,2019-05-16,395.2047729492188
71,71,2019-05-17,390.1856994628906
72,72,2019-05-20,387.1194763183594
73,73,2019-05-21,390.2740783691406
74,74,2019-05-22,388.0473937988281
75,75,2019-05-23,383.4081726074219
76,76,2019-05-24,385.06048583984375
77,77,2019-05-28,379.3609619140625
78,78,2019-05-29,378.1415100097656
79,79,2019-05-30,376.9574890136719
80,80,2019-05-31,367.210693359375
81,81,2019-06-03,371.04583740234375
82,82,2019-06-04,383.9736633300781
83,83,2019-06-05,390.1352844238281
84,84,2019-06-06,391.0969543457031
85,85,2019-06-07,395.4421997070313
86,86,2019-06-10,395.1750793457031
87,87,2019-06-11,394.5606689453125
88,88,2019-06-12,397.34771728515625
89,89,2019-06-13,399.1551818847656
90,90,2019-06-14,397.98876953125
91,91,2019-06-17,391.889404296875
92,92,2019-06-18,400.0723571777344
93,93,2019-06-19,405.0943603515625
94,94,2019-06-20,414.5593872070313
95,95,2019-06-21,416.9278869628906
96,96,2019-06-24,412.6182556152344
97,97,2019-06-25,408.1306457519531
98,98,2019-06-26,410.4456787109375
99,99,2019-06-27,413.5799560546875
100,100,2019-06-28,417.8717346191406
101,101,2019-07-01,421.1039123535156
102,102,2019-07-02,418.3792724609375
103,103,2019-07-03,423.2587585449219
104,104,2019-07-05,426.2327575683594
105,105,2019-07-08,420.6676635742188
106,106,2019-07-09,421.89642333984375
107,107,2019-07-10,423.427978515625
108,108,2019-07-11,427.4615478515625
109,109,2019-07-12,429.5896606445313
110,110,2019-07-15,428.9129028320313
111,111,2019-07-16,424.87933349609375
112,112,2019-07-17,419.3854675292969
113,113,2019-07-18,423.07177734375
114,114,2019-07-19,421.3800048828125
115,115,2019-07-22,421.656005859375
116,116,2019-07-23,425.1375427246094
117,117,2019-07-24,424.8615112304688
118,118,2019-07-25,421.94091796875
119,119,2019-07-26,425.7697448730469
120,120,2019-07-29,425.8944396972656
121,121,2019-07-30,425.9834289550781
122,122,2019-07-31,416.4292602539063
123,123,2019-08-01,402.4231262207031
124,124,2019-08-02,399.1017761230469
125,125,2019-08-05,384.0538330078125
126,126,2019-08-06,387.9626770019531
127,127,2019-08-07,383.2257690429688
128,128,2019-08-08,389.6633911132813
129,129,2019-08-09,379.610595703125
130,130,2019-08-12,370.804443359375
131,131,2019-08-13,378.7201843261719
132,132,2019-08-14,366.28997802734375
133,133,2019-08-15,364.4468383789063
134,134,2019-08-16,373.4934997558594
135,135,2019-08-19,378.925048828125
136,136,2019-08-20,372.4517211914063
137,137,2019-08-21,374.8023681640625
138,138,2019-08-22,373.0839538574219
139,139,2019-08-23,362.6214904785156
140,140,2019-08-26,361.0366516113281
141,141,2019-08-27,365.5242614746094
142,142,2019-08-28,368.4892578125
