,Unnamed: 0,Date,SYY
0,0,2019-02-05,57.43271255493164
1,1,2019-02-06,57.415138244628906
2,2,2019-02-07,57.22179412841797
3,3,2019-02-08,58.17973327636719
4,4,2019-02-11,58.25884246826172
5,5,2019-02-12,58.8300895690918
6,6,2019-02-13,58.4697494506836
7,7,2019-02-14,58.4961166381836
8,8,2019-02-15,59.35738754272461
9,9,2019-02-19,58.89160537719727
10,10,2019-02-20,59.19041442871094
11,11,2019-02-21,59.0937385559082
12,12,2019-02-22,59.17283248901367
13,13,2019-02-25,59.11132049560547
14,14,2019-02-26,59.2431526184082
15,15,2019-02-27,58.979488372802734
16,16,2019-02-28,59.36617660522461
17,17,2019-03-01,59.392555236816406
18,18,2019-03-04,58.979488372802734
19,19,2019-03-05,58.51370620727539
20,20,2019-03-06,58.25004959106445
21,21,2019-03-07,57.88972473144531
22,22,2019-03-08,57.81062316894531
23,23,2019-03-11,58.40824890136719
24,24,2019-03-12,58.16216659545898
25,25,2019-03-13,58.399444580078125
26,26,2019-03-14,58.10943984985352
27,27,2019-03-15,58.241249084472656
28,28,2019-03-18,58.40824890136719
29,29,2019-03-19,58.16216659545898
30,30,2019-03-20,57.48545455932617
31,31,2019-03-21,57.92488479614258
32,32,2019-03-22,57.61728286743164
33,33,2019-03-25,58.17973327636719
34,34,2019-03-26,58.25004959106445
35,35,2019-03-27,57.68758773803711
36,36,2019-03-28,58.23247146606445
37,37,2019-03-29,58.6718978881836
38,38,2019-04-01,58.68947219848633
39,39,2019-04-02,58.29398727416992
40,40,2019-04-03,58.417030334472656
41,41,2019-04-04,59.1065673828125
42,42,2019-04-05,59.35411834716797
43,43,2019-04-08,59.4425048828125
44,44,2019-04-09,59.19496536254883
45,45,2019-04-10,59.60163116455078
46,46,2019-04-11,60.220458984375
47,47,2019-04-12,61.00726318359375
48,48,2019-04-15,61.55534362792969
49,49,2019-04-16,61.970848083496094
50,50,2019-04-17,62.44821548461914
51,51,2019-04-18,62.75764465332031
52,52,2019-04-22,62.39518737792969
53,53,2019-04-23,62.23604965209961
54,54,2019-04-24,61.9443244934082
55,55,2019-04-25,61.32549285888672
56,56,2019-04-26,61.0868034362793
57,57,2019-04-29,61.634910583496094
58,58,2019-04-30,62.20953750610352
59,59,2019-05-01,61.855918884277344
60,60,2019-05-02,62.61619186401367
61,61,2019-05-03,62.34214401245117
62,62,2019-05-06,64.49034118652344
63,63,2019-05-07,64.4461441040039
64,64,2019-05-08,64.51687622070312
65,65,2019-05-09,65.02078247070312
66,66,2019-05-10,65.40974426269531
67,67,2019-05-13,64.86165618896484
68,68,2019-05-14,65.09147644042969
69,69,2019-05-15,65.3301773071289
70,70,2019-05-16,65.98436737060547
71,71,2019-05-17,66.2407455444336
72,72,2019-05-20,66.26725006103516
73,73,2019-05-21,66.73580169677734
74,74,2019-05-22,66.66507720947266
75,75,2019-05-23,66.01972961425781
76,76,2019-05-24,66.3468246459961
77,77,2019-05-28,65.9048080444336
78,78,2019-05-29,65.76334381103516
79,79,2019-05-30,65.87828826904297
80,80,2019-05-31,60.83927536010742
81,81,2019-06-03,60.96305084228516
82,82,2019-06-04,61.35201644897461
83,83,2019-06-05,62.62502670288086
84,84,2019-06-06,62.722267150878906
85,85,2019-06-07,63.208492279052734
86,86,2019-06-10,63.40298080444336
87,87,2019-06-11,64.3223876953125
88,88,2019-06-12,64.51687622070312
89,89,2019-06-13,64.11021423339844
90,90,2019-06-14,63.87153244018555
91,91,2019-06-17,63.50906753540039
92,92,2019-06-18,63.36763000488281
93,93,2019-06-19,62.84604263305664
94,94,2019-06-20,62.57198333740234
95,95,2019-06-21,62.457069396972656
96,96,2019-06-24,62.86371994018555
97,97,2019-06-25,63.38529968261719
98,98,2019-06-26,62.1564826965332
99,99,2019-06-27,62.27141571044922
100,100,2019-06-28,62.518951416015625
101,101,2019-07-01,62.48360061645508
102,102,2019-07-02,63.13777160644531
103,103,2019-07-03,63.77778625488281
104,104,2019-07-05,63.77778625488281
105,105,2019-07-08,63.999996185302734
106,106,2019-07-09,63.54667282104492
107,107,2019-07-10,64.0533447265625
108,108,2019-07-11,63.982215881347656
109,109,2019-07-12,64.5244369506836
110,110,2019-07-15,64.74666595458984
111,111,2019-07-16,64.57777404785156
112,112,2019-07-17,63.77778625488281
113,113,2019-07-18,63.893314361572266
114,114,2019-07-19,62.98664855957031
115,115,2019-07-22,62.44443893432617
116,116,2019-07-23,62.373321533203125
117,117,2019-07-24,62.328895568847656
118,118,2019-07-25,62.33778381347656
119,119,2019-07-26,63.01333618164063
120,120,2019-07-29,62.17777633666992
121,121,2019-07-30,61.89332580566406
122,122,2019-07-31,60.95109939575195
123,123,2019-08-01,61.27109909057617
124,124,2019-08-02,61.24444580078125
125,125,2019-08-05,59.68001556396485
126,126,2019-08-06,60.9688835144043
127,127,2019-08-07,62.106666564941406
128,128,2019-08-08,62.782203674316406
129,129,2019-08-09,62.213321685791016
130,130,2019-08-12,64.16889190673828
131,131,2019-08-13,65.2088851928711
132,132,2019-08-14,64.24888610839844
133,133,2019-08-15,64.22220611572266
134,134,2019-08-16,64.85333251953125
135,135,2019-08-19,65.4222183227539
136,136,2019-08-20,64.71112060546875
137,137,2019-08-21,64.22220611572266
138,138,2019-08-22,65.14668273925781
139,139,2019-08-23,64.71112060546875
140,140,2019-08-26,65.20000457763672
141,141,2019-08-27,65.66222381591797
142,142,2019-08-28,66.14222717285156
143,143,2019-08-29,66.21333312988281
144,144,2019-08-30,66.07111358642578
145,145,2019-09-03,66.195556640625
