,Date,O
103,2019-07-02 00:00:00-04:00,54.36348342895508
104,2019-07-03 00:00:00-04:00,55.59077835083008
105,2019-07-05 00:00:00-04:00,55.06366729736328
106,2019-07-08 00:00:00-04:00,55.158077239990234
107,2019-07-09 00:00:00-04:00,55.6301155090332
108,2019-07-10 00:00:00-04:00,56.04709243774414
109,2019-07-11 00:00:00-04:00,55.59077835083008
110,2019-07-12 00:00:00-04:00,55.64585494995117
111,2019-07-15 00:00:00-04:00,55.37837219238281
112,2019-07-16 00:00:00-04:00,54.96137237548828
113,2019-07-17 00:00:00-04:00,55.008602142333984
114,2019-07-18 00:00:00-04:00,55.15020751953125
115,2019-07-19 00:00:00-04:00,54.08024597167969
116,2019-07-22 00:00:00-04:00,53.89142608642578
117,2019-07-23 00:00:00-04:00,54.7568244934082
118,2019-07-24 00:00:00-04:00,54.52079772949219
119,2019-07-25 00:00:00-04:00,54.190372467041016
120,2019-07-26 00:00:00-04:00,54.70963668823242
121,2019-07-29 00:00:00-04:00,55.21315002441406
122,2019-07-30 00:00:00-04:00,55.08726501464844
123,2019-07-31 00:00:00-04:00,54.627113342285156
124,2019-08-01 00:00:00-04:00,54.99019241333008
125,2019-08-02 00:00:00-04:00,55.290122985839844
126,2019-08-05 00:00:00-04:00,54.4297981262207
127,2019-08-06 00:00:00-04:00,55.14805221557617
128,2019-08-07 00:00:00-04:00,56.29253387451172
129,2019-08-08 00:00:00-04:00,56.82135772705078
130,2019-08-09 00:00:00-04:00,57.36595916748047
131,2019-08-12 00:00:00-04:00,57.41334915161133
132,2019-08-13 00:00:00-04:00,57.05024337768555
133,2019-08-14 00:00:00-04:00,56.64771270751953
134,2019-08-15 00:00:00-04:00,56.9949951171875
135,2019-08-16 00:00:00-04:00,57.46855163574219
136,2019-08-19 00:00:00-04:00,57.92635726928711
137,2019-08-20 00:00:00-04:00,57.23966979980469
138,2019-08-21 00:00:00-04:00,57.3422966003418
139,2019-08-22 00:00:00-04:00,57.67380142211914
140,2019-08-23 00:00:00-04:00,57.22389602661133
141,2019-08-26 00:00:00-04:00,57.7606086730957
142,2019-08-27 00:00:00-04:00,57.721168518066406
143,2019-08-28 00:00:00-04:00,57.92635726928711
144,2019-08-29 00:00:00-04:00,58.35260772705078
145,2019-08-30 00:00:00-04:00,58.43730163574219
146,2019-09-03 00:00:00-04:00,59.74363708496094
147,2019-09-04 00:00:00-04:00,60.55910873413086
148,2019-09-05 00:00:00-04:00,59.37943649291992
149,2019-09-06 00:00:00-04:00,60.131591796875
150,2019-09-09 00:00:00-04:00,59.577354431152344
151,2019-09-10 00:00:00-04:00,58.35020065307617
