,Unnamed: 0,Date,PODD
0,0,2019-02-05,81.72000122070312
1,1,2019-02-06,81.43000030517578
2,2,2019-02-07,81.31999969482422
3,3,2019-02-08,81.97000122070312
4,4,2019-02-11,82.8499984741211
5,5,2019-02-12,84.3499984741211
6,6,2019-02-13,84.95999908447266
7,7,2019-02-14,84.83000183105469
8,8,2019-02-15,88.45999908447266
9,9,2019-02-19,87.62999725341797
10,10,2019-02-20,85.83999633789062
11,11,2019-02-21,85.2300033569336
12,12,2019-02-22,87.5999984741211
13,13,2019-02-25,89.91999816894531
14,14,2019-02-26,92.11000061035156
15,15,2019-02-27,93.5199966430664
16,16,2019-02-28,93.91000366210938
17,17,2019-03-01,94.3499984741211
18,18,2019-03-04,92.51000213623048
19,19,2019-03-05,93.86000061035156
20,20,2019-03-06,92.12999725341795
21,21,2019-03-07,93.08000183105467
22,22,2019-03-08,92.02999877929688
23,23,2019-03-11,93.97000122070312
24,24,2019-03-12,95.87999725341795
25,25,2019-03-13,95.7300033569336
26,26,2019-03-14,95.95999908447266
27,27,2019-03-15,98.04000091552734
28,28,2019-03-18,97.47000122070312
29,29,2019-03-19,98.83000183105467
30,30,2019-03-20,99.47000122070312
31,31,2019-03-21,101.87000274658205
32,32,2019-03-22,97.83999633789062
33,33,2019-03-25,97.18000030517578
34,34,2019-03-26,96.76000213623048
35,35,2019-03-27,93.38999938964844
36,36,2019-03-28,94.04000091552734
37,37,2019-03-29,95.08999633789062
38,38,2019-04-01,95.43000030517578
39,39,2019-04-02,95.8000030517578
40,40,2019-04-03,96.2300033569336
41,41,2019-04-04,95.75
42,42,2019-04-05,95.8499984741211
43,43,2019-04-08,94.62000274658205
44,44,2019-04-09,93.9000015258789
45,45,2019-04-10,93.76000213623048
46,46,2019-04-11,93.48999786376952
47,47,2019-04-12,93.3499984741211
48,48,2019-04-15,91.43000030517578
49,49,2019-04-16,89.48999786376953
50,50,2019-04-17,82.72000122070312
51,51,2019-04-18,82.12999725341797
52,52,2019-04-22,82.43000030517578
53,53,2019-04-23,83.20999908447266
54,54,2019-04-24,83.31999969482422
55,55,2019-04-25,83.19999694824219
56,56,2019-04-26,85.12999725341797
57,57,2019-04-29,86.12000274658203
58,58,2019-04-30,86.25
59,59,2019-05-01,84.83000183105469
60,60,2019-05-02,86.08000183105469
61,61,2019-05-03,96.66999816894533
62,62,2019-05-06,101.87999725341795
63,63,2019-05-07,102.55999755859376
64,64,2019-05-08,102.80999755859376
65,65,2019-05-09,104.87999725341795
66,66,2019-05-10,103.18000030517578
67,67,2019-05-13,101.4000015258789
68,68,2019-05-14,103.3499984741211
69,69,2019-05-15,104.08999633789062
70,70,2019-05-16,106.1999969482422
71,71,2019-05-17,103.9000015258789
72,72,2019-05-20,104.08000183105467
73,73,2019-05-21,104.73999786376952
74,74,2019-05-22,106.9499969482422
75,75,2019-05-23,105.56999969482422
76,76,2019-05-24,108.56999969482422
77,77,2019-05-28,109.4499969482422
78,78,2019-05-29,107.1500015258789
79,79,2019-05-30,110.04000091552734
80,80,2019-05-31,109.79000091552734
81,81,2019-06-03,109.31999969482422
82,82,2019-06-04,111.79000091552734
83,83,2019-06-05,111.9800033569336
84,84,2019-06-06,112.6999969482422
85,85,2019-06-07,111.41000366210938
86,86,2019-06-10,112.4000015258789
87,87,2019-06-11,109.7699966430664
88,88,2019-06-12,115.8499984741211
89,89,2019-06-13,116.88999938964844
90,90,2019-06-14,115.08999633789062
91,91,2019-06-17,116.43000030517578
92,92,2019-06-18,118.5999984741211
93,93,2019-06-19,120.7300033569336
94,94,2019-06-20,119.5500030517578
95,95,2019-06-21,119.7699966430664
96,96,2019-06-24,117.72000122070312
97,97,2019-06-25,116.05999755859376
98,98,2019-06-26,115.29000091552734
99,99,2019-06-27,116.61000061035156
100,100,2019-06-28,119.37999725341795
101,101,2019-07-01,118.5
102,102,2019-07-02,119.0999984741211
103,103,2019-07-03,119.58999633789062
104,104,2019-07-05,119.8499984741211
105,105,2019-07-08,117.3499984741211
106,106,2019-07-09,118.94000244140624
107,107,2019-07-10,121.91999816894533
108,108,2019-07-11,123.8000030517578
109,109,2019-07-12,120.25
110,110,2019-07-15,120.6999969482422
111,111,2019-07-16,119.68000030517578
112,112,2019-07-17,121.25
113,113,2019-07-18,122.31999969482422
114,114,2019-07-19,121.16999816894533
115,115,2019-07-22,120.87000274658205
116,116,2019-07-23,121.75
117,117,2019-07-24,123.56999969482422
118,118,2019-07-25,123.33999633789062
119,119,2019-07-26,123.98999786376952
120,120,2019-07-29,125.11000061035156
121,121,2019-07-30,125.83000183105467
122,122,2019-07-31,122.94000244140624
123,123,2019-08-01,122.55999755859376
124,124,2019-08-02,120.88999938964844
125,125,2019-08-05,117.93000030517578
126,126,2019-08-06,143.1300048828125
127,127,2019-08-07,142.33999633789062
128,128,2019-08-08,145.8000030517578
129,129,2019-08-09,152.30999755859375
130,130,2019-08-12,151.0500030517578
131,131,2019-08-13,152.77000427246094
132,132,2019-08-14,146.38999938964844
133,133,2019-08-15,151.41000366210938
134,134,2019-08-16,150.24000549316406
135,135,2019-08-19,152.5399932861328
136,136,2019-08-20,152.42999267578125
137,137,2019-08-21,153.97999572753906
138,138,2019-08-22,155.19000244140625
139,139,2019-08-23,154.08999633789062
140,140,2019-08-26,154.36000061035156
141,141,2019-08-27,151.4499969482422
142,142,2019-08-28,150.33999633789062
143,143,2019-08-29,152.50999450683594
144,144,2019-08-30,154.1699981689453
145,145,2019-09-03,167.9499969482422
146,146,2019-09-04,157.1199951171875
