,Unnamed: 0.1,Unnamed: 0,Date,AEE,AEE_6m,AEE_12m
0,0,0,2019-02-05,60.14073181152344,,
1,1,1,2019-02-06,60.18441009521485,,
2,2,2,2019-02-07,60.90953826904297,,
3,3,3,2019-02-08,61.56474685668945,,
4,4,4,2019-02-11,61.818119049072266,,
5,5,5,2019-02-12,61.32013702392578,,
6,6,6,2019-02-13,61.20655822753906,60.14073181152344,
7,7,7,2019-02-14,60.30672836303711,60.18441009521485,
8,8,8,2019-02-15,60.87457656860352,60.90953826904297,
9,9,9,2019-02-19,61.23276901245117,61.56474685668945,
10,10,10,2019-02-20,61.50358963012695,61.818119049072266,
11,11,11,2019-02-21,62.20249557495117,61.32013702392578,
12,12,12,2019-02-22,63.05866622924805,61.20655822753906,60.14073181152344
13,13,13,2019-02-25,61.92292785644531,60.30672836303711,60.18441009521485
14,14,14,2019-02-26,61.34634017944336,60.87457656860352,60.90953826904297
15,15,15,2019-02-27,61.52106094360352,61.23276901245117,61.56474685668945
16,16,16,2019-02-28,62.237449645996094,61.50358963012695,61.818119049072266
17,17,17,2019-03-01,61.96660614013672,62.20249557495117,61.32013702392578
18,18,18,2019-03-04,62.28987884521485,63.05866622924805,61.20655822753906
19,19,19,2019-03-05,62.08892822265625,61.92292785644531,60.30672836303711
20,20,20,2019-03-06,62.08892822265625,61.34634017944336,60.87457656860352
21,21,21,2019-03-07,62.219974517822266,61.52106094360352,61.23276901245117
22,22,22,2019-03-08,62.63932037353516,62.237449645996094,61.50358963012695
23,23,23,2019-03-11,63.399375915527344,61.96660614013672,62.20249557495117
24,24,24,2019-03-12,63.64120864868164,62.28987884521485,63.05866622924805
25,25,25,2019-03-13,64.14244842529297,62.08892822265625,61.92292785644531
26,26,26,2019-03-14,63.85226440429688,62.08892822265625,61.34634017944336
27,27,27,2019-03-15,64.23039245605469,62.219974517822266,61.52106094360352
28,28,28,2019-03-18,63.76431655883789,62.63932037353516,62.237449645996094
29,29,29,2019-03-19,63.315826416015625,63.399375915527344,61.96660614013672
30,30,30,2019-03-20,63.518104553222656,63.64120864868164,62.28987884521485
31,31,31,2019-03-21,64.4238510131836,64.14244842529297,62.08892822265625
32,32,32,2019-03-22,64.85474395751953,63.85226440429688,62.08892822265625
33,33,33,2019-03-25,65.33841705322266,64.23039245605469,62.219974517822266
34,34,34,2019-03-26,65.73413848876953,63.76431655883789,62.63932037353516
35,35,35,2019-03-27,65.4175796508789,63.315826416015625,63.399375915527344
36,36,36,2019-03-28,64.59973907470703,63.518104553222656,63.64120864868164
37,37,37,2019-03-29,64.67888641357422,64.4238510131836,64.14244842529297
38,38,38,2019-04-01,64.01055145263672,64.85474395751953,63.85226440429688
39,39,39,2019-04-02,63.80827331542969,65.33841705322266,64.23039245605469
40,40,40,2019-04-03,63.526893615722656,65.73413848876953,63.76431655883789
41,41,41,2019-04-04,62.92889022827149,65.4175796508789,63.315826416015625
42,42,42,2019-04-05,63.658782958984375,64.59973907470703,63.518104553222656
43,43,43,2019-04-08,63.0256233215332,64.67888641357422,64.4238510131836
44,44,44,2019-04-09,63.33341979980469,64.01055145263672,64.85474395751953
45,45,45,2019-04-10,62.87614822387695,63.80827331542969,65.33841705322266
46,46,46,2019-04-11,63.17511749267578,63.526893615722656,65.73413848876953
47,47,47,2019-04-12,63.298248291015625,62.92889022827149,65.4175796508789
48,48,48,2019-04-15,63.342227935791016,63.658782958984375,64.59973907470703
49,49,49,2019-04-16,62.30455017089844,63.0256233215332,64.67888641357422
50,50,50,2019-04-17,62.0934944152832,63.33341979980469,64.01055145263672
51,51,51,2019-04-18,61.97916793823242,62.87614822387695,63.80827331542969
52,52,52,2019-04-22,62.01433944702149,63.17511749267578,63.526893615722656
53,53,53,2019-04-23,62.568359375,63.298248291015625,62.92889022827149
54,54,54,2019-04-24,63.30702972412109,63.342227935791016,63.658782958984375
55,55,55,2019-04-25,63.544471740722656,62.30455017089844,63.0256233215332
56,56,56,2019-04-26,63.47412490844727,62.0934944152832,63.33341979980469
57,57,57,2019-04-29,62.753021240234375,61.97916793823242,62.87614822387695
58,58,58,2019-04-30,63.99294662475586,62.01433944702149,63.17511749267578
59,59,59,2019-05-01,63.526893615722656,62.568359375,63.298248291015625
60,60,60,2019-05-02,63.61481857299805,63.30702972412109,63.342227935791016
61,61,61,2019-05-03,64.1512451171875,63.544471740722656,62.30455017089844
62,62,62,2019-05-06,63.975364685058594,63.47412490844727,62.0934944152832
63,63,63,2019-05-07,63.93138885498047,62.753021240234375,61.97916793823242
64,64,64,2019-05-08,62.753021240234375,63.99294662475586,62.01433944702149
65,65,65,2019-05-09,63.22790145874024,63.526893615722656,62.568359375
66,66,66,2019-05-10,64.45024871826172,63.61481857299805,63.30702972412109
67,67,67,2019-05-13,65.60223388671875,64.1512451171875,63.544471740722656
68,68,68,2019-05-14,64.94268798828125,63.975364685058594,63.47412490844727
69,69,69,2019-05-15,64.828369140625,63.93138885498047,62.753021240234375
70,70,70,2019-05-16,65.28565216064453,62.753021240234375,63.99294662475586
71,71,71,2019-05-17,65.698974609375,63.22790145874024,63.526893615722656
72,72,72,2019-05-20,65.68138122558594,64.45024871826172,63.61481857299805
73,73,73,2019-05-21,65.32962799072266,65.60223388671875,64.1512451171875
74,74,74,2019-05-22,65.83969116210938,64.94268798828125,63.975364685058594
75,75,75,2019-05-23,66.5783462524414,64.828369140625,63.93138885498047
76,76,76,2019-05-24,66.28816223144531,65.28565216064453,62.753021240234375
77,77,77,2019-05-28,65.35600280761719,65.698974609375,63.22790145874024
