,Unnamed: 0,Date,HES
0,0,2019-02-05,50.351356506347656
1,1,2019-02-06,50.84181594848633
2,2,2019-02-07,48.49129104614258
3,3,2019-02-08,48.55605697631836
4,4,2019-02-11,49.583255767822266
5,5,2019-02-12,51.02688217163086
6,6,2019-02-13,51.82273864746094
7,7,2019-02-14,52.81292343139648
8,8,2019-02-15,53.28488159179688
9,9,2019-02-19,53.29413986206055
10,10,2019-02-20,54.26580429077149
11,11,2019-02-21,53.3774299621582
12,12,2019-02-22,52.89622116088867
13,13,2019-02-25,53.24787139892578
14,14,2019-02-26,53.38667678833008
15,15,2019-02-27,53.80311584472656
16,16,2019-02-28,53.53474426269531
17,17,2019-03-01,54.811805725097656
18,18,2019-03-04,54.90434646606445
19,19,2019-03-05,54.73777389526367
20,20,2019-03-06,52.50754165649414
21,21,2019-03-07,52.387237548828125
22,22,2019-03-08,50.8973388671875
23,23,2019-03-11,51.757957458496094
24,24,2019-03-12,52.942481994628906
25,25,2019-03-13,53.72908020019531
26,26,2019-03-14,53.63653564453125
27,27,2019-03-15,54.138427734375
28,28,2019-03-18,54.95630645751953
29,29,2019-03-19,53.89677047729492
30,30,2019-03-20,55.71843338012695
31,31,2019-03-21,56.508426666259766
32,32,2019-03-22,54.60313034057617
33,33,2019-03-25,55.33737182617188
34,34,2019-03-26,56.7779541015625
35,35,2019-03-27,56.00653839111328
36,36,2019-03-28,56.657135009765625
37,37,2019-03-29,55.97866439819336
38,38,2019-04-01,56.54560470581055
39,39,2019-04-02,56.09018325805664
40,40,2019-04-03,55.35596084594727
41,41,2019-04-04,56.46197128295898
42,42,2019-04-05,58.55313873291016
43,43,2019-04-08,58.62749862670898
44,44,2019-04-09,58.12561798095703
45,45,2019-04-10,58.887733459472656
46,46,2019-04-11,58.82267379760742
47,47,2019-04-12,61.434326171875
48,48,2019-04-15,60.913848876953125
49,49,2019-04-16,61.629512786865234
50,50,2019-04-17,61.26702880859375
51,51,2019-04-18,61.21125793457031
52,52,2019-04-22,63.08869171142578
53,53,2019-04-23,62.69832611083984
54,54,2019-04-24,61.20196533203125
55,55,2019-04-25,59.64984893798828
56,56,2019-04-26,59.3431396484375
57,57,2019-04-29,59.408199310302734
58,58,2019-04-30,59.59409713745117
59,59,2019-05-01,58.6553840637207
60,60,2019-05-02,57.55866622924805
61,61,2019-05-03,58.76691818237305
