,Unnamed: 0.1,Unnamed: 0,Date,NDAQ,NDAQ_6m,NDAQ_12m
0,0,0,2019-02-05,26.775522232055664,,
1,1,1,2019-02-06,26.812536239624023,,
2,2,2,2019-02-07,26.77860450744629,,
3,3,3,2019-02-08,26.85263061523437,,
4,4,4,2019-02-11,26.741594314575195,,
5,5,5,2019-02-12,27.009933471679688,,
6,6,6,2019-02-13,27.13947868347168,26.775522232055664,
7,7,7,2019-02-14,26.88347625732422,26.812536239624023,
8,8,8,2019-02-15,27.068538665771484,26.77860450744629,
9,9,9,2019-02-19,27.087047576904297,26.85263061523437,
10,10,10,2019-02-20,27.167240142822266,26.741594314575195,
11,11,11,2019-02-21,27.16415023803711,27.009933471679688,
12,12,12,2019-02-22,27.46333885192871,27.13947868347168,26.775522232055664
13,13,13,2019-02-25,27.802621841430664,26.88347625732422,26.812536239624023
14,14,14,2019-02-26,28.098722457885746,27.068538665771484,26.77860450744629
15,15,15,2019-02-27,28.00619125366211,27.087047576904297,26.85263061523437
16,16,16,2019-02-28,28.243688583374023,27.167240142822266,26.741594314575195
17,17,17,2019-03-01,28.373231887817383,27.16415023803711,27.009933471679688
18,18,18,2019-03-04,27.80570602416992,27.46333885192871,27.13947868347168
19,19,19,2019-03-05,27.37080955505371,27.802621841430664,26.88347625732422
20,20,20,2019-03-06,27.04077911376953,28.098722457885746,27.068538665771484
21,21,21,2019-03-07,26.516433715820312,28.00619125366211,27.087047576904297
22,22,22,2019-03-08,25.736082077026367,28.243688583374023,27.167240142822266
23,23,23,2019-03-11,25.914979934692383,28.373231887817383,27.16415023803711
24,24,24,2019-03-12,25.8532943725586,27.80570602416992,27.46333885192871
25,25,25,2019-03-13,26.232669830322266,27.37080955505371,27.802621841430664
26,26,26,2019-03-14,26.04044914245605,27.04077911376953,28.098722457885746
27,27,27,2019-03-15,25.904027938842773,26.516433715820312,28.00619125366211
28,28,28,2019-03-18,26.117956161499023,25.736082077026367,28.243688583374023
29,29,29,2019-03-19,26.086950302124023,25.914979934692383,28.373231887817383
30,30,30,2019-03-20,25.845115661621094,25.8532943725586,27.80570602416992
31,31,31,2019-03-21,26.15205955505371,26.232669830322266,27.37080955505371
32,32,32,2019-03-22,26.009441375732425,26.04044914245605,27.04077911376953
33,33,33,2019-03-25,26.32567977905273,25.904027938842773,26.516433715820312
34,34,34,2019-03-26,26.60782241821289,26.117956161499023,25.736082077026367
35,35,35,2019-03-27,26.694637298583984,26.086950302124023,25.914979934692383
36,36,36,2019-03-28,26.8930606842041,25.845115661621094,25.8532943725586
37,37,37,2019-03-29,27.12559700012207,26.15205955505371,26.232669830322266
38,38,38,2019-04-01,27.40772819519043,26.009441375732425,26.04044914245605
39,39,39,2019-04-02,27.596853256225582,26.32567977905273,25.904027938842773
40,40,40,2019-04-03,27.686767578125,26.60782241821289,26.117956161499023
41,41,41,2019-04-04,27.649560928344727,26.694637298583984,26.086950302124023
42,42,42,2019-04-05,27.466636657714844,26.8930606842041,25.845115661621094
43,43,43,2019-04-08,27.519344329833984,27.12559700012207,26.15205955505371
44,44,44,2019-04-09,27.190698623657227,27.40772819519043,26.009441375732425
45,45,45,2019-04-10,27.12869644165039,27.596853256225582,26.32567977905273
46,46,46,2019-04-11,26.982973098754883,27.686767578125,26.60782241821289
47,47,47,2019-04-12,27.221704483032227,27.649560928344727,26.694637298583984
48,48,48,2019-04-15,27.429431915283203,27.466636657714844,26.8930606842041
49,49,49,2019-04-16,27.82628631591797,27.519344329833984,27.12559700012207
50,50,50,2019-04-17,27.96581077575684,27.190698623657227,27.40772819519043
51,51,51,2019-04-18,27.900697708129883,27.12869644165039,27.596853256225582
52,52,52,2019-04-22,27.82008552551269,26.982973098754883,27.686767578125
53,53,53,2019-04-23,27.7952823638916,27.221704483032227,27.649560928344727
54,54,54,2019-04-24,27.649560928344727,27.429431915283203,27.466636657714844
55,55,55,2019-04-25,27.730175018310547,27.82628631591797,27.519344329833984
56,56,56,2019-04-26,27.86039161682129,27.96581077575684,27.190698623657227
57,57,57,2019-04-29,28.353361129760746,27.900697708129883,27.12869644165039
58,58,58,2019-04-30,28.58589172363281,27.82008552551269,26.982973098754883
59,59,59,2019-05-01,28.623096466064453,27.7952823638916,27.221704483032227
60,60,60,2019-05-02,28.6044921875,27.649560928344727,27.429431915283203
61,61,61,2019-05-03,28.56108665466309,27.730175018310547,27.82628631591797
62,62,62,2019-05-06,28.750215530395508,27.86039161682129,27.96581077575684
63,63,63,2019-05-07,28.18283462524414,28.353361129760746,27.900697708129883
64,64,64,2019-05-08,28.21074104309082,28.58589172363281,27.82008552551269
65,65,65,2019-05-09,28.2634506225586,28.623096466064453,27.7952823638916
66,66,66,2019-05-10,28.682004928588867,28.6044921875,27.649560928344727
67,67,67,2019-05-13,28.18283462524414,28.56108665466309,27.730175018310547
68,68,68,2019-05-14,28.266544342041016,28.750215530395508,27.86039161682129
69,69,69,2019-05-15,28.13943290710449,28.18283462524414,28.353361129760746
70,70,70,2019-05-16,28.192136764526367,28.21074104309082,28.58589172363281
71,71,71,2019-05-17,27.996814727783203,28.2634506225586,28.623096466064453
72,72,72,2019-05-20,27.984411239624023,28.682004928588867,28.6044921875
