,Unnamed: 0,Date,MSI
0,0,2019-02-05,111.08265686035156
1,1,2019-02-06,112.0596923828125
2,2,2019-02-07,110.37549591064452
3,3,2019-02-08,125.9613037109375
4,4,2019-02-11,124.85404205322266
5,5,2019-02-12,127.68273162841795
6,6,2019-02-13,128.0735321044922
7,7,2019-02-14,127.6548309326172
8,8,2019-02-15,128.9947052001953
9,9,2019-02-19,129.25526428222656
10,10,2019-02-20,129.53443908691406
11,11,2019-02-21,128.7714080810547
12,12,2019-02-22,130.25088500976562
13,13,2019-02-25,131.39541625976562
14,14,2019-02-26,131.79550170898438
15,15,2019-02-27,133.05169677734375
16,16,2019-02-28,133.1726531982422
17,17,2019-03-01,133.62857055664062
18,18,2019-03-04,132.13050842285156
19,19,2019-03-05,131.75828552246094
20,20,2019-03-06,130.53005981445312
21,21,2019-03-07,129.7949676513672
22,22,2019-03-08,129.19943237304688
23,23,2019-03-11,131.6187286376953
24,24,2019-03-12,130.4556121826172
25,25,2019-03-13,131.2093048095703
26,26,2019-03-14,130.88230895996094
27,27,2019-03-15,131.39617919921875
28,28,2019-03-18,131.26535034179688
29,29,2019-03-19,131.22799682617188
30,30,2019-03-20,129.58367919921875
31,31,2019-03-21,131.39617919921875
32,32,2019-03-22,129.52761840820312
33,33,2019-03-25,129.52761840820312
34,34,2019-03-26,131.17193603515625
35,35,2019-03-27,130.20960998535156
36,36,2019-03-28,130.04147338867188
37,37,2019-03-29,131.1906280517578
38,38,2019-04-01,132.03147888183594
39,39,2019-04-02,132.3584442138672
40,40,2019-04-03,132.93772888183594
41,41,2019-04-04,131.43356323242188
42,42,2019-04-05,131.4148712158203
43,43,2019-04-08,131.38685607910156
44,44,2019-04-09,131.5269317626953
45,45,2019-04-10,133.3207550048828
46,46,2019-04-11,133.64772033691406
47,47,2019-04-12,133.81593322753906
48,48,2019-04-15,134.1336212158203
49,49,2019-04-16,135.29209899902344
50,50,2019-04-17,134.18032836914062
51,51,2019-04-18,133.93739318847656
52,52,2019-04-22,134.64744567871094
53,53,2019-04-23,136.46925354003906
54,54,2019-04-24,137.3287811279297
55,55,2019-04-25,135.97409057617188
56,56,2019-04-26,136.64678955078125
57,57,2019-04-29,135.71250915527344
58,58,2019-04-30,135.38552856445312
59,59,2019-05-01,133.34878540039062
60,60,2019-05-02,132.9938201904297
61,61,2019-05-03,134.18032836914062
62,62,2019-05-06,132.92837524414062
63,63,2019-05-07,132.43319702148438
64,64,2019-05-08,133.64772033691406
65,65,2019-05-09,135.68446350097656
66,66,2019-05-10,138.67413330078125
67,67,2019-05-13,133.81593322753906
68,68,2019-05-14,135.12391662597656
69,69,2019-05-15,135.6377410888672
70,70,2019-05-16,138.63677978515625
71,71,2019-05-17,137.29141235351562
72,72,2019-05-20,137.24472045898438
73,73,2019-05-21,138.95445251464844
74,74,2019-05-22,142.59812927246094
75,75,2019-05-23,140.58941650390625
76,76,2019-05-24,140.7295379638672
77,77,2019-05-28,140.5240478515625
78,78,2019-05-29,139.4589385986328
79,79,2019-05-30,141.34616088867188
80,80,2019-05-31,140.09423828125
81,81,2019-06-03,142.09361267089844
82,82,2019-06-04,146.62481689453125
83,83,2019-06-05,150.0723114013672
84,84,2019-06-06,150.39927673339844
85,85,2019-06-07,152.82839965820312
86,86,2019-06-10,150.89443969726562
87,87,2019-06-11,150.0069122314453
88,88,2019-06-12,150.7075958251953
89,89,2019-06-13,149.96690368652344
90,90,2019-06-14,150.34193420410156
91,91,2019-06-17,153.6140594482422
92,92,2019-06-18,154.78611755371094
93,93,2019-06-19,156.1455841064453
94,94,2019-06-20,156.44561767578125
95,95,2019-06-21,154.78611755371094
96,96,2019-06-24,155.27362060546875
97,97,2019-06-25,153.9422607421875
98,98,2019-06-26,154.58920288085938
99,99,2019-06-27,154.32669067382812
100,100,2019-06-28,156.32374572753906
101,101,2019-07-01,156.4737548828125
102,102,2019-07-02,157.80511474609375
103,103,2019-07-03,159.7365264892578
104,104,2019-07-05,159.9990692138672
105,105,2019-07-08,158.50830078125
106,106,2019-07-09,159.7177734375
107,107,2019-07-10,160.07408142089844
108,108,2019-07-11,160.3928680419922
109,109,2019-07-12,161.52732849121094
110,110,2019-07-15,162.01492309570312
111,111,2019-07-16,160.8241424560547
112,112,2019-07-17,159.5396728515625
113,113,2019-07-18,160.8147735595703
114,114,2019-07-19,158.36766052246094
115,115,2019-07-22,159.37086486816406
116,116,2019-07-23,160.13970947265625
117,117,2019-07-24,157.13006591796875
118,118,2019-07-25,158.3864288330078
119,119,2019-07-26,159.4833984375
120,120,2019-07-29,158.23641967773438
121,121,2019-07-30,155.63926696777344
122,122,2019-07-31,155.6017608642578
123,123,2019-08-01,154.47669982910156
124,124,2019-08-02,159.46466064453125
125,125,2019-08-05,158.1989288330078
126,126,2019-08-06,160.8710174560547
127,127,2019-08-07,163.1400146484375
128,128,2019-08-08,167.88418579101562
129,129,2019-08-09,165.29641723632812
130,130,2019-08-12,164.5838623046875
131,131,2019-08-13,165.0620574951172
132,132,2019-08-14,160.35536193847656
133,133,2019-08-15,161.32107543945312
134,134,2019-08-16,162.50241088867188
135,135,2019-08-19,165.8308563232422
136,136,2019-08-20,164.44322204589844
137,137,2019-08-21,168.01541137695312
138,138,2019-08-22,167.57473754882812
139,139,2019-08-23,164.3307342529297
140,140,2019-08-26,167.21847534179688
141,141,2019-08-27,167.36849975585938
142,142,2019-08-28,167.11538696289062
143,143,2019-08-29,169.8531036376953
144,144,2019-08-30,169.61871337890625
145,145,2019-09-03,167.4528350830078
