,Unnamed: 0,Date,BG
0,0,2019-02-05,46.37765884399414
1,1,2019-02-06,46.58380889892578
2,2,2019-02-07,46.05122375488281
3,3,2019-02-08,45.55300521850586
4,4,2019-02-11,44.96029281616211
5,5,2019-02-12,45.26094436645508
6,6,2019-02-13,45.67327117919922
7,7,2019-02-14,45.44992446899414
8,8,2019-02-15,45.36320495605469
9,9,2019-02-19,45.658050537109375
10,10,2019-02-20,45.70141220092773
11,11,2019-02-21,46.37782287597656
12,12,2019-02-22,44.89491271972656
13,13,2019-02-25,46.3344612121582
14,14,2019-02-26,45.84016036987305
15,15,2019-02-27,45.987586975097656
16,16,2019-02-28,46.03094100952149
17,17,2019-03-01,45.96157836914063
18,18,2019-03-04,45.79680252075195
19,19,2019-03-05,45.26781845092773
20,20,2019-03-06,44.24451446533203
21,21,2019-03-07,43.86295700073242
22,22,2019-03-08,43.55942535400391
23,23,2019-03-11,44.78217697143555
24,24,2019-03-12,45.0943717956543
25,25,2019-03-13,45.11171340942383
26,26,2019-03-14,45.137733459472656
27,27,2019-03-15,45.84016036987305
28,28,2019-03-18,45.28515625
29,29,2019-03-19,45.137733459472656
30,30,2019-03-20,44.58272933959961
31,31,2019-03-21,45.34585952758789
32,32,2019-03-22,44.83420944213867
33,33,2019-03-25,44.608734130859375
34,34,2019-03-26,44.73881530761719
35,35,2019-03-27,44.92960739135742
36,36,2019-03-28,45.26781845092773
37,37,2019-03-29,46.02227783203125
38,38,2019-04-01,45.79680252075195
39,39,2019-04-02,45.23312377929688
40,40,2019-04-03,44.99897384643555
41,41,2019-04-04,46.15235900878906
42,42,2019-04-05,46.178367614746094
43,43,2019-04-08,46.42118453979492
44,44,2019-04-09,46.05696105957031
45,45,2019-04-10,45.95289993286133
46,46,2019-04-11,45.926883697509766
47,47,2019-04-12,45.658050537109375
48,48,2019-04-15,45.51062774658203
49,49,2019-04-16,44.8689079284668
50,50,2019-04-17,44.704132080078125
51,51,2019-04-18,44.33990859985352
52,52,2019-04-22,44.49600982666016
53,53,2019-04-23,44.4439697265625
54,54,2019-04-24,44.33123397827149
55,55,2019-04-25,42.14589691162109
56,56,2019-04-26,42.46675109863281
57,57,2019-04-29,43.46404266357422
58,58,2019-04-30,45.44991683959961
59,59,2019-05-01,45.23312377929688
60,60,2019-05-02,44.33990859985352
61,61,2019-05-03,44.35724639892578
62,62,2019-05-06,43.92365264892578
63,63,2019-05-07,43.34262466430664
64,64,2019-05-08,46.34313583374024
65,65,2019-05-09,46.10900115966797
66,66,2019-05-10,46.620635986328125
67,67,2019-05-13,45.51930236816406
68,68,2019-05-14,45.658050537109375
69,69,2019-05-15,46.19571304321289
70,70,2019-05-16,46.21305847167969
71,71,2019-05-17,45.72282028198242
72,72,2019-05-20,45.37266159057617
73,73,2019-05-21,45.50397491455078
74,74,2019-05-22,45.43394088745117
75,75,2019-05-23,45.01374053955078
76,76,2019-05-24,44.25213623046875
77,77,2019-05-28,44.31341552734375
78,78,2019-05-29,45.35515975952149
79,79,2019-05-30,44.80364608764648
80,80,2019-05-31,45.77535629272461
81,81,2019-06-03,47.79755783081055
82,82,2019-06-04,47.92886734008789
83,83,2019-06-05,47.73627853393555
84,84,2019-06-06,48.23526382446289
85,85,2019-06-07,48.27903747558594
86,86,2019-06-10,49.3733024597168
87,87,2019-06-11,49.19822311401367
88,88,2019-06-12,49.986087799072266
89,89,2019-06-13,50.33626174926758
90,90,2019-06-14,50.65140914916992
91,91,2019-06-17,50.345008850097656
92,92,2019-06-18,50.75645446777344
93,93,2019-06-19,50.21369171142578
94,94,2019-06-20,50.43254852294922
95,95,2019-06-21,50.380027770996094
96,96,2019-06-24,50.32749938964844
97,97,2019-06-25,48.9180908203125
98,98,2019-06-26,48.69923400878906
99,99,2019-06-27,48.23526382446289
100,100,2019-06-28,48.76927185058594
101,101,2019-07-01,49.27700424194336
102,102,2019-07-02,49.382057189941406
103,103,2019-07-03,49.66219329833984
104,104,2019-07-05,49.55713653564453
105,105,2019-07-08,49.87228775024414
106,106,2019-07-09,50.15242004394531
107,107,2019-07-10,50.06487655639648
108,108,2019-07-11,49.504615783691406
109,109,2019-07-12,49.7759895324707
110,110,2019-07-15,49.70595169067383
111,111,2019-07-16,48.8830680847168
112,112,2019-07-17,48.73424911499024
113,113,2019-07-18,48.87432098388672
114,114,2019-07-19,48.64670944213867
115,115,2019-07-22,49.32077026367188
116,116,2019-07-23,49.87228775024414
117,117,2019-07-24,49.78474426269531
118,118,2019-07-25,49.57464599609375
119,119,2019-07-26,49.83727264404297
120,120,2019-07-29,49.530879974365234
121,121,2019-07-30,49.33828353881836
122,122,2019-07-31,51.150390625
123,123,2019-08-01,50.70392608642578
124,124,2019-08-02,50.06487655639648
125,125,2019-08-05,48.41035079956055
126,126,2019-08-06,49.084415435791016
127,127,2019-08-07,49.25950241088867
128,128,2019-08-08,50.86150360107422
129,129,2019-08-09,50.09114074707031
130,130,2019-08-12,46.7120475769043
131,131,2019-08-13,46.8083381652832
132,132,2019-08-14,46.69453048706055
133,133,2019-08-15,47.11473846435547
134,134,2019-08-16,48.033912658691406
135,135,2019-08-19,48.59932708740234
136,136,2019-08-20,47.61869812011719
137,137,2019-08-21,48.32546615600586
138,138,2019-08-22,48.50215911865234
139,139,2019-08-23,47.0179328918457
140,140,2019-08-26,47.27413558959961
141,141,2019-08-27,46.45252990722656
142,142,2019-08-28,46.32883071899414
143,143,2019-08-29,46.48785781860352
144,144,2019-08-30,47.185791015625
145,145,2019-09-03,47.14162063598633
146,146,2019-09-04,47.61869812011719
147,147,2019-09-05,48.78487777709961
148,148,2019-09-06,49.29727935791016
149,149,2019-09-09,50.44578552246094
150,150,2019-09-10,50.348594665527344
151,151,2019-09-11,51.214393615722656
152,152,2019-09-12,50.79916000366211
153,153,2019-09-13,50.20724105834961
154,154,2019-09-16,51.08186340332031
155,155,2019-09-17,50.05705261230469
156,156,2019-09-18,50.33975982666016
157,157,2019-09-19,49.606483459472656
158,158,2019-09-20,49.43862533569336
159,159,2019-09-23,49.44746017456055
160,160,2019-09-24,49.0764045715332
161,161,2019-09-25,49.54463958740234
162,162,2019-09-26,49.96870422363281
163,163,2019-09-27,49.95103454589844
164,164,2019-09-30,50.0217170715332
165,165,2019-10-01,49.81851577758789
166,166,2019-10-02,49.35028076171875
