,Unnamed: 0,Date,ROST
0,0,2019-02-05,88.8203125
1,1,2019-02-06,88.31517791748047
2,2,2019-02-07,88.24844360351562
3,3,2019-02-08,88.59158325195312
4,4,2019-02-11,89.71624755859375
5,5,2019-02-12,90.31671142578124
6,6,2019-02-13,90.20233917236328
7,7,2019-02-14,88.91563415527344
8,8,2019-02-15,89.60189056396484
9,9,2019-02-19,89.27781677246094
10,10,2019-02-20,89.56376647949219
11,11,2019-02-21,89.14437866210938
12,12,2019-02-22,89.94499969482422
13,13,2019-02-25,89.45890808105469
14,14,2019-02-26,89.91639709472656
15,15,2019-02-27,90.3357925415039
16,16,2019-02-28,90.3834228515625
17,17,2019-03-01,90.41201782226562
18,18,2019-03-04,89.21110534667969
19,19,2019-03-05,89.75437927246094
20,20,2019-03-06,90.00218963623047
21,21,2019-03-07,88.07689666748047
22,22,2019-03-08,84.88397979736328
23,23,2019-03-11,86.48519134521484
24,24,2019-03-12,86.88550567626953
25,25,2019-03-13,86.43756866455078
26,26,2019-03-14,85.0555648803711
27,27,2019-03-15,85.93013763427734
28,28,2019-03-18,87.1058120727539
29,29,2019-03-19,87.66976165771484
30,30,2019-03-20,87.46904754638672
31,31,2019-03-21,87.45947265625
32,32,2019-03-22,85.57647705078125
33,33,2019-03-25,85.83454132080078
34,34,2019-03-26,86.885986328125
35,35,2019-03-27,87.61241149902344
36,36,2019-03-28,87.85137939453125
37,37,2019-03-29,88.98882293701172
38,38,2019-04-01,90.09759521484376
39,39,2019-04-02,89.61968994140625
40,40,2019-04-03,90.78581237792967
41,41,2019-04-04,93.17540740966795
42,42,2019-04-05,94.06433868408205
43,43,2019-04-08,94.31285858154295
44,44,2019-04-09,93.2423324584961
45,45,2019-04-10,93.9974365234375
46,46,2019-04-11,93.31879425048828
47,47,2019-04-12,93.0702667236328
48,48,2019-04-15,93.6820297241211
49,49,2019-04-16,94.51358795166016
50,50,2019-04-17,95.50767517089844
51,51,2019-04-18,95.58413696289062
52,52,2019-04-22,93.46216583251952
53,53,2019-04-23,93.53863525390624
54,54,2019-04-24,94.20772552490234
55,55,2019-04-25,93.69157409667967
56,56,2019-04-26,94.19815826416016
57,57,2019-04-29,93.93052673339844
58,58,2019-04-30,93.34747314453124
59,59,2019-05-01,91.64605712890624
60,60,2019-05-02,92.10488891601562
61,61,2019-05-03,92.84087371826172
62,62,2019-05-06,93.0893783569336
63,63,2019-05-07,91.53135681152344
64,64,2019-05-08,92.55412292480467
65,65,2019-05-09,92.7261734008789
66,66,2019-05-10,93.18495178222656
67,67,2019-05-13,89.32337951660156
68,68,2019-05-14,90.28878784179688
69,69,2019-05-15,90.32701110839844
70,70,2019-05-16,91.64605712890624
71,71,2019-05-17,92.90778350830078
72,72,2019-05-20,92.40117645263672
73,73,2019-05-21,93.09894561767578
74,74,2019-05-22,90.35569763183594
75,75,2019-05-23,90.3365707397461
76,76,2019-05-24,88.68295288085938
77,77,2019-05-28,87.29700469970703
78,78,2019-05-29,86.31246185302734
79,79,2019-05-30,88.79766845703125
80,80,2019-05-31,88.88367462158203
81,81,2019-06-03,87.97563934326172
82,82,2019-06-04,90.46082305908205
83,83,2019-06-05,90.79537200927734
84,84,2019-06-06,91.91371154785156
85,85,2019-06-07,94.78123474121094
86,86,2019-06-10,93.91397094726562
87,87,2019-06-11,94.36436462402344
88,88,2019-06-12,94.21104431152344
89,89,2019-06-13,96.34806060791016
90,90,2019-06-14,96.76013946533205
91,91,2019-06-17,97.21052551269533
92,92,2019-06-18,98.33174896240234
93,93,2019-06-19,99.06963348388672
94,94,2019-06-20,100.21003723144533
95,95,2019-06-21,99.62545776367188
96,96,2019-06-24,98.56173706054688
97,97,2019-06-25,97.2776107788086
98,98,2019-06-26,98.13050842285156
99,99,2019-06-27,96.34806060791016
100,100,2019-06-28,94.98727416992188
101,101,2019-07-01,94.85309600830078
102,102,2019-07-02,94.08645629882812
103,103,2019-07-03,95.83058166503906
104,104,2019-07-05,96.67388153076172
105,105,2019-07-08,97.34469604492188
106,106,2019-07-09,97.72801971435548
107,107,2019-07-10,98.33174896240234
108,108,2019-07-11,98.6096649169922
109,109,2019-07-12,101.5995864868164
110,110,2019-07-15,101.91580200195312
111,111,2019-07-16,102.35662841796876
112,112,2019-07-17,102.81661987304688
113,113,2019-07-18,102.5770492553711
114,114,2019-07-19,102.16497802734376
115,115,2019-07-22,101.52291107177734
116,116,2019-07-23,101.68582153320312
117,117,2019-07-24,101.53247833251952
118,118,2019-07-25,101.12042999267578
119,119,2019-07-26,102.37580108642578
120,120,2019-07-29,102.06914520263672
121,121,2019-07-30,101.90621185302734
122,122,2019-07-31,101.6091537475586
123,123,2019-08-01,99.25171661376952
124,124,2019-08-02,99.17506408691406
125,125,2019-08-05,96.99971771240234
126,126,2019-08-06,99.06963348388672
127,127,2019-08-07,99.57756042480467
128,128,2019-08-08,102.5770492553711
129,129,2019-08-09,101.10125732421876
130,130,2019-08-12,98.97380828857422
131,131,2019-08-13,102.00205993652344
132,132,2019-08-14,97.91008758544922
133,133,2019-08-15,97.18179321289062
134,134,2019-08-16,98.8779754638672
135,135,2019-08-19,99.7500457763672
136,136,2019-08-20,99.84587097167967
137,137,2019-08-21,101.29290771484376
138,138,2019-08-22,102.92204284667967
139,139,2019-08-23,98.65758514404295
140,140,2019-08-26,100.20044708251952
141,141,2019-08-27,98.30300903320312
142,142,2019-08-28,100.20044708251952
143,143,2019-08-29,102.6441421508789
144,144,2019-08-30,101.5899887084961
145,145,2019-09-03,100.64126586914062
146,146,2019-09-04,101.55165100097656
147,147,2019-09-05,104.8003158569336
148,148,2019-09-06,104.6278305053711
149,149,2019-09-09,103.9665756225586
150,150,2019-09-10,103.6503448486328
151,151,2019-09-11,104.03937530517578
152,152,2019-09-12,105.04798126220705
153,153,2019-09-13,104.82704162597656
154,154,2019-09-16,103.34776306152344
155,155,2019-09-17,103.87608337402344
156,156,2019-09-18,104.42361450195312
157,157,2019-09-19,104.32755279541016
158,158,2019-09-20,100.6197509765625
159,159,2019-09-23,102.80982208251952
160,160,2019-09-24,103.39579010009766
161,161,2019-09-25,103.97213745117188
162,162,2019-09-26,103.59751892089844
163,163,2019-09-27,104.75020599365234
164,164,2019-09-30,105.51866149902344
165,165,2019-10-01,104.99034118652344
166,166,2019-10-02,103.29014587402344
167,167,2019-10-03,102.71379852294922
168,168,2019-10-04,104.63494110107422
169,169,2019-10-07,103.87608337402344
170,170,2019-10-08,103.62632751464844
171,171,2019-10-09,104.86546325683594
172,172,2019-10-10,106.63291931152344
173,173,2019-10-11,108.02574157714844
174,174,2019-10-14,107.00753021240234
175,175,2019-10-15,107.52625274658205
176,176,2019-10-16,107.8336181640625
177,177,2019-10-17,108.5732650756836
178,178,2019-10-18,109.62989044189452
179,179,2019-10-21,106.6041030883789
180,180,2019-10-22,107.4878387451172
181,181,2019-10-23,105.5570831298828
182,182,2019-10-24,106.08539581298828
183,183,2019-10-25,106.3255386352539
184,184,2019-10-28,105.07678985595705
185,185,2019-10-29,104.52925872802734
186,186,2019-10-30,105.97010803222656
187,187,2019-10-31,105.34575653076172
188,188,2019-11-01,106.61370086669922
189,189,2019-11-04,107.36296081542967
190,190,2019-11-05,107.64151000976562
191,191,2019-11-06,107.8336181640625
192,192,2019-11-07,108.61170196533205
193,193,2019-11-08,107.41097259521484
194,194,2019-11-11,107.75678253173828
195,195,2019-11-12,106.59451293945312
196,196,2019-11-13,106.9979248046875
197,197,2019-11-14,108.39076232910156
198,198,2019-11-15,108.89986419677734
199,199,2019-11-18,107.7663803100586
200,200,2019-11-19,107.9873046875
201,201,2019-11-20,106.08539581298828
202,202,2019-11-21,107.38216400146484
203,203,2019-11-22,107.122802734375
204,204,2019-11-25,108.8614501953125
205,205,2019-11-26,110.78258514404295
206,206,2019-11-27,111.74314880371094
207,207,2019-11-29,111.57024383544922
208,208,2019-12-02,111.42615509033205
209,209,2019-12-03,109.76436614990234
210,210,2019-12-04,109.64910125732422
211,211,2019-12-05,109.25922393798828
212,212,2019-12-06,109.66355895996094
213,213,2019-12-09,110.77066802978516
214,214,2019-12-10,110.66477966308594
215,215,2019-12-11,110.5685043334961
216,216,2019-12-12,112.1088638305664
217,217,2019-12-13,111.18466186523438
218,218,2019-12-16,110.12566375732422
219,219,2019-12-17,109.56727600097656
220,220,2019-12-18,109.25922393798828
221,221,2019-12-19,110.86697387695312
222,222,2019-12-20,110.93434143066406
223,223,2019-12-23,109.94273376464844
224,224,2019-12-24,110.82843017578124
225,225,2019-12-26,111.0113525390625
226,226,2019-12-27,110.67440032958984
227,227,2019-12-30,112.15699005126952
228,228,2019-12-31,112.07996368408205
229,229,2020-01-02,112.47469329833984
230,230,2020-01-03,112.50357818603516
231,231,2020-01-06,113.05233001708984
232,232,2020-01-07,114.37126159667967
233,233,2020-01-08,114.70823669433594
234,234,2020-01-09,117.5771255493164
235,235,2020-01-10,116.21968841552734
236,236,2020-01-13,115.49763488769533
237,237,2020-01-14,114.52528381347656
238,238,2020-01-15,113.37964630126952
239,239,2020-01-16,113.64922332763672
240,240,2020-01-17,113.29300689697266
241,241,2020-01-21,113.40852355957033
242,242,2020-01-22,113.03307342529295
243,243,2020-01-23,113.8032684326172
244,244,2020-01-24,111.44458770751952
245,245,2020-01-27,110.5685043334961
246,246,2020-01-28,110.21231079101562
247,247,2020-01-29,110.0101318359375
248,248,2020-01-30,109.92347717285156
249,249,2020-01-31,108.0076675415039
250,250,2020-02-03,109.5865478515625
251,251,2020-02-04,112.01258850097656
252,252,2020-02-05,114.31349182128906
253,253,2020-02-06,113.78400421142578
254,254,2020-02-07,113.05233001708984
255,255,2020-02-10,113.85139465332033
256,256,2020-02-11,115.2376937866211
257,257,2020-02-12,115.5842742919922
258,258,2020-02-13,116.10415649414062
259,259,2020-02-14,117.24015808105467
260,260,2020-02-18,117.9237060546875
261,261,2020-02-19,118.35692596435548
262,262,2020-02-20,119.1944808959961
263,263,2020-02-21,118.64573669433594
264,264,2020-02-24,117.08612060546876
265,265,2020-02-25,112.39768981933594
266,266,2020-02-26,114.75634002685548
267,267,2020-02-27,107.76700592041016
268,268,2020-02-28,104.72479248046876
269,269,2020-03-02,107.80549621582033
270,270,2020-03-03,105.1483917236328
