,Unnamed: 0.1,Unnamed: 0,Date,TRMB,TRMB_6m,TRMB_12m
0,0,0,2019-02-05,38.34000015258789,,
1,1,1,2019-02-06,38.86000061035156,,
2,2,2,2019-02-07,38.29999923706055,,
3,3,3,2019-02-08,38.18000030517578,,
4,4,4,2019-02-11,38.61000061035156,,
5,5,5,2019-02-12,38.97999954223633,,
6,6,6,2019-02-13,39.0099983215332,38.34000015258789,
7,7,7,2019-02-14,38.810001373291016,38.86000061035156,
8,8,8,2019-02-15,39.209999084472656,38.29999923706055,
9,9,9,2019-02-19,39.38999938964844,38.18000030517578,
10,10,10,2019-02-20,39.97999954223633,38.61000061035156,
11,11,11,2019-02-21,39.91999816894531,38.97999954223633,
12,12,12,2019-02-22,40.0,39.0099983215332,38.34000015258789
13,13,13,2019-02-25,40.54999923706055,38.810001373291016,38.86000061035156
14,14,14,2019-02-26,40.09000015258789,39.209999084472656,38.29999923706055
15,15,15,2019-02-27,40.220001220703125,39.38999938964844,38.18000030517578
16,16,16,2019-02-28,40.0099983215332,39.97999954223633,38.61000061035156
17,17,17,2019-03-01,40.470001220703125,39.91999816894531,38.97999954223633
18,18,18,2019-03-04,40.25,40.0,39.0099983215332
19,19,19,2019-03-05,39.9900016784668,40.54999923706055,38.810001373291016
20,20,20,2019-03-06,39.38999938964844,40.09000015258789,39.209999084472656
21,21,21,2019-03-07,38.369998931884766,40.220001220703125,39.38999938964844
22,22,22,2019-03-08,38.13999938964844,40.0099983215332,39.97999954223633
23,23,23,2019-03-11,38.7599983215332,40.470001220703125,39.91999816894531
24,24,24,2019-03-12,38.900001525878906,40.25,40.0
25,25,25,2019-03-13,39.58000183105469,39.9900016784668,40.54999923706055
26,26,26,2019-03-14,39.77999877929688,39.38999938964844,40.09000015258789
27,27,27,2019-03-15,39.7599983215332,38.369998931884766,40.220001220703125
28,28,28,2019-03-18,40.150001525878906,38.13999938964844,40.0099983215332
29,29,29,2019-03-19,40.31999969482422,38.7599983215332,40.470001220703125
30,30,30,2019-03-20,40.22999954223633,38.900001525878906,40.25
31,31,31,2019-03-21,40.77999877929688,39.58000183105469,39.9900016784668
32,32,32,2019-03-22,39.43000030517578,39.77999877929688,39.38999938964844
33,33,33,2019-03-25,39.45000076293945,39.7599983215332,38.369998931884766
34,34,34,2019-03-26,40.130001068115234,40.150001525878906,38.13999938964844
35,35,35,2019-03-27,39.84999847412109,40.31999969482422,38.7599983215332
36,36,36,2019-03-28,40.290000915527344,40.22999954223633,38.900001525878906
37,37,37,2019-03-29,40.400001525878906,40.77999877929688,39.58000183105469
38,38,38,2019-04-01,40.97999954223633,39.43000030517578,39.77999877929688
39,39,39,2019-04-02,40.68999862670898,39.45000076293945,39.7599983215332
40,40,40,2019-04-03,40.84999847412109,40.130001068115234,40.150001525878906
41,41,41,2019-04-04,40.560001373291016,39.84999847412109,40.31999969482422
42,42,42,2019-04-05,40.5,40.290000915527344,40.22999954223633
43,43,43,2019-04-08,40.84000015258789,40.400001525878906,40.77999877929688
44,44,44,2019-04-09,40.040000915527344,40.97999954223633,39.43000030517578
45,45,45,2019-04-10,40.2400016784668,40.68999862670898,39.45000076293945
46,46,46,2019-04-11,40.70000076293945,40.84999847412109,40.130001068115234
47,47,47,2019-04-12,40.9900016784668,40.560001373291016,39.84999847412109
48,48,48,2019-04-15,40.93000030517578,40.5,40.290000915527344
49,49,49,2019-04-16,41.34000015258789,40.84000015258789,40.400001525878906
50,50,50,2019-04-17,41.0099983215332,40.040000915527344,40.97999954223633
51,51,51,2019-04-18,41.13999938964844,40.2400016784668,40.68999862670898
52,52,52,2019-04-22,40.540000915527344,40.70000076293945,40.84999847412109
53,53,53,2019-04-23,41.11000061035156,40.9900016784668,40.560001373291016
54,54,54,2019-04-24,41.06999969482422,40.93000030517578,40.5
55,55,55,2019-04-25,40.29999923706055,41.34000015258789,40.84000015258789
56,56,56,2019-04-26,40.630001068115234,41.0099983215332,40.040000915527344
57,57,57,2019-04-29,40.45000076293945,41.13999938964844,40.2400016784668
58,58,58,2019-04-30,40.81999969482422,40.540000915527344,40.70000076293945
59,59,59,2019-05-01,40.459999084472656,41.11000061035156,40.9900016784668
60,60,60,2019-05-02,42.119998931884766,41.06999969482422,40.93000030517578
61,61,61,2019-05-03,43.34999847412109,40.29999923706055,41.34000015258789
