,Unnamed: 0,Date,KHC
0,0,2019-02-05,38.0722885131836
1,1,2019-02-06,37.716407775878906
2,2,2019-02-07,37.35261154174805
3,3,2019-02-08,37.53449630737305
4,4,2019-02-11,37.43170166015625
5,5,2019-02-12,38.04856872558594
6,6,2019-02-13,37.67686080932617
7,7,2019-02-14,37.43960952758789
8,8,2019-02-15,37.66104507446289
9,9,2019-02-19,37.7796745300293
10,10,2019-02-20,38.16720581054688
11,11,2019-02-21,38.10392761230469
12,12,2019-02-22,27.64077377319336
13,13,2019-02-25,27.071352005004883
14,14,2019-02-26,26.193490982055664
15,15,2019-02-27,25.465892791748047
16,16,2019-02-28,26.24884605407715
17,17,2019-03-01,25.62406539916992
18,18,2019-03-04,26.280481338500977
19,19,2019-03-05,26.13021850585937
20,20,2019-03-06,25.98785972595215
21,21,2019-03-07,25.531517028808597
22,22,2019-03-08,25.69964408874512
23,23,2019-03-11,25.75568389892578
24,24,2019-03-12,25.611572265625
25,25,2019-03-13,25.859764099121094
26,26,2019-03-14,25.515504837036133
27,27,2019-03-15,25.691635131835938
28,28,2019-03-18,25.643598556518555
29,29,2019-03-19,25.72365951538086
30,30,2019-03-20,25.635591506958008
31,31,2019-03-21,26.220043182373047
32,32,2019-03-22,25.85176086425781
33,33,2019-03-25,26.019886016845703
34,34,2019-03-26,26.34013557434082
35,35,2019-03-27,26.13197135925293
36,36,2019-03-28,26.332124710083008
37,37,2019-03-29,26.13997840881348
38,38,2019-04-01,26.019886016845703
39,39,2019-04-02,25.68363380432129
40,40,2019-04-03,25.819732666015625
41,41,2019-04-04,26.1720027923584
42,42,2019-04-05,26.556297302246094
43,43,2019-04-08,26.572309494018555
44,44,2019-04-09,26.380165100097656
45,45,2019-04-10,26.4041805267334
46,46,2019-04-11,26.412189483642575
47,47,2019-04-12,26.47624015808105
48,48,2019-04-15,26.53228187561035
49,49,2019-04-16,26.45221900939941
50,50,2019-04-17,26.332124710083008
51,51,2019-04-18,26.388168334960938
52,52,2019-04-22,26.34013557434082
53,53,2019-04-23,26.50025177001953
54,54,2019-04-24,26.228046417236328
55,55,2019-04-25,26.0359001159668
56,56,2019-04-26,26.46822738647461
57,57,2019-04-29,26.63636016845703
58,58,2019-04-30,26.612340927124023
59,59,2019-05-01,26.412189483642575
60,60,2019-05-02,25.763690948486328
61,61,2019-05-03,26.08393859863281
62,62,2019-05-06,26.236047744750977
63,63,2019-05-07,26.019886016845703
64,64,2019-05-08,25.963844299316406
65,65,2019-05-09,26.08393859863281
66,66,2019-05-10,26.13997840881348
67,67,2019-05-13,25.595558166503903
68,68,2019-05-14,25.83574867248535
69,69,2019-05-15,25.93982696533203
70,70,2019-05-16,25.98786163330078
71,71,2019-05-17,26.04390525817871
72,72,2019-05-20,25.451454162597656
73,73,2019-05-21,25.60357093811035
74,74,2019-05-22,25.52350807189941
75,75,2019-05-23,25.179243087768555
76,76,2019-05-24,24.90703582763672
77,77,2019-05-28,23.265783309936523
78,78,2019-05-29,22.961544036865234
79,79,2019-05-30,22.247047424316406
80,80,2019-05-31,22.450029373168945
81,81,2019-06-03,23.07522392272949
82,82,2019-06-04,23.2782039642334
83,83,2019-06-05,23.11581420898437
84,84,2019-06-06,23.237611770629883
85,85,2019-06-07,23.335041046142575
86,86,2019-06-10,24.60977554321289
87,87,2019-06-11,24.55294418334961
88,88,2019-06-12,24.463626861572266
89,89,2019-06-13,24.69097328186035
90,90,2019-06-14,24.60977554321289
91,91,2019-06-17,24.496112823486328
92,92,2019-06-18,24.577302932739254
93,93,2019-06-19,25.137535095214844
94,94,2019-06-20,25.27556610107422
95,95,2019-06-21,25.55974769592285
96,96,2019-06-24,24.7802848815918
97,97,2019-06-25,24.91019630432129
98,98,2019-06-26,25.04010581970215
99,99,2019-06-27,24.98326873779297
100,100,2019-06-28,25.202497482299805
101,101,2019-07-01,24.7315673828125
102,102,2019-07-02,24.7802848815918
103,103,2019-07-03,25.37299919128418
104,104,2019-07-05,25.161895751953125
105,105,2019-07-08,24.91831398010254
106,106,2019-07-09,24.76405143737793
107,107,2019-07-10,25.41359519958496
108,108,2019-07-11,24.88583755493164
109,109,2019-07-12,25.00762939453125
110,110,2019-07-15,24.91019630432129
111,111,2019-07-16,24.617897033691406
112,112,2019-07-17,24.71533203125
113,113,2019-07-18,25.21061134338379
114,114,2019-07-19,25.608461380004883
115,115,2019-07-22,25.5678653717041
116,116,2019-07-23,25.94135284423828
117,117,2019-07-24,26.038787841796875
118,118,2019-07-25,25.61658096313477
119,119,2019-07-26,25.86016273498535
120,120,2019-07-29,25.787086486816406
121,121,2019-07-30,25.852039337158203
122,122,2019-07-31,25.990068435668945
123,123,2019-08-01,26.41227531433105
124,124,2019-08-02,26.1524600982666
125,125,2019-08-05,25.527267456054688
126,126,2019-08-06,24.829004287719727
127,127,2019-08-07,25.06446647644043
128,128,2019-08-08,22.91283416748047
129,129,2019-08-09,21.51630401611328
130,130,2019-08-12,21.34579849243164
131,131,2019-08-13,21.077852249145508
132,132,2019-08-14,20.720603942871094
133,133,2019-08-15,20.34711456298828
134,134,2019-08-16,20.63129234313965
135,135,2019-08-19,20.874874114990234
136,136,2019-08-20,20.734663009643555
137,137,2019-08-21,20.841880798339844
138,138,2019-08-22,21.130556106567383
139,139,2019-08-23,20.89137077331543
140,140,2019-08-26,21.097564697265625
141,141,2019-08-27,20.61919593811035
142,142,2019-08-28,20.75940704345703
143,143,2019-08-29,20.89137077331543
144,144,2019-08-30,21.048072814941406
145,145,2019-09-03,21.49344825744629
