,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m
0,0,0,2019-02-05,98.84977722167967,,
1,1,1,2019-02-06,97.30758666992188,,
2,2,2,2019-02-07,98.07039642333984,,
3,3,3,2019-02-08,98.14498901367188,,
4,4,4,2019-02-11,98.20303344726562,,
5,5,5,2019-02-12,97.32416534423828,,
6,6,6,2019-02-13,98.20303344726562,98.84977722167967,
7,7,7,2019-02-14,98.4600830078125,97.30758666992188,
8,8,8,2019-02-15,99.60428619384766,98.07039642333984,
9,9,9,2019-02-19,99.62085723876952,98.14498901367188,
10,10,10,2019-02-20,99.14825439453124,98.20303344726562,
11,11,11,2019-02-21,98.96585845947266,97.32416534423828,
12,12,12,2019-02-22,99.38870239257812,98.20303344726562,98.84977722167967
13,13,13,2019-02-25,97.97915649414062,98.4600830078125,97.30758666992188
14,14,14,2019-02-26,97.97915649414062,99.60428619384766,98.07039642333984
15,15,15,2019-02-27,98.1035385131836,99.62085723876952,98.14498901367188
16,16,16,2019-02-28,98.4600830078125,99.14825439453124,98.20303344726562
17,17,17,2019-03-01,98.85807037353516,98.96585845947266,97.32416534423828
18,18,18,2019-03-04,99.0902099609375,99.38870239257812,98.20303344726562
19,19,19,2019-03-05,99.14825439453124,97.97915649414062,98.4600830078125
20,20,20,2019-03-06,100.06029510498048,97.97915649414062,99.60428619384766
21,21,21,2019-03-07,100.1100616455078,98.1035385131836,99.62085723876952
22,22,22,2019-03-08,100.29246520996094,98.4600830078125,99.14825439453124
23,23,23,2019-03-11,102.431640625,98.85807037353516,98.96585845947266
24,24,24,2019-03-12,102.68869018554688,99.0902099609375,99.38870239257812
25,25,25,2019-03-13,103.65046691894533,99.14825439453124,97.97915649414062
26,26,26,2019-03-14,103.75506591796876,100.06029510498048,97.97915649414062
27,27,27,2019-03-15,104.60845184326172,100.1100616455078,98.1035385131836
28,28,28,2019-03-18,104.29889678955078,100.29246520996094,98.4600830078125
29,29,29,2019-03-19,104.22360229492188,102.431640625,98.85807037353516
