,Unnamed: 0,Date,TMO
0,0,2019-02-05,243.09457397460935
1,1,2019-02-06,244.31983947753903
2,2,2019-02-07,240.03135681152344
3,3,2019-02-08,240.6241912841797
4,4,2019-02-11,241.67166137695312
5,5,2019-02-12,245.3871154785156
6,6,2019-02-13,244.45822143554688
7,7,2019-02-14,243.2230529785156
8,8,2019-02-15,249.49778747558597
9,9,2019-02-19,247.85748291015625
10,10,2019-02-20,249.23097229003903
11,11,2019-02-21,248.4701232910156
12,12,2019-02-22,249.11241149902344
13,13,2019-02-25,250.83175659179688
14,14,2019-02-26,250.9800262451172
15,15,2019-02-27,256.06903076171875
16,16,2019-02-28,256.493896484375
17,17,2019-03-01,260.9306640625
18,18,2019-03-04,256.3753356933594
19,19,2019-03-05,251.44444274902344
20,20,2019-03-06,248.2625732421875
21,21,2019-03-07,247.8376617431641
22,22,2019-03-08,246.88909912109372
23,23,2019-03-11,251.3061065673828
24,24,2019-03-12,251.89898681640625
25,25,2019-03-13,255.80213928222656
26,26,2019-03-14,258.5216369628906
27,27,2019-03-15,260.1631164550781
28,28,2019-03-18,260.59820556640625
29,29,2019-03-19,263.0011901855469
30,30,2019-03-20,262.6748046875
31,31,2019-03-21,268.0345764160156
32,32,2019-03-22,260.87506103515625
33,33,2019-03-25,265.8095703125
34,34,2019-03-26,268.42022705078125
35,35,2019-03-27,265.8590087890625
36,36,2019-03-28,267.2929077148437
37,37,2019-03-29,270.67486572265625
38,38,2019-04-01,273.117431640625
39,39,2019-04-02,271.7527160644531
40,40,2019-04-03,273.6810302734375
41,41,2019-04-04,271.9900817871094
42,42,2019-04-05,273.4140014648437
43,43,2019-04-08,275.3226318359375
44,44,2019-04-09,274.7094421386719
45,45,2019-04-10,275.74774169921875
46,46,2019-04-11,277.38934326171875
47,47,2019-04-12,277.5277404785156
48,48,2019-04-15,274.4721984863281
49,49,2019-04-16,263.8614807128906
50,50,2019-04-17,254.64524841308597
51,51,2019-04-18,256.8899841308594
52,52,2019-04-22,256.2076110839844
53,53,2019-04-23,260.98394775390625
54,54,2019-04-24,258.6501770019531
55,55,2019-04-25,266.55126953125
56,56,2019-04-26,270.180419921875
57,57,2019-04-29,269.4881896972656
58,58,2019-04-30,274.3634033203125
