,Unnamed: 0,Date,VRSK
0,0,2019-02-05,116.09249114990234
1,1,2019-02-06,115.81175231933594
2,2,2019-02-07,116.4022445678711
3,3,2019-02-08,118.07691192626952
4,4,2019-02-11,118.1833724975586
5,5,2019-02-12,119.74185943603516
6,6,2019-02-13,119.95482635498048
7,7,2019-02-14,119.87738800048828
8,8,2019-02-15,121.36808013916016
9,9,2019-02-19,120.44851684570312
10,10,2019-02-20,118.8997039794922
11,11,2019-02-21,120.54529571533205
12,12,2019-02-22,121.0293197631836
13,13,2019-02-25,121.22290802001952
14,14,2019-02-26,121.33903503417967
15,15,2019-02-27,121.74563598632812
16,16,2019-02-28,122.38450622558594
17,17,2019-03-01,122.6555404663086
18,18,2019-03-04,121.88114166259766
19,19,2019-03-05,122.42323303222656
20,20,2019-03-06,122.59746551513672
21,21,2019-03-07,122.52970886230467
22,22,2019-03-08,121.97795867919922
23,23,2019-03-11,123.23633575439452
24,24,2019-03-12,124.15595245361328
25,25,2019-03-13,124.63993072509766
26,26,2019-03-14,124.27140045166016
27,27,2019-03-15,124.56237030029295
28,28,2019-03-18,124.81453704833984
29,29,2019-03-19,124.98910522460938
30,30,2019-03-20,124.4265594482422
31,31,2019-03-21,125.8522720336914
32,32,2019-03-22,125.00850677490234
33,33,2019-03-25,125.88140106201172
34,34,2019-03-26,127.74362182617188
35,35,2019-03-27,127.84061431884766
36,36,2019-03-28,128.81048583984375
37,37,2019-03-29,128.99472045898438
38,38,2019-04-01,130.19740295410156
39,39,2019-04-02,130.84722900390625
40,40,2019-04-03,132.205078125
41,41,2019-04-04,131.6231231689453
42,42,2019-04-05,131.4388885498047
43,43,2019-04-08,131.30308532714844
44,44,2019-04-09,131.07998657226562
45,45,2019-04-10,130.70175170898438
46,46,2019-04-11,131.70074462890625
47,47,2019-04-12,132.85487365722656
48,48,2019-04-15,133.69871520996094
49,49,2019-04-16,132.42813110351562
50,50,2019-04-17,132.81613159179688
51,51,2019-04-18,133.83450317382812
52,52,2019-04-22,133.4949951171875
53,53,2019-04-23,135.26986694335938
54,54,2019-04-24,135.29898071289062
55,55,2019-04-25,134.61033630371094
56,56,2019-04-26,135.6578369140625
57,57,2019-04-29,136.1427764892578
58,58,2019-04-30,136.8896026611328
59,59,2019-05-01,135.66757202148438
60,60,2019-05-02,136.12339782714844
61,61,2019-05-03,138.8972625732422
62,62,2019-05-06,139.07186889648438
63,63,2019-05-07,136.2688751220703
64,64,2019-05-08,136.32708740234375
65,65,2019-05-09,136.2688751220703
66,66,2019-05-10,136.4434814453125
67,67,2019-05-13,134.30975341796875
68,68,2019-05-14,135.1244354248047
69,69,2019-05-15,136.5404510498047
70,70,2019-05-16,137.8498077392578
71,71,2019-05-17,137.69459533691406
72,72,2019-05-20,137.0447998046875
73,73,2019-05-21,138.8778839111328
74,74,2019-05-22,139.5277099609375
75,75,2019-05-23,137.87887573242188
76,76,2019-05-24,137.9273681640625
77,77,2019-05-28,137.7430877685547
78,78,2019-05-29,135.46388244628906
79,79,2019-05-30,136.2882843017578
80,80,2019-05-31,135.78392028808594
81,81,2019-06-03,136.0070343017578
82,82,2019-06-04,137.5685272216797
83,83,2019-06-05,140.0029754638672
84,84,2019-06-06,140.38119506835938
85,85,2019-06-07,142.05909729003906
86,86,2019-06-10,142.44705200195312
87,87,2019-06-11,141.16677856445312
88,88,2019-06-12,141.57412719726562
89,89,2019-06-13,141.20494079589844
90,90,2019-06-14,141.68099975585938
91,91,2019-06-17,140.9037628173828
92,92,2019-06-18,140.39857482910156
93,93,2019-06-19,141.2535400390625
94,94,2019-06-20,141.8558807373047
95,95,2019-06-21,140.94264221191406
96,96,2019-06-24,141.27296447753906
97,97,2019-06-25,140.22373962402344
98,98,2019-06-26,138.59149169921875
99,99,2019-06-27,140.50543212890625
100,100,2019-06-28,142.29310607910156
101,101,2019-07-01,143.42979431152344
102,102,2019-07-02,144.3625030517578
103,103,2019-07-03,146.38330078125
104,104,2019-07-05,144.634521484375
105,105,2019-07-08,144.634521484375
106,106,2019-07-09,145.36318969726562
107,107,2019-07-10,145.7421112060547
108,108,2019-07-11,146.88851928710938
109,109,2019-07-12,147.5102996826172
110,110,2019-07-15,147.91835021972656
111,111,2019-07-16,147.45204162597656
112,112,2019-07-17,147.18003845214844
113,113,2019-07-18,148.608154296875
114,114,2019-07-19,147.1217041015625
115,115,2019-07-22,146.22787475585938
116,116,2019-07-23,146.51934814453125
117,117,2019-07-24,146.48048400878906
118,118,2019-07-25,145.94610595703125
119,119,2019-07-26,148.1709442138672
120,120,2019-07-29,148.22926330566406
121,121,2019-07-30,147.71434020996094
122,122,2019-07-31,147.40345764160156
123,123,2019-08-01,148.56932067871094
124,124,2019-08-02,148.87046813964844
125,125,2019-08-05,145.1591796875
126,126,2019-08-06,148.00582885742188
127,127,2019-08-07,149.5214080810547
128,128,2019-08-08,151.72682189941406
129,129,2019-08-09,152.0086212158203
130,130,2019-08-12,151.03704833984375
131,131,2019-08-13,151.4839630126953
132,132,2019-08-14,148.7344512939453
133,133,2019-08-15,150.7552947998047
134,134,2019-08-16,152.41665649414062
135,135,2019-08-19,153.78652954101562
136,136,2019-08-20,153.70883178710938
137,137,2019-08-21,154.1654510498047
138,138,2019-08-22,153.5533447265625
139,139,2019-08-23,150.2112274169922
140,140,2019-08-26,152.88296508789062
141,141,2019-08-27,154.3888702392578
142,142,2019-08-28,155.23411560058594
143,143,2019-08-29,156.2056884765625
144,144,2019-08-30,156.94403076171875
145,145,2019-09-03,157.13836669921875
146,146,2019-09-04,158.20709228515625
147,147,2019-09-05,158.88714599609375
148,148,2019-09-06,159.89759826660156
149,149,2019-09-09,155.64218139648438
150,150,2019-09-10,150.7067108154297
151,151,2019-09-11,150.69700622558594
152,152,2019-09-12,153.19789123535156
153,153,2019-09-13,151.5727996826172
154,154,2019-09-16,152.31236267089844
155,155,2019-09-17,154.38511657714844
156,156,2019-09-18,155.04684448242188
157,157,2019-09-19,154.4337615966797
158,158,2019-09-20,154.16131591796875
159,159,2019-09-23,153.09088134765625
160,160,2019-09-24,153.23683166503906
161,161,2019-09-25,153.55799865722656
162,162,2019-09-26,155.00790405273438
163,163,2019-09-27,151.40737915039062
164,164,2019-09-30,153.8887939453125
165,165,2019-10-01,152.2442626953125
166,166,2019-10-02,149.20811462402344
167,167,2019-10-03,150.15208435058594
168,168,2019-10-04,153.30496215820312
169,169,2019-10-07,152.94491577148438
170,170,2019-10-08,150.7359619140625
171,171,2019-10-09,152.8670196533203
172,172,2019-10-10,153.61634826660156
173,173,2019-10-11,152.8865203857422
174,174,2019-10-14,151.20301818847656
175,175,2019-10-15,151.8842010498047
176,176,2019-10-16,151.40737915039062
177,177,2019-10-17,151.04733276367188
178,178,2019-10-18,150.26885986328125
179,179,2019-10-21,149.34432983398438
180,180,2019-10-22,146.96023559570312
181,181,2019-10-23,144.63449096679688
182,182,2019-10-24,145.72438049316406
183,183,2019-10-25,144.9167022705078
184,184,2019-10-28,144.55661010742188
185,185,2019-10-29,146.0843963623047
186,186,2019-10-30,143.9435577392578
187,187,2019-10-31,140.81015014648438
188,188,2019-11-01,141.45236206054688
189,189,2019-11-04,136.52842712402344
190,190,2019-11-05,135.0492401123047
191,191,2019-11-06,136.99551391601562
192,192,2019-11-07,136.0418701171875
193,193,2019-11-08,133.07383728027344
194,194,2019-11-11,133.68690490722656
195,195,2019-11-12,134.3778533935547
196,196,2019-11-13,136.0224151611328
197,197,2019-11-14,137.23878479003906
198,198,2019-11-15,137.38475036621094
199,199,2019-11-18,138.280029296875
200,200,2019-11-19,140.10951232910156
201,201,2019-11-20,140.45980834960938
202,202,2019-11-21,140.56683349609375
203,203,2019-11-22,142.0557098388672
204,204,2019-11-25,141.50103759765625
205,205,2019-11-26,143.80734252929688
206,206,2019-11-27,144.5176544189453
207,207,2019-11-29,143.5154266357422
208,208,2019-12-02,142.1822509765625
209,209,2019-12-03,141.07286071777344
210,210,2019-12-04,141.50103759765625
211,211,2019-12-05,142.09466552734375
212,212,2019-12-06,142.87313842773438
213,213,2019-12-09,143.50567626953125
214,214,2019-12-10,143.32077026367188
215,215,2019-12-11,142.86338806152344
216,216,2019-12-12,143.69198608398438
217,217,2019-12-13,145.4270782470703
218,218,2019-12-16,145.91448974609375
219,219,2019-12-17,147.0062255859375
220,220,2019-12-18,145.0858612060547
221,221,2019-12-19,144.45228576660156
222,222,2019-12-20,145.90472412109375
223,223,2019-12-23,145.77798461914062
224,224,2019-12-24,145.40756225585938
225,225,2019-12-26,145.07611083984375
226,226,2019-12-27,144.8324737548828
227,227,2019-12-30,143.8284454345703
228,228,2019-12-31,145.57327270507812
229,229,2020-01-02,147.30838012695312
230,230,2020-01-03,148.7413330078125
