,Unnamed: 0,Date,MA
0,0,2019-02-05,209.9854431152344
1,1,2019-02-06,209.440673828125
2,2,2019-02-07,208.14686584472656
3,3,2019-02-08,210.68585205078125
4,4,2019-02-11,211.1916961669922
5,5,2019-02-12,212.95242309570312
6,6,2019-02-13,214.53805541992188
7,7,2019-02-14,213.8279266357422
8,8,2019-02-15,216.0653381347656
9,9,2019-02-19,214.58670043945312
10,10,2019-02-20,215.09259033203125
11,11,2019-02-21,213.341552734375
12,12,2019-02-22,217.24241638183597
13,13,2019-02-25,217.24241638183597
14,14,2019-02-26,217.9039001464844
15,15,2019-02-27,218.4584045410156
16,16,2019-02-28,218.6529693603516
17,17,2019-03-01,221.06549072265625
18,18,2019-03-04,220.1315460205078
19,19,2019-03-05,220.0635223388672
20,20,2019-03-06,218.3610992431641
21,21,2019-03-07,216.35714721679688
22,22,2019-03-08,215.83187866210935
23,23,2019-03-11,219.4992828369141
24,24,2019-03-12,220.76388549804688
25,25,2019-03-13,222.28143310546875
26,26,2019-03-14,223.2639312744141
27,27,2019-03-15,224.8787841796875
28,28,2019-03-18,224.11997985839844
29,29,2019-03-19,224.72308349609372
30,30,2019-03-20,223.63360595703125
31,31,2019-03-21,229.45086669921875
32,32,2019-03-22,224.4799346923828
33,33,2019-03-25,224.149169921875
34,34,2019-03-26,226.9410552978516
35,35,2019-03-27,226.1920318603516
36,36,2019-03-28,228.4683837890625
37,37,2019-03-29,229.04226684570312
38,38,2019-04-01,232.54432678222656
39,39,2019-04-02,232.74859619140625
40,40,2019-04-03,232.42758178710935
41,41,2019-04-04,229.6356964111328
42,42,2019-04-05,230.19017028808597
43,43,2019-04-08,230.16098022460935
44,44,2019-04-09,229.81028747558597
45,45,2019-04-10,230.93048095703125
46,46,2019-04-11,229.93687438964844
47,47,2019-04-12,232.65475463867188
48,48,2019-04-15,232.96646118164065
49,49,2019-04-16,233.8822326660156
50,50,2019-04-17,234.76866149902344
51,51,2019-04-18,234.66148376464844
52,52,2019-04-22,236.76565551757807
53,53,2019-04-23,237.19427490234372
54,54,2019-04-24,238.94769287109372
