,Unnamed: 0,Date,MCO
0,0,2019-02-05,155.66439819335938
1,1,2019-02-06,154.64108276367188
2,2,2019-02-07,153.74209594726562
3,3,2019-02-08,154.00035095214844
4,4,2019-02-11,154.7367401123047
5,5,2019-02-12,156.0277862548828
6,6,2019-02-13,157.42405700683594
7,7,2019-02-14,156.58248901367188
8,8,2019-02-15,161.87106323242188
9,9,2019-02-19,160.6278076171875
10,10,2019-02-20,162.0623779296875
11,11,2019-02-21,163.15255737304688
12,12,2019-02-22,165.6463623046875
13,13,2019-02-25,165.4545135498047
14,14,2019-02-26,165.44496154785156
15,15,2019-02-27,166.50962829589844
16,16,2019-02-28,166.04920959472656
17,17,2019-03-01,168.49505615234375
18,18,2019-03-04,165.20516967773438
19,19,2019-03-05,164.0733642578125
20,20,2019-03-06,163.2005157470703
21,21,2019-03-07,162.4427947998047
22,22,2019-03-08,162.99908447265625
23,23,2019-03-11,164.53375244140625
24,24,2019-03-12,165.38739013671875
25,25,2019-03-13,166.47125244140625
26,26,2019-03-14,167.83326721191406
27,27,2019-03-15,169.473388671875
28,28,2019-03-18,170.70111083984375
29,29,2019-03-19,171.33421325683594
30,30,2019-03-20,170.01052856445312
31,31,2019-03-21,174.55694580078125
32,32,2019-03-22,170.62440490722656
33,33,2019-03-25,170.1640167236328
34,34,2019-03-26,170.6436004638672
35,35,2019-03-27,170.576416015625
36,36,2019-03-28,172.06314086914062
37,37,2019-03-29,173.69369506835938
38,38,2019-04-01,176.94525146484375
39,39,2019-04-02,177.49195861816406
40,40,2019-04-03,178.61415100097656
41,41,2019-04-04,179.19923400878906
42,42,2019-04-05,179.5924835205078
43,43,2019-04-08,179.5253448486328
44,44,2019-04-09,179.03619384765625
45,45,2019-04-10,177.71258544921875
46,46,2019-04-11,177.68377685546875
47,47,2019-04-12,179.4678192138672
48,48,2019-04-15,181.48204040527344
49,49,2019-04-16,182.75770568847656
50,50,2019-04-17,180.29270935058597
51,51,2019-04-18,181.33819580078125
52,52,2019-04-22,180.4077911376953
53,53,2019-04-23,180.9353485107422
54,54,2019-04-24,186.4312896728516
55,55,2019-04-25,185.3378448486328
56,56,2019-04-26,187.57269287109372
57,57,2019-04-29,186.7478179931641
58,58,2019-04-30,188.5894012451172
59,59,2019-05-01,185.98048400878903
60,60,2019-05-02,184.8966217041016
61,61,2019-05-03,188.416748046875
62,62,2019-05-06,189.1840667724609
63,63,2019-05-07,184.77194213867188
64,64,2019-05-08,184.17730712890625
65,65,2019-05-09,181.16549682617188
66,66,2019-05-10,181.2710418701172
67,67,2019-05-13,176.0148468017578
68,68,2019-05-14,179.1129608154297
69,69,2019-05-15,179.02659606933594
70,70,2019-05-16,181.53956604003903
71,71,2019-05-17,178.80838012695312
72,72,2019-05-20,177.6928253173828
73,73,2019-05-21,180.5201568603516
74,74,2019-05-22,182.59747314453125
75,75,2019-05-23,177.52931213378906
76,76,2019-05-24,178.01019287109375
77,77,2019-05-28,180.2124938964844
78,78,2019-05-29,179.09690856933594
79,79,2019-05-30,180.1259002685547
80,80,2019-05-31,175.8751983642578
81,81,2019-06-03,174.07684326171875
82,82,2019-06-04,177.7793426513672
83,83,2019-06-05,179.68353271484375
84,84,2019-06-06,181.6742248535156
85,85,2019-06-07,182.63592529296875
86,86,2019-06-10,184.59780883789065
87,87,2019-06-11,182.60708618164065
88,88,2019-06-12,183.51107788085935
89,89,2019-06-13,184.9920654296875
90,90,2019-06-14,184.93441772460935
91,91,2019-06-17,184.47276306152344
92,92,2019-06-18,186.6077423095703
93,93,2019-06-19,188.55035400390625
94,94,2019-06-20,189.7909393310547
95,95,2019-06-21,187.10784912109372
96,96,2019-06-24,187.63677978515625
97,97,2019-06-25,186.3673248291016
98,98,2019-06-26,186.4635009765625
99,99,2019-06-27,187.8483123779297
100,100,2019-06-28,187.82911682128903
101,101,2019-07-01,190.7334442138672
102,102,2019-07-02,192.58950805664065
103,103,2019-07-03,194.84950256347656
104,104,2019-07-05,193.71469116210935
105,105,2019-07-08,190.0121307373047
106,106,2019-07-09,190.46417236328125
107,107,2019-07-10,192.1183013916016
108,108,2019-07-11,193.93585205078125
109,109,2019-07-12,197.4460601806641
110,110,2019-07-15,197.14794921875
111,111,2019-07-16,197.12872314453125
