,Unnamed: 0,Date,JNPR
0,0,2019-02-05,22.40098571777344
1,1,2019-02-06,22.45256233215332
2,2,2019-02-07,22.32362365722656
3,3,2019-02-08,22.42677116394043
4,4,2019-02-11,22.495540618896484
5,5,2019-02-12,22.88235855102539
6,6,2019-02-13,22.976911544799805
7,7,2019-02-14,23.174617767333984
8,8,2019-02-15,23.31215476989746
9,9,2019-02-19,23.33794212341309
10,10,2019-02-20,23.372323989868164
11,11,2019-02-21,23.415302276611328
12,12,2019-02-22,23.73335266113281
13,13,2019-02-25,23.724760055541992
14,14,2019-02-26,23.698972702026367
15,15,2019-02-27,23.604412078857425
16,16,2019-02-28,23.4399528503418
17,17,2019-03-01,23.396677017211918
18,18,2019-03-04,23.37070846557617
19,19,2019-03-05,22.981199264526367
20,20,2019-03-06,23.007160186767575
21,21,2019-03-07,22.461849212646484
22,22,2019-03-08,22.23679542541504
23,23,2019-03-11,22.652273178100582
24,24,2019-03-12,22.74748992919922
25,25,2019-03-13,22.903291702270508
26,26,2019-03-14,23.111034393310547
27,27,2019-03-15,23.23221778869629
28,28,2019-03-18,22.81673240661621
29,29,2019-03-19,22.678241729736328
30,30,2019-03-20,22.6955509185791
31,31,2019-03-21,23.180280685424805
32,32,2019-03-22,22.78211212158203
33,33,2019-03-25,22.461849212646484
34,34,2019-03-26,22.58302879333496
35,35,2019-03-27,22.453187942504883
36,36,2019-03-28,22.48781394958496
37,37,2019-03-29,22.91195106506348
38,38,2019-04-01,23.5438232421875
39,39,2019-04-02,23.483230590820312
40,40,2019-04-03,23.578441619873047
41,41,2019-04-04,23.301464080810547
42,42,2019-04-05,23.396677017211918
43,43,2019-04-08,23.66500473022461
44,44,2019-04-09,23.535171508789062
45,45,2019-04-10,23.79484367370605
46,46,2019-04-11,23.812156677246094
47,47,2019-04-12,24.06317138671875
48,48,2019-04-15,23.890056610107425
49,49,2019-04-16,24.17569732666016
50,50,2019-04-17,24.141077041625977
51,51,2019-04-18,24.24494743347168
52,52,2019-04-22,24.15838623046875
53,53,2019-04-23,24.547901153564453
54,54,2019-04-24,24.85951232910156
55,55,2019-04-25,24.331506729125977
56,56,2019-04-26,23.578441619873047
57,57,2019-04-29,24.18435287475586
58,58,2019-04-30,24.037202835083008
59,59,2019-05-01,24.05451774597168
60,60,2019-05-02,24.123764038085938
61,61,2019-05-03,23.93333625793457
62,62,2019-05-06,23.569787979125977
63,63,2019-05-07,23.09372329711914
64,64,2019-05-08,23.08506774902344
65,65,2019-05-09,22.87732696533203
66,66,2019-05-10,22.860015869140625
67,67,2019-05-13,22.029054641723636
68,68,2019-05-14,22.06367874145508
69,69,2019-05-15,22.25410461425781
70,70,2019-05-16,22.38394546508789
71,71,2019-05-17,21.79534912109375
72,72,2019-05-20,21.985774993896484
73,73,2019-05-21,22.565719604492188
74,74,2019-05-22,22.38394546508789
75,75,2019-05-23,21.76937866210937
76,76,2019-05-24,21.804004669189453
77,77,2019-05-28,21.622234344482425
78,78,2019-05-29,21.64820098876953
79,79,2019-05-30,21.864595413208008
80,80,2019-05-31,21.46341133117676
81,81,2019-06-03,21.698888778686523
82,82,2019-06-04,22.57103157043457
83,83,2019-06-05,23.094316482543945
84,84,2019-06-06,23.198972702026367
85,85,2019-06-07,23.321067810058597
86,86,2019-06-10,23.425731658935547
87,87,2019-06-11,23.486778259277344
88,88,2019-06-12,23.50422477722168
89,89,2019-06-13,23.469337463378903
90,90,2019-06-14,23.23386001586914
91,91,2019-06-17,23.198972702026367
92,92,2019-06-18,23.425731658935547
93,93,2019-06-19,23.417007446289062
94,94,2019-06-20,23.49550437927246
95,95,2019-06-21,23.382116317749023
96,96,2019-06-24,23.21641540527344
97,97,2019-06-25,22.95477104187012
98,98,2019-06-26,23.338512420654297
99,99,2019-06-27,23.417007446289062
100,100,2019-06-28,23.22513771057129
101,101,2019-07-01,23.486778259277344
102,102,2019-07-02,23.50422477722168
103,103,2019-07-03,23.6088809967041
104,104,2019-07-05,23.861799240112305
105,105,2019-07-08,23.02454376220703
106,106,2019-07-09,22.946048736572266
107,107,2019-07-10,22.92860984802246
108,108,2019-07-11,23.085588455200195
109,109,2019-07-12,23.53038787841797
110,110,2019-07-15,23.61759757995605
111,111,2019-07-16,23.80074882507324
112,112,2019-07-17,23.53911018371582
113,113,2019-07-18,23.678651809692383
114,114,2019-07-19,23.56527137756348
115,115,2019-07-22,23.408287048339844
116,116,2019-07-23,23.460613250732425
117,117,2019-07-24,23.678651809692383
118,118,2019-07-25,23.085588455200195
119,119,2019-07-26,23.268741607666016
120,120,2019-07-29,23.417007446289062
121,121,2019-07-30,23.591432571411133
122,122,2019-07-31,23.56527137756348
123,123,2019-08-01,23.181528091430664
124,124,2019-08-02,22.632081985473636
125,125,2019-08-05,21.943090438842773
126,126,2019-08-06,22.01285743713379
127,127,2019-08-07,22.05646705627441
128,128,2019-08-08,22.335548400878903
129,129,2019-08-09,22.100074768066406
130,130,2019-08-12,21.89948272705078
131,131,2019-08-13,22.20472526550293
132,132,2019-08-14,21.123275756835938
133,133,2019-08-15,20.45172500610352
134,134,2019-08-16,20.86163330078125
135,135,2019-08-19,21.036062240600582
136,136,2019-08-20,20.416837692260746
137,137,2019-08-21,20.80930519104004
138,138,2019-08-22,20.748254776000977
139,139,2019-08-23,20.12903213500977
140,140,2019-08-26,20.18136405944824
141,141,2019-08-27,19.92844581604004
142,142,2019-08-28,19.86739158630371
143,143,2019-08-29,20.207523345947266
144,144,2019-08-30,20.19880485534668
145,145,2019-09-03,19.908620834350582
