,Unnamed: 0.1,Unnamed: 0,Date,WELL,WELL_6m,WELL_12m
0,0,0,2019-02-05,64.50982666015625,,
1,1,1,2019-02-06,63.91855239868164,,
2,2,2,2019-02-07,64.16837310791016,,
3,3,3,2019-02-08,64.30162811279297,,
4,4,4,2019-02-11,64.48485565185547,,
5,5,5,2019-02-12,63.83525466918945,,
6,6,6,2019-02-13,64.59308624267578,64.50982666015625,
7,7,7,2019-02-14,64.5181655883789,63.91855239868164,
8,8,8,2019-02-15,64.63475799560547,64.16837310791016,
9,9,9,2019-02-19,63.926849365234375,64.30162811279297,
10,10,10,2019-02-20,63.08572006225586,64.48485565185547,
11,11,11,2019-02-21,62.71502685546875,63.83525466918945,
12,12,12,2019-02-22,63.5575065612793,64.59308624267578,64.50982666015625
13,13,13,2019-02-25,62.68132400512695,64.5181655883789,63.91855239868164
14,14,14,2019-02-26,62.807708740234375,64.63475799560547,64.16837310791016
15,15,15,2019-02-27,62.79927062988281,63.926849365234375,64.30162811279297
16,16,16,2019-02-28,62.605506896972656,63.08572006225586,64.48485565185547
17,17,17,2019-03-01,62.35274124145508,62.71502685546875,63.83525466918945
18,18,18,2019-03-04,62.81610870361328,63.5575065612793,64.59308624267578
19,19,19,2019-03-05,63.0688705444336,62.68132400512695,64.5181655883789
20,20,20,2019-03-06,62.61393737792969,62.807708740234375,64.63475799560547
21,21,21,2019-03-07,63.27105331420898,62.79927062988281,63.926849365234375
22,22,22,2019-03-08,63.161529541015625,62.605506896972656,63.08572006225586
23,23,23,2019-03-11,64.4252700805664,62.35274124145508,62.71502685546875
24,24,24,2019-03-12,64.75383758544922,62.81610870361328,63.5575065612793
25,25,25,2019-03-13,65.19194793701172,63.0688705444336,62.68132400512695
26,26,26,2019-03-14,65.6131820678711,62.61393737792969,62.807708740234375
27,27,27,2019-03-15,65.11610412597656,63.27105331420898,62.79927062988281
28,28,28,2019-03-18,63.83553314208984,63.161529541015625,62.605506896972656
29,29,29,2019-03-19,63.41427993774414,64.4252700805664,62.35274124145508
30,30,30,2019-03-20,63.60807037353516,64.75383758544922,62.81610870361328
31,31,31,2019-03-21,65.43627166748047,65.19194793701172,63.0688705444336
32,32,32,2019-03-22,65.5626449584961,65.6131820678711,62.61393737792969
33,33,33,2019-03-25,66.05128479003906,65.11610412597656,63.27105331420898
34,34,34,2019-03-26,66.32087707519531,63.83553314208984,63.161529541015625
35,35,35,2019-03-27,65.77325439453125,63.41427993774414,64.4252700805664
36,36,36,2019-03-28,66.20294189453125,63.60807037353516,64.75383758544922
37,37,37,2019-03-29,65.37728118896484,65.43627166748047,65.19194793701172
38,38,38,2019-04-01,64.9223403930664,65.5626449584961,65.6131820678711
39,39,39,2019-04-02,65.41097259521484,66.05128479003906,65.11610412597656
40,40,40,2019-04-03,65.09085083007812,66.32087707519531,63.83553314208984
41,41,41,2019-04-04,64.50109100341797,65.77325439453125,63.41427993774414
42,42,42,2019-04-05,64.65274810791016,66.20294189453125,63.60807037353516
43,43,43,2019-04-08,63.818695068359375,65.37728118896484,65.43627166748047
44,44,44,2019-04-09,63.852386474609375,64.9223403930664,65.5626449584961
45,45,45,2019-04-10,64.4674072265625,65.41097259521484,66.05128479003906
46,46,46,2019-04-11,64.4674072265625,65.09085083007812,66.32087707519531
47,47,47,2019-04-12,64.4252700805664,64.50109100341797,65.77325439453125
48,48,48,2019-04-15,64.40841674804688,64.65274810791016,66.20294189453125
49,49,49,2019-04-16,62.11686325073242,63.818695068359375,65.37728118896484
50,50,50,2019-04-17,60.87839889526367,63.852386474609375,64.9223403930664
51,51,51,2019-04-18,61.70402908325195,64.4674072265625,65.41097259521484
52,52,52,2019-04-22,60.4571418762207,64.4674072265625,65.09085083007812
53,53,53,2019-04-23,61.24907302856445,64.4252700805664,64.50109100341797
54,54,54,2019-04-24,61.872520446777344,64.40841674804688,64.65274810791016
55,55,55,2019-04-25,62.13371276855469,62.11686325073242,63.818695068359375
56,56,56,2019-04-26,62.79927062988281,60.87839889526367,63.852386474609375
57,57,57,2019-04-29,61.4934196472168,61.70402908325195,64.4674072265625
58,58,58,2019-04-30,62.79084777832031,60.4571418762207,64.4674072265625
59,59,59,2019-05-01,63.07728958129883,61.24907302856445,64.4252700805664
60,60,60,2019-05-02,63.48168182373047,61.872520446777344,64.40841674804688
61,61,61,2019-05-03,64.40841674804688,62.13371276855469,62.11686325073242
62,62,62,2019-05-06,64.0293197631836,62.79927062988281,60.87839889526367
63,63,63,2019-05-07,63.506961822509766,61.4934196472168,61.70402908325195
64,64,64,2019-05-08,63.4311408996582,62.79084777832031,60.4571418762207
65,65,65,2019-05-09,64.09668731689453,63.07728958129883,61.24907302856445
66,66,66,2019-05-10,65.31830596923828,63.48168182373047,61.872520446777344
