,Unnamed: 0,Date,ZBRA
0,0,2019-02-05,178.8699951171875
1,1,2019-02-06,180.75999450683597
2,2,2019-02-07,176.7899932861328
3,3,2019-02-08,176.39999389648438
4,4,2019-02-11,178.3800048828125
5,5,2019-02-12,182.9600067138672
6,6,2019-02-13,183.97000122070312
7,7,2019-02-14,196.47000122070312
8,8,2019-02-15,199.75
9,9,2019-02-19,199.32000732421875
10,10,2019-02-20,199.8500061035156
11,11,2019-02-21,199.82000732421875
12,12,2019-02-22,206.3500061035156
13,13,2019-02-25,204.63999938964844
14,14,2019-02-26,202.97999572753903
15,15,2019-02-27,202.47999572753903
16,16,2019-02-28,200.50999450683597
17,17,2019-03-01,202.2100067138672
18,18,2019-03-04,201.72999572753903
19,19,2019-03-05,201.63999938964844
20,20,2019-03-06,201.2400054931641
21,21,2019-03-07,201.9900054931641
22,22,2019-03-08,201.8999938964844
23,23,2019-03-11,209.4499969482422
24,24,2019-03-12,210.72000122070312
25,25,2019-03-13,211.52999877929688
26,26,2019-03-14,212.6699981689453
27,27,2019-03-15,211.3999938964844
28,28,2019-03-18,213.2100067138672
29,29,2019-03-19,213.67999267578125
30,30,2019-03-20,214.58999633789065
31,31,2019-03-21,218.3000030517578
32,32,2019-03-22,207.2400054931641
33,33,2019-03-25,204.97000122070312
34,34,2019-03-26,208.9499969482422
35,35,2019-03-27,206.75999450683597
36,36,2019-03-28,208.4600067138672
37,37,2019-03-29,209.52999877929688
38,38,2019-04-01,211.91000366210935
39,39,2019-04-02,213.6199951171875
40,40,2019-04-03,215.0399932861328
41,41,2019-04-04,214.00999450683597
42,42,2019-04-05,218.3300018310547
43,43,2019-04-08,221.44000244140625
44,44,2019-04-09,220.1199951171875
45,45,2019-04-10,225.6100006103516
46,46,2019-04-11,226.6999969482422
47,47,2019-04-12,233.7400054931641
48,48,2019-04-15,231.27999877929688
49,49,2019-04-16,234.2100067138672
50,50,2019-04-17,232.22000122070312
51,51,2019-04-18,232.67999267578125
52,52,2019-04-22,230.50999450683597
53,53,2019-04-23,233.44000244140625
54,54,2019-04-24,235.44000244140625
55,55,2019-04-25,231.41000366210935
56,56,2019-04-26,229.17999267578125
57,57,2019-04-29,226.91000366210935
58,58,2019-04-30,211.13999938964844
59,59,2019-05-01,205.1199951171875
60,60,2019-05-02,205.94000244140625
61,61,2019-05-03,206.4600067138672
62,62,2019-05-06,206.3600006103516
63,63,2019-05-07,200.82000732421875
64,64,2019-05-08,200.0500030517578
65,65,2019-05-09,195.5399932861328
66,66,2019-05-10,195.88999938964844
67,67,2019-05-13,181.00999450683597
68,68,2019-05-14,186.72000122070312
69,69,2019-05-15,185.17999267578125
70,70,2019-05-16,190.0200042724609
71,71,2019-05-17,179.1199951171875
72,72,2019-05-20,173.27000427246094
73,73,2019-05-21,178.08999633789062
74,74,2019-05-22,174.52999877929688
75,75,2019-05-23,171.6699981689453
76,76,2019-05-24,175.67999267578125
77,77,2019-05-28,175.89999389648438
78,78,2019-05-29,168.6199951171875
79,79,2019-05-30,169.82000732421875
80,80,2019-05-31,171.44000244140625
81,81,2019-06-03,167.69000244140625
82,82,2019-06-04,177.0800018310547
83,83,2019-06-05,181.58999633789065
84,84,2019-06-06,181.75999450683597
85,85,2019-06-07,188.3699951171875
86,86,2019-06-10,194.50999450683597
87,87,2019-06-11,192.07000732421875
88,88,2019-06-12,193.6300048828125
89,89,2019-06-13,194.0
90,90,2019-06-14,190.80999755859372
91,91,2019-06-17,192.9900054931641
92,92,2019-06-18,201.80999755859372
93,93,2019-06-19,200.52999877929688
94,94,2019-06-20,201.1199951171875
95,95,2019-06-21,200.1100006103516
96,96,2019-06-24,200.0399932861328
97,97,2019-06-25,197.52999877929688
98,98,2019-06-26,203.3999938964844
99,99,2019-06-27,207.6300048828125
100,100,2019-06-28,209.4900054931641
101,101,2019-07-01,208.97999572753903
102,102,2019-07-02,211.6100006103516
103,103,2019-07-03,217.52999877929688
104,104,2019-07-05,217.0399932861328
105,105,2019-07-08,210.44000244140625
106,106,2019-07-09,211.72000122070312
107,107,2019-07-10,211.9600067138672
108,108,2019-07-11,195.00999450683597
109,109,2019-07-12,200.44000244140625
110,110,2019-07-15,197.3500061035156
111,111,2019-07-16,199.32000732421875
112,112,2019-07-17,197.8600006103516
113,113,2019-07-18,182.69000244140625
114,114,2019-07-19,182.1499938964844
115,115,2019-07-22,182.2400054931641
116,116,2019-07-23,185.0500030517578
117,117,2019-07-24,187.94000244140625
118,118,2019-07-25,187.8699951171875
119,119,2019-07-26,189.6499938964844
120,120,2019-07-29,189.4199981689453
121,121,2019-07-30,218.1999969482422
122,122,2019-07-31,210.88999938964844
123,123,2019-08-01,204.25999450683597
124,124,2019-08-02,198.92999267578125
125,125,2019-08-05,199.6699981689453
126,126,2019-08-06,205.22999572753903
127,127,2019-08-07,203.9499969482422
128,128,2019-08-08,211.94000244140625
129,129,2019-08-09,205.6100006103516
130,130,2019-08-12,201.8699951171875
131,131,2019-08-13,208.25999450683597
132,132,2019-08-14,200.1199951171875
133,133,2019-08-15,197.72000122070312
134,134,2019-08-16,203.5
135,135,2019-08-19,205.17999267578125
136,136,2019-08-20,201.44000244140625
137,137,2019-08-21,205.7899932861328
138,138,2019-08-22,204.3800048828125
139,139,2019-08-23,198.4900054931641
140,140,2019-08-26,198.41000366210935
141,141,2019-08-27,198.58999633789065
142,142,2019-08-28,202.8600006103516
