,Unnamed: 0.1,Unnamed: 0,Date,SYK,SYK_6m,SYK_12m
0,0,0,2019-02-05,169.59982299804688,,
1,1,1,2019-02-06,170.87643432617188,,
2,2,2,2019-02-07,170.9237518310547,,
3,3,3,2019-02-08,172.7299041748047,,
4,4,4,2019-02-11,173.5526123046875,,
5,5,5,2019-02-12,175.56683349609375,,
6,6,6,2019-02-13,175.21688842773438,169.59982299804688,
7,7,7,2019-02-14,175.4533233642578,170.87643432617188,
8,8,8,2019-02-15,176.67318725585938,170.9237518310547,
9,9,9,2019-02-19,175.99234008789062,172.7299041748047,
10,10,10,2019-02-20,177.43917846679688,173.5526123046875,
11,11,11,2019-02-21,177.3824462890625,175.56683349609375,
12,12,12,2019-02-22,178.41317749023438,175.21688842773438,169.59982299804688
13,13,13,2019-02-25,177.28790283203125,175.4533233642578,170.87643432617188
14,14,14,2019-02-26,175.1696319580078,176.67318725585938,170.9237518310547
15,15,15,2019-02-27,176.61648559570312,175.99234008789062,172.7299041748047
16,16,16,2019-02-28,178.2618408203125,177.43917846679688,173.5526123046875
17,17,17,2019-03-01,181.1649932861328,177.3824462890625,175.56683349609375
18,18,18,2019-03-04,180.3044586181641,178.41317749023438,175.21688842773438
19,19,19,2019-03-05,179.60467529296875,177.28790283203125,175.4533233642578
20,20,20,2019-03-06,178.1011505126953,175.1696319580078,176.67318725585938
21,21,21,2019-03-07,176.8907012939453,176.61648559570312,175.99234008789062
22,22,22,2019-03-08,177.0514373779297,178.2618408203125,177.43917846679688
23,23,23,2019-03-11,178.9332733154297,181.1649932861328,177.3824462890625
24,24,24,2019-03-12,180.42739868164065,180.3044586181641,178.41317749023438
25,25,25,2019-03-13,181.4108123779297,179.60467529296875,177.28790283203125
26,26,26,2019-03-14,182.83871459960932,178.1011505126953,175.1696319580078
27,27,27,2019-03-15,183.49122619628903,176.8907012939453,176.61648559570312
28,28,28,2019-03-18,183.0562286376953,177.0514373779297,178.2618408203125
29,29,29,2019-03-19,185.45816040039065,178.9332733154297,181.1649932861328
30,30,30,2019-03-20,186.42269897460932,180.42739868164065,180.3044586181641
31,31,31,2019-03-21,187.23599243164065,181.4108123779297,179.60467529296875
32,32,32,2019-03-22,183.86947631835932,182.83871459960932,178.1011505126953
33,33,33,2019-03-25,184.559799194336,183.49122619628903,176.8907012939453
34,34,34,2019-03-26,185.42030334472656,183.0562286376953,177.0514373779297
35,35,35,2019-03-27,185.5338287353516,185.45816040039065,178.9332733154297
36,36,36,2019-03-28,185.95101928710932,186.42269897460932,180.42739868164065
