,Unnamed: 0,Date,ESS
0,0,2019-02-05,234.64892578125
1,1,2019-02-06,233.4541931152344
2,2,2019-02-07,235.1064453125
3,3,2019-02-08,235.6234130859375
4,4,2019-02-11,236.123291015625
5,5,2019-02-12,234.36077880859372
6,6,2019-02-13,235.5895233154297
7,7,2019-02-14,235.4369659423828
8,8,2019-02-15,236.2588806152344
9,9,2019-02-19,237.4621124267578
10,10,2019-02-20,234.538818359375
11,11,2019-02-21,237.26724243164065
12,12,2019-02-22,238.50436401367188
13,13,2019-02-25,236.7418670654297
14,14,2019-02-26,237.2926788330078
15,15,2019-02-27,237.1231842041016
16,16,2019-02-28,237.1231842041016
17,17,2019-03-01,236.4877014160156
18,18,2019-03-04,238.97886657714844
19,19,2019-03-05,238.3942413330078
20,20,2019-03-06,238.41966247558597
21,21,2019-03-07,239.1992034912109
22,22,2019-03-08,240.22450256347656
23,23,2019-03-11,242.11412048339844
24,24,2019-03-12,243.1817779541016
25,25,2019-03-13,245.0628662109375
26,26,2019-03-14,246.52029418945312
27,27,2019-03-15,245.2238922119141
28,28,2019-03-18,242.55471801757807
29,29,2019-03-19,242.11412048339844
30,30,2019-03-20,241.71585083007807
31,31,2019-03-21,245.30859375
32,32,2019-03-22,246.33392333984372
33,33,2019-03-25,244.77474975585935
34,34,2019-03-26,248.1557159423828
35,35,2019-03-27,247.0287322998047
36,36,2019-03-28,247.5320587158203
37,37,2019-03-29,246.7386779785156
38,38,2019-04-01,245.91128540039065
39,39,2019-04-02,248.87139892578125
40,40,2019-04-03,247.4552764892578
41,41,2019-04-04,245.4932861328125
42,42,2019-04-05,246.83253479003903
43,43,2019-04-08,245.25439453125
44,44,2019-04-09,245.22027587890625
45,45,2019-04-10,246.27806091308597
46,46,2019-04-11,247.23345947265625
47,47,2019-04-12,247.5235137939453
48,48,2019-04-15,246.27806091308597
49,49,2019-04-16,237.576904296875
50,50,2019-04-17,234.27549743652344
51,51,2019-04-18,237.39768981933597
52,52,2019-04-22,234.73617553710935
53,53,2019-04-23,236.2119140625
54,54,2019-04-24,237.7133331298828
55,55,2019-04-25,237.44032287597656
56,56,2019-04-26,240.0763092041016
57,57,2019-04-29,236.85171508789065
58,58,2019-04-30,240.9890594482422
59,59,2019-05-01,241.9956512451172
60,60,2019-05-02,241.466796875
61,61,2019-05-03,242.55870056152344
62,62,2019-05-06,242.1492156982422
63,63,2019-05-07,237.92662048339844
64,64,2019-05-08,237.55975341796875
65,65,2019-05-09,238.9332427978516
66,66,2019-05-10,242.1321563720703
67,67,2019-05-13,241.93597412109372
68,68,2019-05-14,241.0573272705078
69,69,2019-05-15,242.41368103027344
70,70,2019-05-16,243.9235992431641
