,Unnamed: 0,Date,UPS
0,0,2019-02-05,91.73667907714844
1,1,2019-02-06,92.72509765625
2,2,2019-02-07,91.97525024414062
3,3,2019-02-08,92.111572265625
4,4,2019-02-11,92.81881713867188
5,5,2019-02-12,94.29296875
6,6,2019-02-13,95.44327545166016
7,7,2019-02-14,95.26431274414062
8,8,2019-02-15,94.47190856933594
9,9,2019-02-19,94.38665008544922
10,10,2019-02-20,94.64232635498048
11,11,2019-02-21,95.2302703857422
12,12,2019-02-22,94.03731536865234
13,13,2019-02-25,95.29228973388672
14,14,2019-02-26,95.44701385498048
15,15,2019-02-27,95.5243911743164
16,16,2019-02-28,94.72498321533205
17,17,2019-03-01,96.38396453857422
18,18,2019-03-04,94.96566772460938
19,19,2019-03-05,94.5272979736328
20,20,2019-03-06,93.56455993652344
21,21,2019-03-07,91.85400390625
22,22,2019-03-08,91.69928741455078
23,23,2019-03-11,93.54737091064452
24,24,2019-03-12,93.70209503173828
25,25,2019-03-13,95.29228973388672
26,26,2019-03-14,95.30947875976562
27,27,2019-03-15,94.14044952392578
28,28,2019-03-18,95.14616394042967
29,29,2019-03-19,94.85392761230467
30,30,2019-03-20,92.76515197753906
31,31,2019-03-21,94.38116455078124
32,32,2019-03-22,92.2751922607422
33,33,2019-03-25,91.88838958740234
34,34,2019-03-26,93.18635559082033
35,35,2019-03-27,93.67630004882812
36,36,2019-03-28,94.8109359741211
37,37,2019-03-29,96.0487289428711
38,38,2019-04-01,98.36096954345705
39,39,2019-04-02,97.7162857055664
40,40,2019-04-03,98.29219818115234
41,41,2019-04-04,97.965576171875
42,42,2019-04-05,98.27501678466795
43,43,2019-04-08,97.965576171875
44,44,2019-04-09,97.054443359375
45,45,2019-04-10,97.20053100585938
46,46,2019-04-11,97.55297088623048
47,47,2019-04-12,98.3867645263672
48,48,2019-04-15,97.68190002441406
49,49,2019-04-16,97.93978118896484
50,50,2019-04-17,98.41255950927734
51,51,2019-04-18,98.12030029296876
52,52,2019-04-22,97.66472625732422
53,53,2019-04-23,97.64751434326172
54,54,2019-04-24,98.36096954345705
55,55,2019-04-25,90.36692810058594
56,56,2019-04-26,89.3526382446289
57,57,2019-04-29,90.1176528930664
58,58,2019-04-30,91.30388641357422
59,59,2019-05-01,89.92855072021484
60,60,2019-05-02,90.69359588623048
61,61,2019-05-03,91.6734848022461
62,62,2019-05-06,89.92855072021484
