,Date,AMP
103,2019-07-02 00:00:00-04:00,133.40158081054688
104,2019-07-03 00:00:00-04:00,135.04600524902344
105,2019-07-05 00:00:00-04:00,137.14724731445312
106,2019-07-08 00:00:00-04:00,136.06922912597656
107,2019-07-09 00:00:00-04:00,137.22035217285156
108,2019-07-10 00:00:00-04:00,135.5028076171875
109,2019-07-11 00:00:00-04:00,137.4213409423828
110,2019-07-12 00:00:00-04:00,138.07913208007812
111,2019-07-15 00:00:00-04:00,137.3025360107422
112,2019-07-16 00:00:00-04:00,137.8507080078125
113,2019-07-17 00:00:00-04:00,135.63983154296875
114,2019-07-18 00:00:00-04:00,137.1107177734375
115,2019-07-19 00:00:00-04:00,135.8134002685547
116,2019-07-22 00:00:00-04:00,135.05514526367188
117,2019-07-23 00:00:00-04:00,136.20623779296875
118,2019-07-24 00:00:00-04:00,138.38058471679688
119,2019-07-25 00:00:00-04:00,134.26947021484375
120,2019-07-26 00:00:00-04:00,136.97364807128906
121,2019-07-29 00:00:00-04:00,136.80006408691406
122,2019-07-30 00:00:00-04:00,135.69464111328125
123,2019-07-31 00:00:00-04:00,132.93560791015625
124,2019-08-01 00:00:00-04:00,128.4133758544922
125,2019-08-02 00:00:00-04:00,124.46687316894531
126,2019-08-05 00:00:00-04:00,120.00520324707031
127,2019-08-06 00:00:00-04:00,122.59941101074219
128,2019-08-07 00:00:00-04:00,120.55715942382812
129,2019-08-08 00:00:00-04:00,124.13569641113281
130,2019-08-09 00:00:00-04:00,121.26549530029297
131,2019-08-12 00:00:00-04:00,115.4331283569336
132,2019-08-13 00:00:00-04:00,118.41372680664062
133,2019-08-14 00:00:00-04:00,112.59973907470703
134,2019-08-15 00:00:00-04:00,112.92172241210938
135,2019-08-16 00:00:00-04:00,116.22428131103516
136,2019-08-19 00:00:00-04:00,117.77896118164062
137,2019-08-20 00:00:00-04:00,116.23346710205078
138,2019-08-21 00:00:00-04:00,117.70536804199219
139,2019-08-22 00:00:00-04:00,118.28491973876953
140,2019-08-23 00:00:00-04:00,114.52239990234375
141,2019-08-26 00:00:00-04:00,116.04949188232422
142,2019-08-27 00:00:00-04:00,115.21233367919922
143,2019-08-28 00:00:00-04:00,115.77350616455078
144,2019-08-29 00:00:00-04:00,118.14691162109375
145,2019-08-30 00:00:00-04:00,118.65289306640625
146,2019-09-03 00:00:00-04:00,117.01541900634766
147,2019-09-04 00:00:00-04:00,118.919677734375
148,2019-09-05 00:00:00-04:00,122.72817993164062
149,2019-09-06 00:00:00-04:00,123.96090698242188
150,2019-09-09 00:00:00-04:00,126.83110046386719
151,2019-09-10 00:00:00-04:00,133.04981994628906
152,2019-09-11 00:00:00-04:00,133.91456604003906
153,2019-09-12 00:00:00-04:00,134.6597137451172
154,2019-09-13 00:00:00-04:00,135.62562561035156
155,2019-09-16 00:00:00-04:00,135.62562561035156
156,2019-09-17 00:00:00-04:00,134.3929443359375
157,2019-09-18 00:00:00-04:00,135.72682189941406
158,2019-09-19 00:00:00-04:00,135.49681091308594
159,2019-09-20 00:00:00-04:00,134.1077423095703
160,2019-09-23 00:00:00-04:00,135.49681091308594
161,2019-09-24 00:00:00-04:00,133.2982635498047
162,2019-09-25 00:00:00-04:00,133.82261657714844
163,2019-09-26 00:00:00-04:00,134.42054748535156
164,2019-09-27 00:00:00-04:00,135.72682189941406
165,2019-09-30 00:00:00-04:00,135.32208251953125
