,Unnamed: 0,Date,UNP
0,0,2019-02-05,144.55467224121094
1,1,2019-02-06,144.05282592773438
2,2,2019-02-07,144.79661560058594
3,3,2019-02-08,144.9310760498047
4,4,2019-02-11,147.2880096435547
5,5,2019-02-12,149.70773315429688
6,6,2019-02-13,151.34771728515625
7,7,2019-02-14,152.01983642578125
8,8,2019-02-15,152.5665283203125
9,9,2019-02-19,153.5433807373047
10,10,2019-02-20,153.2386932373047
11,11,2019-02-21,152.5038299560547
12,12,2019-02-22,152.40524291992188
13,13,2019-02-25,151.9481658935547
14,14,2019-02-26,152.48585510253906
15,15,2019-02-27,152.2967071533203
16,16,2019-02-28,151.071533203125
17,17,2019-03-01,150.8373260498047
18,18,2019-03-04,150.77427673339844
19,19,2019-03-05,150.24276733398438
20,20,2019-03-06,149.45909118652344
21,21,2019-03-07,148.58522033691406
22,22,2019-03-08,148.0087127685547
23,23,2019-03-11,149.17979431152344
24,24,2019-03-12,148.48614501953125
25,25,2019-03-13,150.28782653808594
26,26,2019-03-14,148.79244995117188
27,27,2019-03-15,148.6392822265625
28,28,2019-03-18,149.75633239746094
29,29,2019-03-19,144.8107147216797
30,30,2019-03-20,145.035888671875
31,31,2019-03-21,146.48626708984375
32,32,2019-03-22,144.69358825683594
33,33,2019-03-25,145.48631286621094
34,34,2019-03-26,145.76560974121094
35,35,2019-03-27,146.84658813476562
36,36,2019-03-28,148.8194580078125
37,37,2019-03-29,150.6211395263672
38,38,2019-04-01,153.97225952148438
39,39,2019-04-02,152.9453125
40,40,2019-04-03,152.79217529296875
41,41,2019-04-04,152.053466796875
42,42,2019-04-05,151.9904327392578
43,43,2019-04-08,151.96339416503906
44,44,2019-04-09,149.62118530273438
45,45,2019-04-10,149.85543823242188
46,46,2019-04-11,150.1436767578125
47,47,2019-04-12,152.69308471679688
48,48,2019-04-15,151.00851440429688
49,49,2019-04-16,151.32379150390625
50,50,2019-04-17,152.49488830566406
51,51,2019-04-18,159.14312744140625
52,52,2019-04-22,160.09803771972656
53,53,2019-04-23,159.20619201660156
54,54,2019-04-24,159.30526733398438
55,55,2019-04-25,158.0891571044922
56,56,2019-04-26,159.64756774902344
57,57,2019-04-29,158.9179229736328
58,58,2019-04-30,159.48544311523438
59,59,2019-05-01,157.97201538085938
60,60,2019-05-02,158.44943237304688
61,61,2019-05-03,161.43124389648438
62,62,2019-05-06,159.5935516357422
63,63,2019-05-07,157.42250061035156
64,64,2019-05-08,158.17022705078125
65,65,2019-05-09,158.2152862548828
66,66,2019-05-10,158.4765167236328
67,67,2019-05-13,154.75599670410156
68,68,2019-05-14,157.1883087158203
