,Unnamed: 0,Date,LDOS
0,0,2019-02-05,56.813385009765625
1,1,2019-02-06,56.98026657104492
2,2,2019-02-07,58.148433685302734
3,3,2019-02-08,57.55507278442383
4,4,2019-02-11,57.4252815246582
5,5,2019-02-12,57.49944686889648
6,6,2019-02-13,57.684871673583984
7,7,2019-02-14,57.7868537902832
8,8,2019-02-15,58.75104522705078
9,9,2019-02-19,57.76830673217773
10,10,2019-02-20,57.18423080444336
11,11,2019-02-21,58.36165618896485
12,12,2019-02-22,59.7894172668457
13,13,2019-02-25,59.94701766967773
14,14,2019-02-26,58.91792678833008
15,15,2019-02-27,59.26095581054688
16,16,2019-02-28,59.88212203979492
17,17,2019-03-01,60.24369430541992
18,18,2019-03-04,59.427833557128906
19,19,2019-03-05,58.945743560791016
20,20,2019-03-06,58.43582534790039
21,21,2019-03-07,57.87955474853516
22,22,2019-03-08,57.88882827758789
23,23,2019-03-11,58.57489776611328
24,24,2019-03-12,58.43582534790039
25,25,2019-03-13,58.73250579833984
26,26,2019-03-14,58.46227645874024
27,27,2019-03-15,58.54613876342773
28,28,2019-03-18,59.16114044189453
29,29,2019-03-19,58.98409271240234
30,30,2019-03-20,58.94683074951172
31,31,2019-03-21,59.403411865234375
32,32,2019-03-22,58.69522476196289
33,33,2019-03-25,58.35977935791016
34,34,2019-03-26,59.04932022094727
35,35,2019-03-27,58.95614242553711
36,36,2019-03-28,59.38478088378906
37,37,2019-03-29,59.72023391723633
38,38,2019-04-01,60.46568298339844
39,39,2019-04-02,59.3009147644043
40,40,2019-04-03,59.33818817138672
41,41,2019-04-04,59.61772918701172
42,42,2019-04-05,60.195457458496094
43,43,2019-04-08,60.3818244934082
44,44,2019-04-09,59.63636779785156
45,45,2019-04-10,60.21410369873047
46,46,2019-04-11,60.8011474609375
47,47,2019-04-12,60.88499450683594
48,48,2019-04-15,60.53091812133789
49,49,2019-04-16,60.68932342529297
50,50,2019-04-17,60.66136932373047
51,51,2019-04-18,60.8011474609375
52,52,2019-04-22,60.94091796875
53,53,2019-04-23,61.97523498535156
54,54,2019-04-24,61.99386215209961
55,55,2019-04-25,61.863407135009766
56,56,2019-04-26,62.01251983642578
57,57,2019-04-29,62.310691833496094
58,58,2019-04-30,68.47000885009766
59,59,2019-05-01,67.88294982910156
60,60,2019-05-02,68.15319061279297
61,61,2019-05-03,69.37386322021484
62,62,2019-05-06,69.05704498291016
63,63,2019-05-07,68.5165786743164
64,64,2019-05-08,69.11296081542969
65,65,2019-05-09,69.90499877929688
66,66,2019-05-10,70.33362579345703
67,67,2019-05-13,68.74024200439453
68,68,2019-05-14,69.23409271240234
69,69,2019-05-15,69.9329833984375
70,70,2019-05-16,71.08842468261719
71,71,2019-05-17,70.80886840820312
72,72,2019-05-20,70.13796997070312
73,73,2019-05-21,71.49842834472656
74,74,2019-05-22,71.72206115722656
75,75,2019-05-23,70.9393310546875
76,76,2019-05-24,71.06975555419922
77,77,2019-05-28,69.86773681640625
78,78,2019-05-29,69.70001220703125
79,79,2019-05-30,69.72796630859375
80,80,2019-05-31,70.19387817382812
81,81,2019-06-03,70.74364471435547
82,82,2019-06-04,72.68182373046875
83,83,2019-06-05,72.79363250732422
84,84,2019-06-06,73.3341064453125
85,85,2019-06-07,74.00501251220703
86,86,2019-06-10,73.77205657958984
87,87,2019-06-11,72.98931121826172
88,88,2019-06-12,73.84660339355469
89,89,2019-06-13,73.36944580078125
90,90,2019-06-14,73.76239013671875
91,91,2019-06-17,73.21039581298828
92,92,2019-06-18,73.56591796875
93,93,2019-06-19,73.56591796875
94,94,2019-06-20,74.52960968017578
95,95,2019-06-21,73.83723449707031
96,96,2019-06-24,73.87467193603516
97,97,2019-06-25,74.0337142944336
98,98,2019-06-26,73.45365142822266
99,99,2019-06-27,74.2769775390625
100,100,2019-06-28,74.70733642578125
101,101,2019-07-01,75.00674438476562
102,102,2019-07-02,74.97867584228516
103,103,2019-07-03,76.15753936767578
104,104,2019-07-05,76.73757934570312
105,105,2019-07-08,76.16688537597656
106,106,2019-07-09,76.2697982788086
107,107,2019-07-10,76.25106811523438
108,108,2019-07-11,76.66272735595703
109,109,2019-07-12,77.1211929321289
110,110,2019-07-15,77.03697204589844
111,111,2019-07-16,76.75630950927734
112,112,2019-07-17,75.56807708740234
113,113,2019-07-18,75.745849609375
114,114,2019-07-19,74.46409606933594
115,115,2019-07-22,74.45474243164062
116,116,2019-07-23,75.62422943115234
117,117,2019-07-24,76.3446273803711
118,118,2019-07-25,75.92362213134766
119,119,2019-07-26,77.1211929321289
120,120,2019-07-29,77.95386505126953
121,121,2019-07-30,78.94558715820312
122,122,2019-07-31,76.81243133544922
123,123,2019-08-01,78.03805541992188
124,124,2019-08-02,76.58787536621094
125,125,2019-08-05,73.89337921142578
126,126,2019-08-06,74.88510131835938
127,127,2019-08-07,75.38096618652344
128,128,2019-08-08,78.49651336669922
129,129,2019-08-09,77.71061706542969
130,130,2019-08-12,77.70126342773438
131,131,2019-08-13,78.84268188476562
132,132,2019-08-14,77.48606872558594
133,133,2019-08-15,77.57026672363281
134,134,2019-08-16,78.42166900634766
135,135,2019-08-19,79.60053253173828
136,136,2019-08-20,79.0298080444336
137,137,2019-08-21,80.03089141845703
138,138,2019-08-22,80.04959106445312
139,139,2019-08-23,78.03805541992188
140,140,2019-08-26,78.87076568603516
141,141,2019-08-27,79.55374145507812
142,142,2019-08-28,80.19929504394531
143,143,2019-08-29,81.5839614868164
144,144,2019-08-30,81.73367309570312
145,145,2019-09-03,80.78871154785156
