,Unnamed: 0,Date,PM
0,0,2019-02-05,57.31938171386719
1,1,2019-02-06,57.09255599975586
2,2,2019-02-07,58.014984130859375
3,3,2019-02-08,60.47228240966797
4,4,2019-02-11,59.76911544799805
5,5,2019-02-12,60.94105529785156
6,6,2019-02-13,61.470340728759766
7,7,2019-02-14,61.88617706298828
8,8,2019-02-15,63.10349655151367
9,9,2019-02-19,63.05055236816406
10,10,2019-02-20,64.2981185913086
11,11,2019-02-21,64.70642852783203
12,12,2019-02-22,65.89347839355469
13,13,2019-02-25,65.47760009765625
14,14,2019-02-26,65.4095687866211
15,15,2019-02-27,65.98418426513672
16,16,2019-02-28,65.73469543457031
17,17,2019-03-01,66.16566467285156
18,18,2019-03-04,65.99176025390625
19,19,2019-03-05,65.76493072509766
20,20,2019-03-06,65.7951889038086
21,21,2019-03-07,65.75736999511719
22,22,2019-03-08,66.12029266357422
23,23,2019-03-11,67.47370147705078
24,24,2019-03-12,67.14102172851562
25,25,2019-03-13,67.6702880859375
26,26,2019-03-14,67.88957214355469
27,27,2019-03-15,68.69100952148438
28,28,2019-03-18,68.60028839111328
29,29,2019-03-19,68.42637634277344
30,30,2019-03-20,68.60784149169922
31,31,2019-03-21,69.49247741699219
32,32,2019-03-22,68.93295288085938
33,33,2019-03-25,67.58540344238281
34,34,2019-03-26,67.83038330078125
35,35,2019-03-27,66.63595581054688
36,36,2019-03-28,66.82738494873047
37,37,2019-03-29,67.6772689819336
38,38,2019-04-01,67.53178405761719
39,39,2019-04-02,67.38631439208984
40,40,2019-04-03,65.70184326171875
41,41,2019-04-04,65.90090942382812
42,42,2019-04-05,65.41854858398438
43,43,2019-04-08,65.3189926147461
44,44,2019-04-09,65.72480773925781
45,45,2019-04-10,65.6252670288086
46,46,2019-04-11,65.47216033935547
47,47,2019-04-12,65.67121887207031
48,48,2019-04-15,65.9927978515625
49,49,2019-04-16,66.00811767578125
50,50,2019-04-17,65.44918823242188
51,51,2019-04-18,64.691162109375
52,52,2019-04-22,64.53803253173828
53,53,2019-04-23,65.01275634765625
54,54,2019-04-24,64.6605453491211
55,55,2019-04-25,64.00205993652344
56,56,2019-04-26,64.89789581298828
57,57,2019-04-29,65.00508880615234
58,58,2019-04-30,66.27609252929688
59,59,2019-05-01,65.67887115478516
60,60,2019-05-02,65.0204086303711
61,61,2019-05-03,65.61763000488281
62,62,2019-05-06,65.17353820800781
63,63,2019-05-07,64.64521789550781
64,64,2019-05-08,64.17050170898438
65,65,2019-05-09,64.26239013671875
66,66,2019-05-10,64.72945404052734
67,67,2019-05-13,64.08628845214844
68,68,2019-05-14,64.38490295410156
69,69,2019-05-15,65.34197235107422
70,70,2019-05-16,65.47216033935547
71,71,2019-05-17,66.46752166748047
72,72,2019-05-20,66.02342224121094
73,73,2019-05-21,65.66355895996094
74,74,2019-05-22,65.45684051513672
75,75,2019-05-23,66.03108215332031
76,76,2019-05-24,64.80602264404297
77,77,2019-05-28,62.44009780883789
78,78,2019-05-29,62.12618255615234
79,79,2019-05-30,60.94704818725586
80,80,2019-05-31,59.05587387084961
81,81,2019-06-03,60.18904113769531
82,82,2019-06-04,60.104827880859375
83,83,2019-06-05,59.147743225097656
84,84,2019-06-06,59.109466552734375
85,85,2019-06-07,59.85216522216797
86,86,2019-06-10,58.92570114135742
87,87,2019-06-11,59.82918167114258
88,88,2019-06-12,59.11710739135742
89,89,2019-06-13,59.40806579589844
90,90,2019-06-14,59.109466552734375
91,91,2019-06-17,59.7143440246582
92,92,2019-06-18,59.0405502319336
93,93,2019-06-19,58.68835067749024
94,94,2019-06-20,59.986305236816406
95,95,2019-06-21,61.57184219360352
96,96,2019-06-24,60.491512298583984
97,97,2019-06-25,61.26095581054688
98,98,2019-06-26,60.14175033569336
99,99,2019-06-27,60.56145858764648
100,100,2019-06-28,61.03557205200195
101,101,2019-07-01,60.60808944702149
102,102,2019-07-02,61.983795166015625
103,103,2019-07-03,62.66773986816406
104,104,2019-07-05,62.27135467529297
105,105,2019-07-08,61.87498474121094
106,106,2019-07-09,61.74283981323242
107,107,2019-07-10,62.39570617675781
108,108,2019-07-11,63.15739822387695
109,109,2019-07-12,63.64704513549805
110,110,2019-07-15,63.32061004638672
111,111,2019-07-16,63.40610504150391
112,112,2019-07-17,62.994171142578125
113,113,2019-07-18,68.17050170898438
114,114,2019-07-19,68.96327209472656
115,115,2019-07-22,67.5798110961914
116,116,2019-07-23,67.42435455322266
117,117,2019-07-24,66.07976531982422
118,118,2019-07-25,66.55387878417969
119,119,2019-07-26,66.8259048461914
120,120,2019-07-29,67.43213653564453
121,121,2019-07-30,67.07461547851562
122,122,2019-07-31,64.9838638305664
123,123,2019-08-01,64.08228302001953
124,124,2019-08-02,65.41911315917969
125,125,2019-08-05,62.38015365600586
126,126,2019-08-06,63.20402908325195
127,127,2019-08-07,63.235111236572266
128,128,2019-08-08,64.1056137084961
129,129,2019-08-09,64.19110107421875
130,130,2019-08-12,64.02787017822266
131,131,2019-08-13,65.24813079833984
132,132,2019-08-14,64.76625061035156
133,133,2019-08-15,65.6678466796875
134,134,2019-08-16,65.99427032470703
135,135,2019-08-19,66.0719985961914
136,136,2019-08-20,64.50977325439453
137,137,2019-08-21,64.54863739013672
138,138,2019-08-22,64.47090911865234
139,139,2019-08-23,63.126312255859375
140,140,2019-08-26,60.41378402709961
141,141,2019-08-27,55.72710418701172
142,142,2019-08-28,57.76343536376953
143,143,2019-08-29,56.51987838745117
144,144,2019-08-30,56.03022384643555
145,145,2019-09-03,56.4732551574707
